section,title,evidence_status,artifact,rows,columns
5.1,Dataset and Experimental Evidence,EVIDENCE_AVAILABLE,table_eda_attack_distribution.csv,16,4
5.2,Exploratory Data Analysis,EVIDENCE_AVAILABLE,table_eda_consistency_validation.csv,2,9
5.3,Integrity Results,MISSING,,0,0
5.4,Anomaly-Detection Results,MISSING,,0,0
5.5,PoisonShield Results,MISSING,,0,0
5.6,Attack-Specific Results,MISSING,,0,0
5.7,Poisoning-Rate Results,MISSING,,0,0
5.8,Downstream Model Results,MISSING,,0,0
5.9,Ablation,MISSING,,0,0
5.10,Robustness,EVIDENCE_AVAILABLE,table_phase13_1_robustness_preflight.csv,11,2
5.11,Statistical Comparisons,MISSING,,0,0
5.12,Computational Overhead,MISSING,,0,0
