,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
pslist.nproc,1.0,0.4875159990889357,-0.17626881395455762,-0.04204119167110056,-0.004947827030075391,-0.005573903413060922,-0.006843698432168437,0.021347313420830197,0.02557128023568139,0.44170744272511964,0.8003603937794129,0.5337935119597579,0.3965815552800021,0.7917251243458516,0.5354219848256037,0.5516060554380654,0.3827770476377517,0.4507132218883434,0.4718676137021785,0.5804933353394168,0.47195180746224275,0.16304203069026887,0.12573445147189344,0.16305793594239618,0.2138061339607764,0.017698905880701114,0.21539853448867693,0.09620612242154655,0.027785605050577988,-0.00701589564415523,0.45578436723770666,0.02770195325272221,0.4554724337120167,0.027709443216509973,0.48409644917556516,-0.020780286777439313,-0.0005939402709946361,0.22806289122682896,-0.020383612049287046,0.08198387843134096,-0.1141857033772456,0.07885252305663937,2.517990560070921e-06,0.0077672665199338044,0.07758531600375114,-0.0031261769500588996,0.02775377629809326,0.22257247964146507,-0.04110767125207749,-0.019876642685323374,-0.03536342886647973,0.00840333709611356
pslist.nppid,0.4875159990889357,1.0,-0.6177892960872622,0.07098743497084263,0.10070951370855645,-0.5940337397397393,0.0915997522754083,-0.1584104726426045,-0.014573098516209793,-0.28451842803223304,0.4402212491441103,0.16925273914096023,-0.34252785304469957,0.462642513198757,-0.02108269784627512,-0.03471369353793937,-0.30709174274658346,-0.14407346873201995,-0.036795669589771575,0.09555218226866986,-0.03669098416986815,-0.005603034881944669,0.15056822621607732,-0.0054463355725322266,0.2611539114924972,0.049702368290812475,0.2617686770528531,0.15546859266124327,0.2865729493048949,0.028853573015715662,0.29795796489890136,0.2849801708878658,0.2981343660630081,0.2864868194605008,0.32305623177109677,0.2621249348095723,0.015169669044870193,0.325597443023077,0.25972257220933365,0.23642647872747144,0.2080848848268307,0.24012617009268772,-0.0007059854037906429,-0.04305842658711056,-0.12270586019189247,-0.01629320146403051,-0.6519136781036251,-0.244078274778258,0.08522339796060402,-0.08883311743427863,-0.014670520871422794,0.002036002791327165
pslist.avg_threads,-0.17626881395455762,-0.6177892960872622,1.0,-0.11641147552169996,-0.12321831497830221,0.7701418089423323,-0.11246756157465329,0.20010814493739995,0.02565761838399741,0.5704495274408768,-0.0051016294498838445,0.2944013104810786,0.6428577883578168,-0.05229071129347121,0.40531977885123105,0.4344838093064307,0.5924780094134653,0.5139126432249052,0.3978373945402344,0.3074231495603313,0.3977205998691793,0.1394298986803169,-0.09246856573286534,0.1391755198924779,-0.15858634506581507,-0.050035426824360935,-0.15768483253656915,-0.12893747989203225,-0.22172495823446234,-0.026715851974787458,-0.27882563616361916,-0.22075099863749054,-0.2790735105892288,-0.22167780647724922,-0.3007300361472878,-0.21595741148594635,-0.009183345415504885,-0.2793821121596964,-0.21424518491440442,-0.25289991317359767,-0.19695561215390156,-0.28226944441497476,-0.0010304078444328374,0.05687016403938787,0.20292104310045186,0.025896118762410752,0.6851088005761488,0.44701305018823745,-0.1334638884839791,0.1007333626851117,0.0012506616206877075,0.00864994555118694
pslist.avg_handlers,-0.04204119167110056,0.07098743497084263,-0.11641147552169996,1.0,-0.04974488463214818,-0.1638017834608323,-0.05043537763832287,-0.025826349451304492,0.012802543539780446,-0.1597475773310563,-0.07532161401788313,-0.13031864143107266,-0.15472234171777202,-0.0541172112009015,-0.1378651551464835,-0.14359140871902856,-0.16511874263464998,-0.15563929335095514,-0.14274551011114178,-0.13120959128148063,-0.14273424199107929,-0.05614446613241388,-0.0028118852564715546,-0.056061025093127895,0.012600993520530688,-0.007660173512307695,0.012141717532939682,0.012943673508088343,0.014804112575298433,-0.0026504437781777854,0.011015001050013587,0.017747549026009307,0.011080782948589083,0.014823502901071853,0.013592820858670442,0.01613048485284181,-0.005057222342105322,0.013873075332480181,0.01953325475996532,0.023492333175718288,0.021499995251578592,0.031603448666995396,0.0001972292382302079,-0.014545707694253092,0.03171558555729989,-0.005552739883770066,-0.13817568634567456,-0.13777721735767215,0.9994060085744607,-0.015974033354981675,-0.0006789545908873879,0.0029898027875512045
dlllist.ndlls,-0.004947827030075391,0.10070951370855645,-0.12321831497830221,-0.04974488463214818,1.0,-0.15957326745344216,0.92113635715445,-0.04488099446965405,-0.006897317602405671,-0.1396958582179122,-0.0402357630202721,-0.10189319018963179,-0.1394603212629043,-0.02214322654056268,-0.11331255604987919,-0.11385274385048082,-0.1476543778157354,-0.13603781671384316,-0.1258865293164398,-0.10868072745971936,-0.12588919426146314,-0.06218978414915275,-0.009769124406472613,-0.062171291388343694,0.0392140657677251,0.23236594442735925,0.03881151508376991,0.04093347573392766,0.009911394649431943,0.006344935294011228,0.017999773968552853,0.009506865440983598,0.01800842410152074,0.009894467432003295,0.02159776258226844,0.008850311742161507,0.0003801439818643111,0.015293207716104472,0.008341145704101376,0.01811022311464014,0.010056058206954484,0.025733773849092437,0.0005094599455280008,-0.012940856761712917,0.025645482609551486,0.0008668209457158379,-0.13021944310496705,-0.11491123734331693,-0.04617703844540386,-0.01582069122744223,0.003055154109626589,-0.0007545939170039558
dlllist.avg_dlls_per_proc,-0.005573903413060922,-0.5940337397397393,0.7701418089423323,-0.1638017834608323,-0.15957326745344216,1.0,-0.14723468398007442,0.2617507190617594,0.04154190872108088,0.8555737439302294,0.2597005923929227,0.6066746116058463,0.8706818184465137,0.19561486546469234,0.7279336385726478,0.7366255967212839,0.8608941742165696,0.8088773182399965,0.6955473381242353,0.613078268891797,0.6954787442138155,0.2536995793356887,-0.06189681223624233,0.253407446755955,-0.16620653837615484,-0.06325307695487657,-0.16467906917939584,-0.1531117536428984,-0.20946751692507054,-0.02964308222936166,-0.29175362014255846,-0.2093094598418745,-0.2922018391102627,-0.209373419620629,-0.30784846426795526,-0.20841793044024046,-0.0037381662698926614,-0.28511236368794607,-0.20774467410156489,-0.3118476934309234,-0.21826443351844055,-0.3440856232382437,0.004738152845974097,0.07589518734332179,0.30071355126378485,0.049720896009214643,0.8618332323504773,0.6894200608867755,-0.18492852574670113,0.11300665333873863,-0.02568267645595261,0.023370957000248927
handles.nhandles,-0.006843698432168437,0.0915997522754083,-0.11246756157465329,-0.05043537763832287,0.92113635715445,-0.14723468398007442,1.0,-0.03197489489940564,0.008612767834189327,-0.1295276460540691,-0.03874298755604877,-0.09471250190374818,-0.12823381467308323,-0.021967218694056885,-0.10618952178421702,-0.10666951828436476,-0.13614745302688733,-0.12677063786451645,-0.11718191966929872,-0.10171021535947625,-0.11718308065844123,-0.05633397530417799,-0.005835552269802657,-0.05631763290007403,0.03333091838163153,0.2210638535466307,0.032952489019909714,0.03600607625257427,0.006850985163302413,0.004964894735480776,0.013346118748874652,0.006457247558426764,0.013352407928829968,0.006849763269727885,0.017316995953068123,0.005499172391834696,-0.0006875186780056371,0.010534652575121286,0.00501493011564851,0.01337626375389209,0.006828818507690938,0.021654057584178175,0.00048527096168968106,-0.012299227032008352,0.03987759171056454,-0.000763245971606229,-0.12145310221558578,-0.11035863314891686,-0.04824596238268905,-0.015619291030423806,0.001143037997448679,-0.0018071139343041613
handles.avg_handles_per_proc,0.021347313420830197,-0.1584104726426045,0.20010814493739995,-0.025826349451304492,-0.04488099446965405,0.2617507190617594,-0.03197489489940564,1.0,0.9559829050982648,0.24237461051056433,0.10644370284786013,0.17416997073999077,0.31957045097134007,0.20596486475038644,0.35011018257872345,0.2656248595212808,0.24331059718939826,0.2281560740106083,0.18716757598884246,0.1615709572211212,0.18715103228524596,0.08417203032602343,0.0019447007211875849,0.0841066773025488,-0.04132051074360028,-0.015413253678960914,-0.04090023009326196,-0.035708874110428786,-0.04817198934700679,-0.010007830348374226,-0.04063760829482284,-0.04828683549463393,-0.039025866394911936,-0.04813891844737846,-0.040437228848712065,-0.04944248992880762,-0.002364540972844669,-0.048375039331880046,-0.04945250240788389,-0.052520485761654516,-0.05324639199597335,-0.05592892016769458,0.0015947766426355997,0.021279064816105784,0.07848174686086351,0.002450502647136786,0.23552299695489998,0.18520923431156666,-0.03347082161832227,0.011267370052260325,-0.007989966094456522,0.0033581733223917104
handles.nfile,0.02557128023568139,-0.014573098516209793,0.02565761838399741,0.012802543539780446,-0.006897317602405671,0.04154190872108088,0.008612767834189327,0.9559829050982648,1.0,0.05763560619752061,0.07519203083371742,0.043261318735021245,0.13394211745176438,0.19461613072632633,0.19830269709019874,0.11444643673390822,0.054068836970278866,0.054023829360072086,0.04187404972285668,0.040544409412072026,0.04187861072110525,0.01718727533831816,0.0030529849896365445,0.01718129445269346,-0.0015370908076608977,-0.001634432107364512,-0.0014496948891924554,-0.002235552269477225,-0.020832287981382074,-0.0026435146304269637,-0.0120232527184684,-0.020787992310579793,-0.010313028959636757,-0.02082690884825105,-0.00881421594367702,-0.023954722154418597,-0.0013081641374800862,-0.019483696016168606,-0.023807970832542658,-0.021915332662847557,-0.02717307926753315,-0.020728076293312827,0.0005949902154673855,0.00398746289285957,0.015073308792544494,0.0017088371560645503,0.0405087537861359,0.03315875485908979,0.009587663043773505,-0.008856910270014718,-0.0027181157396396964,0.0006599632387853971
handles.nevent,0.44170744272511964,-0.28451842803223304,0.5704495274408768,-0.1597475773310563,-0.1396958582179122,0.8555737439302294,-0.1295276460540691,0.24237461051056433,0.05763560619752061,1.0,0.6610181037036457,0.7785543382213767,0.9706579788277748,0.5968880639500442,0.9111324556066664,0.9162273321752793,0.9565265345430616,0.9181044509570844,0.831871185716472,0.8213225277754437,0.8318518858748979,0.3094291973304733,0.03145318249220005,0.3092009384431185,-0.08281184819948116,-0.04902402375943417,-0.08063153954727569,-0.10483640966454387,-0.15593557843541472,-0.031307986135228914,-0.11608593239920288,-0.15583030603464879,-0.11658215695841623,-0.15585129085115776,-0.10473813852463239,-0.17653768378761256,-0.006349695056393363,-0.1627447451252228,-0.1758216327634921,-0.26857856016864834,-0.23497991654475003,-0.28395430478405836,0.006981949721734711,0.07009737910977683,0.2922407207322362,0.02760106433538635,0.7512844572058154,0.7114427934990422,-0.1779006084162317,0.07847573465926305,-0.04409195659100638,0.025007110354289003
