dataset,variable,dtype,role,anomaly_model_allowed,downstream_model_allowed,missing_cells,unique_values
CIC-MalMem-2022,Class,str,Observed class label / downstream target,False,True,0,4
CIC-MalMem-2022,pslist.nproc,int64,Modeling feature,True,True,0,113
CIC-MalMem-2022,pslist.nppid,int64,Modeling feature,True,True,0,48
CIC-MalMem-2022,pslist.avg_threads,float64,Modeling feature,True,True,0,30075
CIC-MalMem-2022,pslist.nprocs64bit,int64,Constant feature — excluded from modeling,False,False,0,1
CIC-MalMem-2022,pslist.avg_handlers,float64,Modeling feature,True,True,921,37645
CIC-MalMem-2022,dlllist.ndlls,float64,Modeling feature,True,True,933,4390
CIC-MalMem-2022,dlllist.avg_dlls_per_proc,float64,Modeling feature,True,True,0,16218
CIC-MalMem-2022,handles.nhandles,float64,Modeling feature,True,True,919,11915
CIC-MalMem-2022,handles.avg_handles_per_proc,float64,Modeling feature,True,True,0,37875
CIC-MalMem-2022,handles.nport,int64,Constant feature — excluded from modeling,False,False,0,1
CIC-MalMem-2022,handles.nfile,int64,Modeling feature,True,True,0,1137
CIC-MalMem-2022,handles.nevent,int64,Modeling feature,True,True,0,3447
CIC-MalMem-2022,handles.ndesktop,int64,Modeling feature,True,True,0,64
CIC-MalMem-2022,handles.nkey,int64,Modeling feature,True,True,0,1094
CIC-MalMem-2022,handles.nthread,int64,Modeling feature,True,True,0,1168
CIC-MalMem-2022,handles.ndirectory,int64,Modeling feature,True,True,0,108
CIC-MalMem-2022,handles.nsemaphore,int64,Modeling feature,True,True,0,637
CIC-MalMem-2022,handles.ntimer,int64,Modeling feature,True,True,0,128
CIC-MalMem-2022,handles.nsection,int64,Modeling feature,True,True,0,626
CIC-MalMem-2022,handles.nmutant,int64,Modeling feature,True,True,0,408
CIC-MalMem-2022,ldrmodules.not_in_load,int64,Modeling feature,True,True,0,150
CIC-MalMem-2022,ldrmodules.not_in_init,int64,Modeling feature,True,True,0,185
CIC-MalMem-2022,ldrmodules.not_in_mem,int64,Modeling feature,True,True,0,150
CIC-MalMem-2022,ldrmodules.not_in_load_avg,float64,Modeling feature,True,True,0,18531
CIC-MalMem-2022,ldrmodules.not_in_init_avg,float64,Modeling feature,True,True,0,18692
CIC-MalMem-2022,ldrmodules.not_in_mem_avg,float64,Modeling feature,True,True,0,18531
CIC-MalMem-2022,malfind.ninjections,int64,Modeling feature,True,True,0,117
CIC-MalMem-2022,malfind.commitCharge,float64,Modeling feature,True,True,941,5161
CIC-MalMem-2022,malfind.protection,int64,Modeling feature,True,True,0,212
CIC-MalMem-2022,malfind.uniqueInjections,float64,Modeling feature,True,True,0,5517
CIC-MalMem-2022,psxview.not_in_pslist,int64,Modeling feature,True,True,0,41
CIC-MalMem-2022,psxview.not_in_eprocess_pool,int64,Modeling feature,True,True,0,2
CIC-MalMem-2022,psxview.not_in_ethread_pool,int64,Modeling feature,True,True,0,83
CIC-MalMem-2022,psxview.not_in_pspcid_list,int64,Modeling feature,True,True,0,43
CIC-MalMem-2022,psxview.not_in_csrss_handles,int64,Modeling feature,True,True,0,83
CIC-MalMem-2022,psxview.not_in_session,int64,Modeling feature,True,True,0,41
CIC-MalMem-2022,psxview.not_in_deskthrd,int64,Modeling feature,True,True,0,86
CIC-MalMem-2022,psxview.not_in_pslist_false_avg,float64,Modeling feature,True,True,0,9674
CIC-MalMem-2022,psxview.not_in_eprocess_pool_false_avg,float64,Modeling feature,True,True,0,195
CIC-MalMem-2022,psxview.not_in_ethread_pool_false_avg,float64,Modeling feature,True,True,0,10408
