,count,mean,std,min,25%,50%,75%,max,missing_count,skewness
ACCESS_PERSONAL_INFO___,11598.0,57.74349025694085,445.2804565604672,0.0,0.0,2.0,8.0,7647.0,0,11.13506371625144
ALTER_PHONE_STATE___,11598.0,0.001638213485083635,0.07368687433423413,0.0,0.0,0.0,0.0,5.0,0,58.3487850390503
ANTI_DEBUG_____,11598.0,0.050957061562338334,1.158213128411574,0.0,0.0,0.0,0.0,91.0,0,48.795078159994425
CREATE_FOLDER_____,11598.0,5.777289187790998,10.378446143101925,0.0,2.0,3.0,6.0,700.0,0,32.43579066812484
CREATE_PROCESS`_____,11598.0,0.9876702879806863,4.258375501098276,0.0,0.0,0.0,0.0,140.0,0,13.337649703402096
CREATE_THREAD_____,11598.0,29.660889808587687,31.743403075900847,0.0,10.0,17.0,39.0,1332.0,0,8.224038812887597
DEVICE_ACCESS_____,11598.0,29.4831867563373,267.61214262275666,0.0,2.0,3.0,21.0,26631.0,0,86.48670500644697
EXECUTE_____,11598.0,2.2621141576133814,10.517214986319026,0.0,0.0,0.0,0.0,399.0,0,16.243506194533307
FS_ACCESS____,11598.0,73.49042938437661,219.50556440124603,0.0,8.0,20.0,52.0,8380.0,0,16.721372466152538
FS_ACCESS()____,11598.0,6.675978617002931,19.97638151775639,0.0,0.0,1.0,5.0,1192.0,0,22.37122466263711
FS_ACCESS(CREATE)____,11598.0,16.009311950336265,53.580672064916435,0.0,2.0,3.0,11.0,2670.0,0,21.382700924522545
FS_ACCESS(CREATE__APPEND)__,11598.0,0.0387997930677703,0.6668165509277231,0.0,0.0,0.0,0.0,64.0,0,78.28360093719802
FS_ACCESS(CREATE__READ)__,11598.0,0.24530091395068115,1.1870474144621521,0.0,0.0,0.0,0.0,47.0,0,15.266844164680075
FS_ACCESS(CREATE__READ__WRITE),11598.0,1.3010863942058977,2.803541261884848,0.0,0.0,0.0,2.0,101.0,0,6.8857844752094035
FS_ACCESS(CREATE__WRITE)__,11598.0,14.370063804104156,31.365180850996374,0.0,2.0,5.0,12.0,1201.0,0,10.616813629105113
FS_ACCESS(CREATE__WRITE__APPEND),11598.0,0.3402310743231592,4.767957421003492,0.0,0.0,0.0,0.0,320.0,0,43.03531144935387
FS_ACCESS(READ)____,11598.0,230.40782893602346,902.6334632654414,0.0,10.0,17.5,122.0,62791.0,0,35.548695924524665
FS_ACCESS(READ__WRITE)__,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0,0,107.69401097554126
FS_ACCESS(WRITE)____,11598.0,7.662355578548025,8.064603897928908,0.0,6.0,6.0,7.0,288.0,0,16.282453283931414
FS_PIPE_ACCESS___,11598.0,4.0607863424728405,10.151767812747794,0.0,1.0,1.0,3.0,397.0,0,11.243398447599553
FS_PIPE_ACCESS()___,11598.0,0.003448870494912916,0.24879844826821398,0.0,0.0,0.0,0.0,26.0,0,99.30199471525059
FS_PIPE_ACCESS(READ)___,11598.0,2.50672529746508,14.722417882005177,0.0,0.0,0.0,0.0,207.0,0,7.090685531641363
FS_PIPE_ACCESS(READ__)_,11598.0,0.28410070701845147,1.922461957614498,0.0,0.0,0.0,0.0,66.0,0,16.075756471293356
FS_PIPE_ACCESS(READ__WRITE)_,11598.0,3.185376789101569,3.629179549344782,0.0,1.0,1.0,6.0,131.0,0,5.482919021247975
FS_PIPE_ACCESS(WRITE)___,11598.0,0.564235212967753,6.63452110488308,0.0,0.0,0.0,0.0,350.0,0,35.08221749906032
NETWORK_ACCESS____,11598.0,5.365407828936023,19.444930457094532,0.0,0.0,0.0,10.0,1832.0,0,72.02581836872889
NETWORK_ACCESS()____,11598.0,5.287808242800483,22.130121700089415,0.0,0.0,0.0,3.0,1053.0,0,19.31168823395635
NETWORK_ACCESS(READ)____,11598.0,0.0011208829108466977,0.033462263474605604,0.0,0.0,0.0,0.0,1.0,0,29.822558822346316
NETWORK_ACCESS(READ__WRITE)__,11598.0,7.104328332471115,17.53493602601335,0.0,0.0,2.0,7.0,934.0,0,17.864813234130242
NETWORK_ACCESS(READ__WRITE__),11598.0,0.0006897740989825832,0.05414163717210116,0.0,0.0,0.0,0.0,5.0,0,82.56151001344705
NETWORK_ACCESS(WRITE)____,11598.0,5.380237972064149,28.33557813784462,0.0,1.0,1.0,3.0,1491.0,0,29.270793956651076
NETWORK_ACCESS(WRITE__)__,11598.0,0.22615968270391446,0.9102040585226161,0.0,0.0,0.0,0.0,25.0,0,9.06728879711354
