,count,mean,std,min,25%,50%,75%,max,missing_count,skewness
pslist.nproc,58596.0,41.392040412314834,5.759793446107782,21.0,40.0,41.0,43.0,240.0,0,6.946574217046303
pslist.nppid,58596.0,14.713598197829203,2.660772436236538,8.0,12.0,15.0,16.0,72.0,0,2.9646251305564544
pslist.avg_threads,58596.0,11.33497825988605,1.874537164528421,0.0,9.953488372,11.081204750000001,12.89728907,32.15157346,0,-0.30968020573050065
pslist.nprocs64bit,58596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
pslist.avg_handlers,57675.0,593.7720827643519,1707.4201295003438,11.10453658,208.825,255.8074759,292.64845055,8888.0,921,4.646005111519577
dlllist.ndlls,57663.0,3914.1170475023846,10621.630367415819,538.0,1556.0,1869.0,2106.0,109858.708,933,5.195575203989521
dlllist.avg_dlls_per_proc,58596.0,43.70908173839011,5.739567070270726,7.333333333,38.83333333,42.786743895,49.605279665,53.17073171,0,-0.01734041802958254
handles.nhandles,57677.0,21546.19786429648,58885.58459643807,593.4879061,8342.0,10899.0,12320.0,1728986.31,919,5.9171979198466484
handles.avg_handles_per_proc,58596.0,249.59206436454733,147.34721725199498,0.0,209.6585366,252.5078518,291.82674275,33784.19355,0,201.24932638327462
handles.nport,58596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
handles.nfile,58596.0,899.5478189637518,3431.4170341032295,266.0,646.0,839.0,1080.0,807008.0,0,221.67908127205993
handles.nevent,58596.0,3572.5665062461603,805.1613007522889,966.0,2922.0,3149.0,4321.0,7892.0,0,0.20131338481124497
handles.ndesktop,58596.0,44.529131681343436,5.161230611858953,22.0,43.0,45.0,46.0,159.0,0,1.2766694078358807
handles.nkey,58596.0,774.2987405283637,150.31628375413254,284.0,675.0,753.0,859.0,2668.0,0,1.210964053178832
handles.nthread,58596.0,928.4637347259198,237.8363504605942,388.0,708.0,848.0,1169.0,5637.0,0,0.43508976988237336
handles.ndirectory,58596.0,102.39646050924978,9.784123337089294,57.0,99.0,103.0,107.0,498.0,0,1.9348532411938157
handles.nsemaphore,58596.0,683.3596149907844,94.47328244289862,296.0,613.0,684.0,750.0,4268.0,0,0.5131577710113001
