feature_1,feature_2,absolute_correlation
beginRestoreSession,endRestoreSession,1.0
isSyncActive,removeStatusChangeListener,1.0
beginRestoreSession,restorePackage,1.0
setPlaybackState,setTransportControlInfo,1.0
setgid32,setuid32,1.0
fstatfs64,timer_create,1.0
isBluetoothA2dpOn,startWatchingRoutes,1.0
capset,setgroups32,1.0
setMetadata,setTransportControlInfo,1.0
setMetadata,setPlaybackState,1.0
getState,startWatchingRoutes,1.0
chown32,getresgid32,1.0
chown32,mount,1.0
getresuid32,mount,1.0
getresgid32,mount,1.0
ALTER_PHONE_STATE___,updateServiceLocation,1.0
endRestoreSession,restorePackage,1.0
getBoolean,getLong,1.0
cancelSync,removeStatusChangeListener,1.0
cancelSync,isSyncActive,1.0
getIsSyncable,isPackageAvailable,1.0
EXECUTE_____,execve,1.0
getFlashlightEnabled,setFlashlightEnabled,1.0
getresgid32,getresuid32,1.0
chown32,getresuid32,1.0
sched_getparam,sched_getscheduler,1.0
sched_get_priority_max,sched_get_priority_min,1.0
getState,isBluetoothA2dpOn,1.0
getWifiApConfiguration,setWifiApConfiguration,0.9999999999999996
getAppWidgetInfo,hasNamedWallpaper,0.9999999999999991
