feature_1,feature_2,absolute_correlation
ldrmodules.not_in_load,ldrmodules.not_in_mem,0.9999935716193596
psxview.not_in_pslist,psxview.not_in_session,0.9999865993888206
ldrmodules.not_in_load_avg,ldrmodules.not_in_mem_avg,0.9999787962544322
malfind.ninjections,malfind.protection,0.9999549264752263
psxview.not_in_ethread_pool,psxview.not_in_csrss_handles,0.9998859641365507
pslist.avg_handlers,svcscan.nactive,0.9994060085744607
psxview.not_in_pslist_false_avg,psxview.not_in_session_false_avg,0.9939272470233245
psxview.not_in_pslist,psxview.not_in_pspcid_list,0.990632613072473
psxview.not_in_pspcid_list,psxview.not_in_session,0.990623244342621
psxview.not_in_csrss_handles,psxview.not_in_deskthrd,0.9860241206882211
psxview.not_in_pslist_false_avg,psxview.not_in_pspcid_list_false_avg,0.9858610596464106
psxview.not_in_ethread_pool,psxview.not_in_deskthrd,0.9856982747180486
ldrmodules.not_in_init,ldrmodules.not_in_mem,0.9817272099044075
ldrmodules.not_in_load,ldrmodules.not_in_init,0.9817025082790151
psxview.not_in_ethread_pool_false_avg,psxview.not_in_csrss_handles_false_avg,0.9814899670609306
psxview.not_in_pslist,psxview.not_in_pslist_false_avg,0.9802021146555635
psxview.not_in_session,psxview.not_in_pslist_false_avg,0.980186122868467
psxview.not_in_pspcid_list,psxview.not_in_pspcid_list_false_avg,0.9800891799684692
psxview.not_in_pspcid_list_false_avg,psxview.not_in_session_false_avg,0.9798525356437265
handles.ndesktop,handles.ndirectory,0.9726011698828165
psxview.not_in_pspcid_list,psxview.not_in_pslist_false_avg,0.9708927768096188
handles.nevent,handles.nthread,0.9706579788277748
psxview.not_in_session,psxview.not_in_session_false_avg,0.9700525749852589
psxview.not_in_pslist,psxview.not_in_session_false_avg,0.970035154646496
psxview.not_in_pslist,psxview.not_in_pspcid_list_false_avg,0.9664625731094874
psxview.not_in_session,psxview.not_in_pspcid_list_false_avg,0.9664520408857644
psxview.not_in_csrss_handles_false_avg,psxview.not_in_deskthrd_false_avg,0.9621744275256291
psxview.not_in_pspcid_list,psxview.not_in_session_false_avg,0.9607919751347269
handles.nevent,handles.nsection,0.9565265345430616
handles.avg_handles_per_proc,handles.nfile,0.9559829050982648
