evidence_key,filename,rows,columns,status
dataset_characteristics,table_attack_distribution.csv,16,4,PRESENT
class_distribution,table_class_imbalance_class_distribution.csv,7,3,PRESENT
missingness,table_missingness_overall.csv,2,3,PRESENT
duplicates,table_duplicate_by_attack.csv,8,3,PRESENT
outliers,table_outlier_by_attack.csv,16,6,PRESENT
invalid_values,table_negative_values_by_attack.csv,16,3,PRESENT
malmem_descriptive,table_descriptive_malmem.csv,55,9,PRESENT
android_descriptive,table_descriptive_android.csv,470,9,PRESENT
integrity,table_integrity_unit_tests_malmem.csv,6,10,PRESENT
anomaly,table_anomaly_detection_performance.csv,2,13,PRESENT
attack_specific,attack_specific_detection.csv,14,17,PRESENT
poisonshield,table8_attack_specific_results.csv,14,7,PRESENT
rate_robustness,table_phase18_11_poisoning_rate_sensitivity.csv,32,8,PRESENT
ablation,table_phase18_14_ablation_study.csv,12,6,PRESENT
downstream,table_phase19_7_rq5_downstream_comparison.csv,2,8,PRESENT
statistics,table_phase18_15_statistical_comparison.csv,168,5,PRESENT
rq1,table_phase19_2_rq1_integrity_interpretation.csv,6,7,PRESENT
rq2,table_phase19_3_rq2_anomaly_interpretation.csv,14,9,PRESENT
rq3,table_phase19_4_rq3_poisonshield_interpretation.csv,14,12,PRESENT
rq4,table_phase19_6_rq4_rate_comparison.csv,8,9,PRESENT
rq5,table_phase19_7_rq5_downstream_comparison.csv,2,8,PRESENT
rq6,table_phase19_8_rq6_detection_retention_tradeoff.csv,12,6,PRESENT
hypotheses,table_phase19_11_hypothesis_evaluation.csv,3,3,PRESENT
rq_synthesis,table_phase19_12_final_rq_synthesis.csv,6,5,PRESENT
variables,table3_variable_measurement_definitions.csv,15,10,PRESENT
