artifact_type,filename,rows,columns,status
table,attack_specific_detection.csv,14.0,17.0,AVAILABLE
table,attack_specific_detection_summary.csv,2.0,8.0,AVAILABLE
table,confusion_matrix_phase10_android_clean.csv,5.0,6.0,AVAILABLE
table,confusion_matrix_phase10_E1_android.csv,5.0,6.0,AVAILABLE
table,confusion_matrix_phase10_E1_malmem.csv,4.0,5.0,AVAILABLE
table,confusion_matrix_phase10_E2_android.csv,5.0,6.0,AVAILABLE
table,confusion_matrix_phase10_E2_malmem.csv,4.0,5.0,AVAILABLE
table,confusion_matrix_phase10_E3_android.csv,5.0,6.0,AVAILABLE
table,confusion_matrix_phase10_E3_malmem.csv,4.0,5.0,AVAILABLE
table,confusion_matrix_phase10_E4_android.csv,5.0,6.0,AVAILABLE
table,confusion_matrix_phase10_E4_malmem.csv,4.0,5.0,AVAILABLE
table,confusion_matrix_phase10_malmem_clean.csv,4.0,5.0,AVAILABLE
table,phase12_experimental_matrix.csv,672.0,5.0,AVAILABLE
table,table3_variable_measurement_definitions.csv,15.0,10.0,AVAILABLE
table,table8_attack_specific_results.csv,14.0,7.0,AVAILABLE
table,table_android_andmal_identity_check.csv,2.0,5.0,AVAILABLE
table,table_android_cicmaldroid_identity_check.csv,3.0,4.0,AVAILABLE
table,table_anomaly_attack_specific_android.csv,7.0,9.0,AVAILABLE
table,table_anomaly_attack_specific_malmem.csv,7.0,9.0,AVAILABLE
table,table_anomaly_detection_performance.csv,2.0,13.0,AVAILABLE
table,table_anomaly_threshold_sensitivity.csv,4.0,3.0,AVAILABLE
table,table_attack_distribution.csv,16.0,4.0,AVAILABLE
table,table_class_imbalance_attack_summary.csv,2.0,3.0,AVAILABLE
table,table_class_imbalance_class_distribution.csv,7.0,3.0,AVAILABLE
table,table_class_imbalance_quality_audit.csv,2.0,6.0,AVAILABLE
table,table_class_imbalance_validation.csv,2.0,11.0,AVAILABLE
table,table_constant_feature_audit.csv,5.0,6.0,AVAILABLE
