evidence_category,artifact,status
attack_distribution,table_attack_distribution.csv,FOUND
attack_distribution,table_phase18_5_attack_distribution.csv,FOUND
anomaly_detection,table_anomaly_attack_specific_android.csv,FOUND
anomaly_detection,table_anomaly_attack_specific_malmem.csv,FOUND
anomaly_detection,table_anomaly_detection_performance.csv,FOUND
anomaly_detection,table_anomaly_threshold_sensitivity.csv,FOUND
anomaly_detection,table_phase10_E3_anomaly_only.csv,FOUND
anomaly_detection,table_phase18_7_anomaly_detection_performance.csv,FOUND
anomaly_detection,table_phase19_3_rq2_anomaly_interpretation.csv,FOUND
integrity,table_integrity_unit_tests_malmem.csv,FOUND
integrity,table_phase10_E2_integrity_only.csv,FOUND
integrity,table_phase18_8_integrity_performance.csv,FOUND
integrity,table_phase19_2_rq1_integrity_interpretation.csv,FOUND
attack_specific,attack_specific_detection.csv,FOUND
attack_specific,attack_specific_detection_summary.csv,FOUND
attack_specific,table8_attack_specific_results.csv,FOUND
attack_specific,table_anomaly_attack_specific_android.csv,FOUND
attack_specific,table_anomaly_attack_specific_malmem.csv,FOUND
attack_specific,table_phase11_attack_specific_detection.csv,FOUND
attack_specific,table_phase18_10_attack_specific_results.csv,FOUND
attack_specific,table_poisonshield_attack_specific_android.csv,FOUND
attack_specific,table_poisonshield_attack_specific_malmem.csv,FOUND
poisoning_rate,table_phase18_11_poisoning_rate_sensitivity.csv,FOUND
downstream,table_phase10_E1_E4_downstream_comparison.csv,FOUND
downstream,table_phase18_12_downstream_performance.csv,FOUND
downstream,table_phase19_7_rq5_downstream_comparison.csv,FOUND
downstream,table_phase19_7_rq5_downstream_summary.csv,FOUND
ablation,table_phase14_2_ablation_results.csv,FOUND
ablation,table_phase14_2_ablation_summary.csv,FOUND
ablation,table_phase14_3_ablation_comparisons.csv,FOUND
ablation,table_phase14_4_final_ablation_summary.csv,FOUND
ablation,table_phase18_14_ablation_study.csv,FOUND
statistical,table_phase15_6_statistical_effect_summary.csv,FOUND
statistical,table_phase15_7_dataset_statistical_summary.csv,FOUND
statistical,table_phase15_7_statistical_interpretation.csv,FOUND
statistical,table_phase15_8_dataset_statistical_summary.csv,FOUND
statistical,table_phase15_8_final_statistical_reporting.csv,FOUND
statistical,table_phase18_15_statistical_comparison.csv,FOUND
computational,table_phase15_9_computational_reporting_status.csv,FOUND
computational,table_phase18_16_computational_overhead.csv,FOUND
