section,artifact,exists,validated_at
5.1,table_attack_distribution.csv,True,2026-09-13T13:21:48
5.1,table_poisoned_summary.csv,True,2026-09-13T13:21:48
5.2,table_missingness_overall.csv,True,2026-09-13T13:21:48
5.2,table_duplicate_by_attack.csv,True,2026-09-13T13:21:48
5.2,table_outlier_by_attack.csv,True,2026-09-13T13:21:48
5.2,table_negative_values_by_attack.csv,True,2026-09-13T13:21:48
5.2,table_descriptive_malmem.csv,True,2026-09-13T13:21:48
5.2,table_descriptive_android.csv,True,2026-09-13T13:21:48
5.3,table_integrity_unit_tests_malmem.csv,True,2026-09-13T13:21:48
5.4,table_anomaly_detection_performance.csv,True,2026-09-13T13:21:48
5.5,table_phase19_4_rq3_poisonshield_interpretation.csv,True,2026-09-13T13:21:48
5.6,attack_specific_detection.csv,True,2026-09-13T13:21:48
5.6,table8_attack_specific_results.csv,True,2026-09-13T13:21:48
5.7,table_phase18_11_poisoning_rate_sensitivity.csv,True,2026-09-13T13:21:48
5.8,table_phase19_7_rq5_downstream_comparison.csv,True,2026-09-13T13:21:48
5.9,table_phase18_14_ablation_study.csv,True,2026-09-13T13:21:48
5.10,table_phase18_11_poisoning_rate_sensitivity.csv,True,2026-09-13T13:21:48
5.11,table_phase18_15_statistical_comparison.csv,True,2026-09-13T13:21:48
5.12,table_phase15_7_dataset_statistical_summary.csv,True,2026-09-13T13:21:48
