section_id,section_title
Chapter 1,Introduction
Chapter 1.1,Background
Chapter 1.2,Training-Data Poisoning
Chapter 1.3,Research Problem
Chapter 1.4,Research Gap
Chapter 1.5,PoisonShield Approach
Chapter 1.6,Research Aim
Chapter 1.7,Research Questions
Chapter 1.8,Research Hypotheses
Chapter 1.9,Research Contributions
Chapter 1.10,Paper Organization
Chapter 2,Literature Review
Chapter 3,Methodology
Chapter 4,Data Description
Chapter 5,Results
Chapter 6,Discussion
Chapter 7,Limitations
Chapter 8,Conclusion
Appendices,Reproducibility and Supplementary Material
