artifact,rows,columns,column_names,contains_numeric,contains_attack_type,contains_dataset,contains_seed,contains_rate,contains_defense
attack_specific_detection.csv,14,17,dataset | attack_type | clean_rows | attack_rows | evaluation_rows | threshold | precision | recall | f1 | roc_auc | pr_auc | fpr | fnr | tn | fp | fn | tp,True,True,True,False,False,False
attack_specific_detection_summary.csv,2,8,dataset | precision | recall | f1 | roc_auc | pr_auc | fpr | fnr,True,False,True,False,False,False
confusion_matrix_phase10_android_clean.csv,5,6,Unnamed: 0 | Adware | Banking | Benign | Riskware | SMS malware,True,False,False,False,False,False
confusion_matrix_phase10_E1_android.csv,5,6,Unnamed: 0 | Adware | Banking | Benign | Riskware | SMS malware,True,False,False,False,False,False
confusion_matrix_phase10_E1_malmem.csv,4,5,Unnamed: 0 | Benign | Ransomware | Spyware | Trojan,True,False,False,False,False,False
confusion_matrix_phase10_E2_android.csv,5,6,Unnamed: 0 | Adware | Banking | Benign | Riskware | SMS malware,True,False,False,False,False,False
confusion_matrix_phase10_E2_malmem.csv,4,5,Unnamed: 0 | Benign | Ransomware | Spyware | Trojan,True,False,False,False,False,False
confusion_matrix_phase10_E3_android.csv,5,6,Unnamed: 0 | Adware | Banking | Benign | Riskware | SMS malware,True,False,False,False,False,False
confusion_matrix_phase10_E3_malmem.csv,4,5,Unnamed: 0 | Benign | Ransomware | Spyware | Trojan,True,False,False,False,False,False
confusion_matrix_phase10_E4_android.csv,5,6,Unnamed: 0 | Adware | Banking | Benign | Riskware | SMS malware,True,False,False,False,False,False
confusion_matrix_phase10_E4_malmem.csv,4,5,Unnamed: 0 | Benign | Ransomware | Spyware | Trojan,True,False,False,False,False,False
confusion_matrix_phase10_malmem_clean.csv,4,5,Unnamed: 0 | Benign | Ransomware | Spyware | Trojan,True,False,False,False,False,False
phase12_experimental_matrix.csv,672,5,dataset | attack_type | poisoning_rate | defense | seed,True,True,True,True,False,True
table3_variable_measurement_definitions.csv,15,10,variable | dataset | type | measurement | role | observed_values | anomaly_predictor | integrity_input | evaluation_variable | transformation,False,False,True,False,False,False
table8_attack_specific_results.csv,14,7,dataset | attack_type | Integrity | Anomaly | PoisonShield | PoisonShield_vs_Integrity | PoisonShield_vs_Anomaly,True,True,True,False,False,False
table_android_andmal_identity_check.csv,2,5,property | local_value | official_CCCS_CIC_AndMal_2020_reference | matches_official_scale | matches_reference_category_count,True,False,False,False,False,False
table_android_cicmaldroid_identity_check.csv,3,4,property | local_value | official_CICMalDroid2020_reference | match,True,False,False,False,False,False
table_anomaly_attack_specific_android.csv,7,9,attack_type | n_attack | precision | recall | f1 | roc_auc | pr_auc | fpr | fnr,True,True,False,False,False,False
table_anomaly_attack_specific_malmem.csv,7,9,attack_type | n_attack | precision | recall | f1 | roc_auc | pr_auc | fpr | fnr,True,True,False,False,False,False
table_anomaly_detection_performance.csv,2,13,dataset | threshold_percentile | precision | recall | f1 | roc_auc | pr_auc | fpr | fnr | tn | fp | fn | tp,True,False,True,False,False,False
table_anomaly_threshold_sensitivity.csv,4,3,percentile | malmem_threshold | android_threshold,True,False,False,False,False,False
table_attack_distribution.csv,16,4,dataset | attack_type | count | percentage,True,True,True,False,False,False
table_class_imbalance_attack_summary.csv,2,3,dataset | rows | attack_type,True,True,True,False,False,False
table_class_imbalance_class_distribution.csv,7,3,dataset | class | observations,True,False,True,False,False,False
table_class_imbalance_quality_audit.csv,2,6,dataset | rows | missing_cells | exact_duplicates | nonnegative_source_indices | feature_overlap_with_primary,True,False,True,False,False,False
table_class_imbalance_validation.csv,2,11,dataset | rows | expected_rows | row_count_pass | attack_type_pass | missing_value_pass | source_index_pass | primary_attack_separation_pass | exact_duplicates | feature_overlap_with_primary | PHASE_2_10_PASS,True,False,True,False,False,False
table_constant_feature_audit.csv,5,6,dataset | feature | unique_count | variance | constant | modeling_decision,True,False,True,False,False,False
table_constant_feature_validation.csv,2,10,dataset | detected_constant_features | expected_constant_features | constant_feature_count_pass | constant_feature_set_pass | one_unique_value_pass | zero_variance_pass | candidate_model_features | no_constants_in_model_features | PHASE_2_7_PASS,True,False,True,False,False,False
table_dataset_feature_identity.csv,2,4,dataset | local_substantive_features | expected_substantive_features | match,True,False,True,False,False,False
table_dataset_identity.csv,4,7,dataset_role | local_file | working_name | rows | columns | substantive_numeric_features | provisional_identity,True,False,False,False,False,False
table_dataset_identity_validation.csv,2,9,dataset | local_rows | expected_rows | row_count_pass | local_features | expected_features | feature_count_pass | identity_documented | PHASE_2_11_PASS,True,False,True,False,False,False
table_dataset_provenance_decision.csv,3,4,dataset | local_file | identity_decision | reason,False,False,True,False,False,False
table_descriptive_android.csv,470,9,variable | count | mean | std | min | 25% | 50% | 75% | max,True,False,False,False,False,False
table_descriptive_malmem.csv,55,9,variable | count | mean | std | min | 25% | 50% | 75% | max,True,False,False,False,False,False
table_duplicate_by_attack.csv,8,3,dataset | attack_type | duplicate_rows,True,True,True,False,False,False
table_duplicate_overall.csv,2,2,dataset | exact_duplicate_rows,True,False,True,False,False,False
table_duplicate_validation.csv,2,17,dataset | exact_duplicate_rows | expected_exact_duplicate_rows | exact_duplicate_count_pass | clean_duplicate_rows | expected_clean_duplicate_rows | clean_duplicate_count_pass | sample_duplication_rows | expected_sample_duplication_rows | sample_duplication_count_pass | valid_duplication_source_indices | invalid_duplication_source_indices | source_index_validation_pass | sample_duplication_clean_feature_matches | expected_feature_matches | feature_match_pass | PHASE_2_6_PASS,True,False,True,False,False,False
table_feature_count_after_constant_audit.csv,2,4,dataset | numeric_features_before | constant_features | candidate_modeling_features,True,False,True,False,False,False
table_infinite_values_by_feature.csv,525,3,dataset | feature | infinite_count,True,False,True,False,False,False
table_integrity_unit_tests_malmem.csv,6,10,experiment | trusted_rows | observed_rows | unique_trusted_hashes | unique_observed_hashes | added_hashes | removed_hashes | multiplicity_anomalies | matching_hashes | risk_hashes,True,False,False,False,False,False
table_invalid_value_validation.csv,2,15,dataset | numeric_feature_count | negative_cells | negative_value_pass | infinite_cells | infinite_value_pass | clean_negative_cells | clean_negative_pass | clean_infinite_cells | clean_infinite_pass | poisoned_negative_cells | poisoned_negative_pass | poisoned_infinite_cells | poisoned_infinite_pass | PHASE_2_8_PASS,True,False,True,False,False,False
table_label_consistency_audit.csv,16,6,dataset | attack_type | observations | label_mismatches | label_match | mismatch_percentage,True,True,True,False,False,False
table_missing_cells_by_attack.csv,16,3,dataset | attack_type | missing_cells,True,True,True,False,False,False
table_missingness_by_attack.csv,16,3,dataset | attack_type | rows_with_missing,True,True,True,False,False,False
table_missingness_by_feature.csv,10,3,dataset | feature | missing_count,True,False,True,False,False,False
table_missingness_overall.csv,2,3,dataset | missing_cells | rows_with_missing,True,False,True,False,False,False
table_negative_values_by_attack.csv,16,3,dataset | attack_type | negative_cells,True,True,True,False,False,False
table_negative_values_by_feature.csv,525,3,dataset | feature | negative_count,True,False,True,False,False,False
table_outlier_by_attack.csv,16,6,dataset | attack_type | observations | outlier_cells | rows_with_outlier | row_outlier_percentage,True,True,True,False,False,False
table_outlier_by_feature.csv,520,4,dataset | feature | outlier_count | outlier_percentage,True,False,True,False,False,False
table_outlier_clean_vs_poisoned.csv,4,5,group | observations | rows_with_outlier | row_outlier_percentage | dataset,True,False,True,False,False,False
table_outlier_validation.csv,2,8,dataset | candidate_features | feature_count_pass | nonnegative_outlier_counts_pass | feature_alignment_pass | attack_type_coverage_pass | automatic_removal | PHASE_2_9_PASS,True,False,True,False,False,False
table_phase10_clean_baseline.csv,2,11,dataset | training_condition | seed | training_rows | test_rows | accuracy | macro_precision | macro_recall | macro_f1 | balanced_accuracy | training_time_seconds,True,False,True,True,False,False
