dataset,attack_type,detector,attack_rows,clean_rows,precision,recall,f1,pr_auc,fpr,fnr,PoisonShield_vs_Integrity_F1,PoisonShield_vs_Anomaly_F1
MalMem,backdoor_injection,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,backdoor_injection,E3_Anomaly_Only,2342,42202,0.07632894139027714,0.07173356105892399,0.07395993836671803,0.054281022065138795,0.048173072366238565,0.928266438941076,,
MalMem,backdoor_injection,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.8201038142578286
MalMem,gaussian_noise_injection,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,gaussian_noise_injection,E3_Anomaly_Only,2342,42202,0.13193851409052093,0.13193851409052093,0.13193851409052093,0.0630480373050123,0.048173072366238565,0.8680614859094791,,
MalMem,gaussian_noise_injection,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.7621252385340257
MalMem,label_flipping,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,label_flipping,E3_Anomaly_Only,2342,42202,0.07338195077484047,0.06874466268146882,0.07098765432098765,0.05400744072878663,0.048173072366238565,0.9312553373185312,,
MalMem,label_flipping,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.823076098303559
MalMem,feature_poisoning,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,feature_poisoning,E3_Anomaly_Only,2342,42202,0.10833333333333334,0.10546541417591802,0.10688013846819559,0.058457567857563536,0.048173072366238565,0.894534585824082,,
MalMem,feature_poisoning,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.7871836141563511
MalMem,missing_value_injection,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,missing_value_injection,E3_Anomaly_Only,2342,42202,0.07126541799908634,0.06660973526900085,0.0688589715294637,0.053822042465834295,0.048173072366238565,0.9333902647309992,,
MalMem,missing_value_injection,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.8252047810950829
MalMem,outlier_injection,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,outlier_injection,E3_Anomaly_Only,2342,42202,0.12821612349914235,0.12766865926558496,0.1279418057338468,0.062233943514400654,0.048173072366238565,0.872331340734415,,
MalMem,outlier_injection,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.7661219468906998
MalMem,sample_duplication,E2_Integrity_Only,2342,42202,1.0,1.0,1.0,0.052577227011494254,0.0,0.0,,
MalMem,sample_duplication,E3_Anomaly_Only,2342,42202,0.07674841053587647,0.0721605465414176,0.0743838028169014,0.054321432825166584,0.048173072366238565,0.9278394534585824,,
MalMem,sample_duplication,E4_PoisonShield,2342,42202,0.8084225060407317,1.0,0.8940637526245466,0.8084225060407317,0.013151035495948059,0.0,-0.10593624737545337,0.8196799498076452
Android,backdoor_injection,E2_Integrity_Only,783,6117,0.9923954372623575,1.0,0.9961832061068703,0.11347826086956522,0.000980872976949485,0.0,,
Android,backdoor_injection,E3_Anomaly_Only,783,6117,0.08928571428571429,0.038314176245210725,0.05361930294906166,0.11255134337593109,0.05002452182442374,0.9616858237547893,,
Android,backdoor_injection,E4_PoisonShield,783,6117,0.9399759903961584,1.0,0.969059405940594,0.9399759903961584,0.008173941474579042,0.0,-0.027123800166276246,0.9154401029915323
Android,gaussian_noise_injection,E2_Integrity_Only,783,6117,0.9923761118170267,0.9974457215836526,0.9949044585987261,0.11318924148446162,0.000980872976949485,0.002554278416347382,,
Android,gaussian_noise_injection,E3_Anomaly_Only,783,6117,0.09198813056379822,0.03959131545338442,0.055357142857142855,0.11262743834149526,0.05002452182442374,0.9604086845466155,,
Android,gaussian_noise_injection,E4_PoisonShield,783,6117,0.9398315282791817,0.9974457215836526,0.9677819083023544,0.9377207919639593,0.008173941474579042,0.002554278416347382,-0.027122550296371672,0.9124247654452116
Android,label_flipping,E2_Integrity_Only,783,6117,0.9923566878980892,0.9948914431673053,0.9936224489795918,0.11290189238078335,0.000980872976949485,0.005108556832694764,,
Android,label_flipping,E3_Anomaly_Only,783,6117,0.08383233532934131,0.035759897828863345,0.050134288272157566,0.11241812560120473,0.05002452182442374,0.9642401021711366,,
Android,label_flipping,E4_PoisonShield,783,6117,0.9396863691194209,0.9948914431673053,0.966501240694789,0.9354656380427934,0.008173941474579042,0.005108556832694764,-0.0271212082848028,0.9163669524226314
Android,feature_poisoning,E2_Integrity_Only,783,6117,0.9923954372623575,1.0,0.9961832061068703,0.11347826086956522,0.000980872976949485,0.0,,
Android,feature_poisoning,E3_Anomaly_Only,783,6117,0.09198813056379822,0.03959131545338442,0.055357142857142855,0.11262743834149526,0.05002452182442374,0.9604086845466155,,
Android,feature_poisoning,E4_PoisonShield,783,6117,0.9399759903961584,1.0,0.969059405940594,0.9399759903961584,0.008173941474579042,0.0,-0.027123800166276246,0.9137022630834511
Android,missing_value_injection,E2_Integrity_Only,783,6117,0.9923954372623575,1.0,0.9961832061068703,0.11347826086956522,0.000980872976949485,0.0,,
Android,missing_value_injection,E3_Anomaly_Only,783,6117,0.10526315789473684,0.04597701149425287,0.064,0.11310055498566507,0.05002452182442374,0.9540229885057471,,
Android,missing_value_injection,E4_PoisonShield,783,6117,0.9399759903961584,1.0,0.969059405940594,0.9399759903961584,0.008173941474579042,0.0,-0.027123800166276246,0.9050594059405941
Android,outlier_injection,E2_Integrity_Only,783,6117,0.9923954372623575,1.0,0.9961832061068703,0.11347826086956522,0.000980872976949485,0.0,,
Android,outlier_injection,E3_Anomaly_Only,783,6117,0.11560693641618497,0.05108556832694764,0.070859167404783,0.11358700546964796,0.05002452182442374,0.9489144316730523,,
Android,outlier_injection,E4_PoisonShield,783,6117,0.9399759903961584,1.0,0.969059405940594,0.9399759903961584,0.008173941474579042,0.0,-0.027123800166276246,0.898200238535811
Android,sample_duplication,E2_Integrity_Only,783,6117,0.9923954372623575,1.0,0.9961832061068703,0.11347826086956522,0.000980872976949485,0.0,,
Android,sample_duplication,E3_Anomaly_Only,783,6117,0.09734513274336283,0.0421455938697318,0.058823529411764705,0.11279832060370994,0.05002452182442374,0.9578544061302682,,
Android,sample_duplication,E4_PoisonShield,783,6117,0.9399759903961584,1.0,0.969059405940594,0.9399759903961584,0.008173941474579042,0.0,-0.027123800166276246,0.9102358765288293
