dataset,attack_type,poisoning_rate,defense,seed
MalMem,backdoor_injection,0.01,E1_No_Defense,42
MalMem,backdoor_injection,0.01,E1_No_Defense,123
MalMem,backdoor_injection,0.01,E1_No_Defense,2026
MalMem,backdoor_injection,0.01,E2_Integrity_Only,42
MalMem,backdoor_injection,0.01,E2_Integrity_Only,123
MalMem,backdoor_injection,0.01,E2_Integrity_Only,2026
MalMem,backdoor_injection,0.01,E3_Anomaly_Only,42
MalMem,backdoor_injection,0.01,E3_Anomaly_Only,123
MalMem,backdoor_injection,0.01,E3_Anomaly_Only,2026
MalMem,backdoor_injection,0.01,E4_PoisonShield,42
MalMem,backdoor_injection,0.01,E4_PoisonShield,123
MalMem,backdoor_injection,0.01,E4_PoisonShield,2026
MalMem,backdoor_injection,0.05,E1_No_Defense,42
MalMem,backdoor_injection,0.05,E1_No_Defense,123
MalMem,backdoor_injection,0.05,E1_No_Defense,2026
MalMem,backdoor_injection,0.05,E2_Integrity_Only,42
MalMem,backdoor_injection,0.05,E2_Integrity_Only,123
MalMem,backdoor_injection,0.05,E2_Integrity_Only,2026
MalMem,backdoor_injection,0.05,E3_Anomaly_Only,42
MalMem,backdoor_injection,0.05,E3_Anomaly_Only,123
MalMem,backdoor_injection,0.05,E3_Anomaly_Only,2026
MalMem,backdoor_injection,0.05,E4_PoisonShield,42
MalMem,backdoor_injection,0.05,E4_PoisonShield,123
MalMem,backdoor_injection,0.05,E4_PoisonShield,2026
MalMem,backdoor_injection,0.1,E1_No_Defense,42
MalMem,backdoor_injection,0.1,E1_No_Defense,123
MalMem,backdoor_injection,0.1,E1_No_Defense,2026
MalMem,backdoor_injection,0.1,E2_Integrity_Only,42
MalMem,backdoor_injection,0.1,E2_Integrity_Only,123
MalMem,backdoor_injection,0.1,E2_Integrity_Only,2026
MalMem,backdoor_injection,0.1,E3_Anomaly_Only,42
MalMem,backdoor_injection,0.1,E3_Anomaly_Only,123
MalMem,backdoor_injection,0.1,E3_Anomaly_Only,2026
MalMem,backdoor_injection,0.1,E4_PoisonShield,42
MalMem,backdoor_injection,0.1,E4_PoisonShield,123
MalMem,backdoor_injection,0.1,E4_PoisonShield,2026
MalMem,backdoor_injection,0.2,E1_No_Defense,42
MalMem,backdoor_injection,0.2,E1_No_Defense,123
MalMem,backdoor_injection,0.2,E1_No_Defense,2026
MalMem,backdoor_injection,0.2,E2_Integrity_Only,42
MalMem,backdoor_injection,0.2,E2_Integrity_Only,123
MalMem,backdoor_injection,0.2,E2_Integrity_Only,2026
MalMem,backdoor_injection,0.2,E3_Anomaly_Only,42
MalMem,backdoor_injection,0.2,E3_Anomaly_Only,123
MalMem,backdoor_injection,0.2,E3_Anomaly_Only,2026
MalMem,backdoor_injection,0.2,E4_PoisonShield,42
MalMem,backdoor_injection,0.2,E4_PoisonShield,123
MalMem,backdoor_injection,0.2,E4_PoisonShield,2026
MalMem,gaussian_noise_injection,0.01,E1_No_Defense,42
MalMem,gaussian_noise_injection,0.01,E1_No_Defense,123
MalMem,gaussian_noise_injection,0.01,E1_No_Defense,2026
MalMem,gaussian_noise_injection,0.01,E2_Integrity_Only,42
MalMem,gaussian_noise_injection,0.01,E2_Integrity_Only,123
MalMem,gaussian_noise_injection,0.01,E2_Integrity_Only,2026
MalMem,gaussian_noise_injection,0.01,E3_Anomaly_Only,42
MalMem,gaussian_noise_injection,0.01,E3_Anomaly_Only,123
MalMem,gaussian_noise_injection,0.01,E3_Anomaly_Only,2026
MalMem,gaussian_noise_injection,0.01,E4_PoisonShield,42
MalMem,gaussian_noise_injection,0.01,E4_PoisonShield,123
MalMem,gaussian_noise_injection,0.01,E4_PoisonShield,2026
MalMem,gaussian_noise_injection,0.05,E1_No_Defense,42
MalMem,gaussian_noise_injection,0.05,E1_No_Defense,123
MalMem,gaussian_noise_injection,0.05,E1_No_Defense,2026
MalMem,gaussian_noise_injection,0.05,E2_Integrity_Only,42
MalMem,gaussian_noise_injection,0.05,E2_Integrity_Only,123
MalMem,gaussian_noise_injection,0.05,E2_Integrity_Only,2026
MalMem,gaussian_noise_injection,0.05,E3_Anomaly_Only,42
MalMem,gaussian_noise_injection,0.05,E3_Anomaly_Only,123
MalMem,gaussian_noise_injection,0.05,E3_Anomaly_Only,2026
MalMem,gaussian_noise_injection,0.05,E4_PoisonShield,42
MalMem,gaussian_noise_injection,0.05,E4_PoisonShield,123
MalMem,gaussian_noise_injection,0.05,E4_PoisonShield,2026
