variable,count,mean,std,min,25%,50%,75%,max
ACCESS_PERSONAL_INFO___,11598.0,57.74349025694085,445.2804565604672,0.0,0.0,2.0,8.0,7647.0
ALTER_PHONE_STATE___,11598.0,0.001638213485083635,0.07368687433423413,0.0,0.0,0.0,0.0,5.0
ANTI_DEBUG_____,11598.0,0.050957061562338334,1.158213128411574,0.0,0.0,0.0,0.0,91.0
CREATE_FOLDER_____,11598.0,5.777289187790998,10.378446143101925,0.0,2.0,3.0,6.0,700.0
CREATE_PROCESS`_____,11598.0,0.9876702879806863,4.258375501098276,0.0,0.0,0.0,0.0,140.0
CREATE_THREAD_____,11598.0,29.660889808587687,31.743403075900847,0.0,10.0,17.0,39.0,1332.0
DEVICE_ACCESS_____,11598.0,29.4831867563373,267.61214262275666,0.0,2.0,3.0,21.0,26631.0
EXECUTE_____,11598.0,2.2621141576133814,10.517214986319026,0.0,0.0,0.0,0.0,399.0
FS_ACCESS____,11598.0,73.49042938437661,219.50556440124603,0.0,8.0,20.0,52.0,8380.0
FS_ACCESS()____,11598.0,6.675978617002931,19.97638151775639,0.0,0.0,1.0,5.0,1192.0
FS_ACCESS(CREATE)____,11598.0,16.009311950336265,53.580672064916435,0.0,2.0,3.0,11.0,2670.0
FS_ACCESS(CREATE__APPEND)__,11598.0,0.0387997930677703,0.6668165509277231,0.0,0.0,0.0,0.0,64.0
FS_ACCESS(CREATE__READ)__,11598.0,0.24530091395068115,1.1870474144621521,0.0,0.0,0.0,0.0,47.0
FS_ACCESS(CREATE__READ__WRITE),11598.0,1.3010863942058977,2.803541261884848,0.0,0.0,0.0,2.0,101.0
FS_ACCESS(CREATE__WRITE)__,11598.0,14.370063804104156,31.365180850996374,0.0,2.0,5.0,12.0,1201.0
FS_ACCESS(CREATE__WRITE__APPEND),11598.0,0.3402310743231592,4.767957421003492,0.0,0.0,0.0,0.0,320.0
FS_ACCESS(READ)____,11598.0,230.40782893602346,902.6334632654414,0.0,10.0,17.5,122.0,62791.0
FS_ACCESS(READ__WRITE)__,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0
FS_ACCESS(WRITE)____,11598.0,7.662355578548025,8.064603897928908,0.0,6.0,6.0,7.0,288.0
FS_PIPE_ACCESS___,11598.0,4.0607863424728405,10.151767812747794,0.0,1.0,1.0,3.0,397.0
FS_PIPE_ACCESS()___,11598.0,0.003448870494912916,0.24879844826821398,0.0,0.0,0.0,0.0,26.0
FS_PIPE_ACCESS(READ)___,11598.0,2.50672529746508,14.722417882005177,0.0,0.0,0.0,0.0,207.0
FS_PIPE_ACCESS(READ__)_,11598.0,0.28410070701845147,1.922461957614498,0.0,0.0,0.0,0.0,66.0
FS_PIPE_ACCESS(READ__WRITE)_,11598.0,3.185376789101569,3.629179549344782,0.0,1.0,1.0,6.0,131.0
FS_PIPE_ACCESS(WRITE)___,11598.0,0.564235212967753,6.63452110488308,0.0,0.0,0.0,0.0,350.0
NETWORK_ACCESS____,11598.0,5.365407828936023,19.444930457094532,0.0,0.0,0.0,10.0,1832.0
NETWORK_ACCESS()____,11598.0,5.287808242800483,22.130121700089415,0.0,0.0,0.0,3.0,1053.0
NETWORK_ACCESS(READ)____,11598.0,0.0011208829108466977,0.033462263474605604,0.0,0.0,0.0,0.0,1.0
NETWORK_ACCESS(READ__WRITE)__,11598.0,7.104328332471115,17.53493602601335,0.0,0.0,2.0,7.0,934.0
NETWORK_ACCESS(READ__WRITE__),11598.0,0.0006897740989825832,0.05414163717210116,0.0,0.0,0.0,0.0,5.0
NETWORK_ACCESS(WRITE)____,11598.0,5.380237972064149,28.33557813784462,0.0,1.0,1.0,3.0,1491.0
NETWORK_ACCESS(WRITE__)__,11598.0,0.22615968270391446,0.9102040585226161,0.0,0.0,0.0,0.0,25.0
SMS_SEND____,11598.0,0.046301086394205895,0.9552429634952889,0.0,0.0,0.0,0.0,69.0
TERMINATE_PROCESS,11598.0,0.9173133298844628,3.9669639425806307,0.0,0.0,0.0,0.0,132.0
TERMINATE_THREAD,11598.0,9.516899465425073,22.02695791197636,0.0,1.0,3.0,10.0,1318.0
__arm_nr_cacheflush,11598.0,1081.5514780145927,4410.989114499707,0.0,0.0,0.0,0.0,117361.0
__arm_nr_set_tls,11598.0,30.457751336437315,33.54426881012004,0.0,10.0,17.0,39.0,1332.0
_llseek,11598.0,212.38398477917693,3024.0343553735834,0.0,6.0,6.0,34.0,85639.29023863976
_newselect,11598.0,53.236851181238144,917.0605350062212,0.0,0.0,0.0,0.0,55702.0
accept,11598.0,0.002586652871184687,0.06428304687769827,0.0,0.0,0.0,0.0,3.0
access,11598.0,306.0732884980169,1627.7768250688302,0.0,8.0,22.0,96.0,16367.0
add,11598.0,8.62217623728229e-05,0.009285567423309297,0.0,0.0,0.0,0.0,1.0
addAccessibilityInteractionConnection,11598.0,0.5614761165718227,3.06030993499671,0.0,0.0,0.0,1.0,187.0
addAccountExplicitly,11598.0,0.0012071046732195206,0.034723933152072776,0.0,0.0,0.0,0.0,1.0
addClient,11598.0,0.8743748922227971,0.3332568387080923,0.0,1.0,1.0,1.0,2.0
addPeriodicSync,11598.0,0.0007759958613554061,0.027847092368039547,0.0,0.0,0.0,0.0,1.0
addStatusChangeListener,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0
addToDisplay,11598.0,2.2184859458527333,4.438968017732047,0.0,0.0,1.0,3.0,184.0
addToDisplayWithoutInputChannel,11598.0,0.05750991550267288,0.2998434368218389,0.0,0.0,0.0,0.0,10.0
addWithoutInputChannel,11598.0,0.0004311088118641145,0.02075957887812497,0.0,0.0,0.0,0.0,1.0
attachEngine,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0
beginRestoreSession,11598.0,0.0001724435247456458,0.013131209200943515,0.0,0.0,0.0,0.0,1.0
bind,11598.0,6.9123124676668395,29.8277597323244,0.0,0.0,1.0,5.0,1490.0
brk,11598.0,173.0313847215037,283.1770754565969,0.0,31.0,73.0,216.0,7699.0
cancelAllNotifications,11598.0,0.014830143128125538,0.2941540757486658,0.0,0.0,0.0,0.0,25.0
cancelNotificationWithTag,11598.0,0.13338506639075703,2.1831042263981666,0.0,0.0,0.0,0.0,194.0
cancelSync,11598.0,8.62217623728229e-05,0.009285567423309299,0.0,0.0,0.0,0.0,1.0
cancelToast,11598.0,0.0004311088118641145,0.02456457835195712,0.0,0.0,0.0,0.0,2.0
cancelVibrate,11598.0,0.0005173305742369374,0.02936025064710961,0.0,0.0,0.0,0.0,2.0
