variable,count,mean,std,min,25%,50%,75%,max
pslist.nproc,58596.0,41.392040412314834,5.759793446107782,21.0,40.0,41.0,43.0,240.0
pslist.nppid,58596.0,14.713598197829203,2.660772436236538,8.0,12.0,15.0,16.0,72.0
pslist.avg_threads,58596.0,11.33497825988605,1.874537164528421,0.0,9.953488372,11.081204750000001,12.89728907,32.15157346
pslist.nprocs64bit,58596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pslist.avg_handlers,57675.0,593.7720827643519,1707.4201295003438,11.10453658,208.825,255.8074759,292.64845055,8888.0
dlllist.ndlls,57663.0,3914.1170475023846,10621.630367415819,538.0,1556.0,1869.0,2106.0,109858.708
dlllist.avg_dlls_per_proc,58596.0,43.70908173839011,5.739567070270726,7.333333333,38.83333333,42.786743895,49.605279665,53.17073171
handles.nhandles,57677.0,21546.19786429648,58885.58459643807,593.4879061,8342.0,10899.0,12320.0,1728986.31
handles.avg_handles_per_proc,58596.0,249.59206436454733,147.34721725199498,0.0,209.6585366,252.5078518,291.82674275,33784.19355
handles.nport,58596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handles.nfile,58596.0,899.5478189637518,3431.4170341032295,266.0,646.0,839.0,1080.0,807008.0
handles.nevent,58596.0,3572.5665062461603,805.1613007522889,966.0,2922.0,3149.0,4321.0,7892.0
handles.ndesktop,58596.0,44.529131681343436,5.161230611858953,22.0,43.0,45.0,46.0,159.0
handles.nkey,58596.0,774.2987405283637,150.31628375413254,284.0,675.0,753.0,859.0,2668.0
handles.nthread,58596.0,928.4637347259198,237.8363504605942,388.0,708.0,848.0,1169.0,5637.0
handles.ndirectory,58596.0,102.39646050924978,9.784123337089294,57.0,99.0,103.0,107.0,498.0
handles.nsemaphore,58596.0,683.3596149907844,94.47328244289862,296.0,613.0,684.0,750.0,4268.0
handles.ntimer,58596.0,130.33236057068743,14.955324018309785,69.0,120.0,131.0,142.0,382.0
handles.nsection,58596.0,289.92289576080276,131.5489311401678,50.0,177.0,224.0,415.0,4401.0
handles.nmutant,58596.0,312.5953819373336,73.16172266834516,118.0,258.0,289.0,366.0,583.0
ldrmodules.not_in_load,58596.0,60.8351935285685,18.775789597372068,6.0,46.0,57.0,74.0,240.0
ldrmodules.not_in_init,58596.0,99.9477780053246,21.45298986082605,16.0,85.0,97.0,115.0,264.0
ldrmodules.not_in_mem,58596.0,60.837514506109635,18.77430272462007,6.0,46.0,57.0,74.0,240.0
ldrmodules.not_in_load_avg,58596.0,0.03316791660080893,0.00912522862553354,0.016176471,0.028846154,0.031360647,0.036429872,0.531120332
ldrmodules.not_in_init_avg,58596.0,0.055219371846849614,0.009960820435545999,0.040525739,0.05239743,0.054035568,0.056009233000000005,0.585062241
ldrmodules.not_in_mem_avg,58596.0,0.03316955536650966,0.009127937391424588,0.016176471,0.028846154,0.031360647,0.036429872,0.531120332
malfind.ninjections,58596.0,7.0086354017339065,15.377942869456444,1.0,3.0,4.0,5.0,627.0
malfind.commitCharge,57655.0,3543.989882914452,59531.54568079722,0.10671958,3.0,5.0,6.0,5032921.092
malfind.protection,58596.0,42.27257833299201,92.26085354766612,6.0,18.0,24.0,30.0,3762.0
malfind.uniqueInjections,58596.0,1.7332701949125027,2.739970531814864,1.0,1.0,1.25,1.333333333,90.66666667
psxview.not_in_pslist,58596.0,1.873472591985801,2.9853981640793377,0.0,0.0,1.0,3.0,43.0
psxview.not_in_eprocess_pool,58596.0,0.0020479213598197828,0.04520798886030665,0.0,0.0,0.0,0.0,1.0
psxview.not_in_ethread_pool,58596.0,2.269540582974947,4.588891033278996,0.0,0.0,1.0,3.0,201.0
psxview.not_in_pspcid_list,58596.0,1.8777561608300908,3.0109490086330837,0.0,0.0,1.0,3.0,43.0
psxview.not_in_csrss_handles,58596.0,6.272578332992013,4.589380996865239,4.0,4.0,5.0,7.0,205.0
psxview.not_in_session,58596.0,3.8732336678271553,2.985422327693809,2.0,2.0,3.0,5.0,45.0
psxview.not_in_deskthrd,58596.0,8.251911393269165,4.702749749688053,4.0,6.0,7.0,9.0,207.0
psxview.not_in_pslist_false_avg,58596.0,0.040964182836627075,0.05750816658918677,0.0,0.0,0.021723155,0.068181818,0.551282051
psxview.not_in_eprocess_pool_false_avg,58596.0,7.879959050105809e-05,0.0012633980416313533,0.0,0.0,0.0,0.0,0.043478261
