dataset,feature,infinite_count
CIC-MalMem-2022,pslist.nproc,0
CIC-MalMem-2022,pslist.nppid,0
CIC-MalMem-2022,pslist.avg_threads,0
CIC-MalMem-2022,pslist.nprocs64bit,0
CIC-MalMem-2022,pslist.avg_handlers,0
CIC-MalMem-2022,dlllist.ndlls,0
CIC-MalMem-2022,dlllist.avg_dlls_per_proc,0
CIC-MalMem-2022,handles.nhandles,0
CIC-MalMem-2022,handles.avg_handles_per_proc,0
CIC-MalMem-2022,handles.nport,0
CIC-MalMem-2022,handles.nfile,0
CIC-MalMem-2022,handles.nevent,0
CIC-MalMem-2022,handles.ndesktop,0
CIC-MalMem-2022,handles.nkey,0
CIC-MalMem-2022,handles.nthread,0
CIC-MalMem-2022,handles.ndirectory,0
CIC-MalMem-2022,handles.nsemaphore,0
CIC-MalMem-2022,handles.ntimer,0
CIC-MalMem-2022,handles.nsection,0
CIC-MalMem-2022,handles.nmutant,0
CIC-MalMem-2022,ldrmodules.not_in_load,0
CIC-MalMem-2022,ldrmodules.not_in_init,0
CIC-MalMem-2022,ldrmodules.not_in_mem,0
CIC-MalMem-2022,ldrmodules.not_in_load_avg,0
CIC-MalMem-2022,ldrmodules.not_in_init_avg,0
CIC-MalMem-2022,ldrmodules.not_in_mem_avg,0
CIC-MalMem-2022,malfind.ninjections,0
CIC-MalMem-2022,malfind.commitCharge,0
CIC-MalMem-2022,malfind.protection,0
CIC-MalMem-2022,malfind.uniqueInjections,0
CIC-MalMem-2022,psxview.not_in_pslist,0
CIC-MalMem-2022,psxview.not_in_eprocess_pool,0
CIC-MalMem-2022,psxview.not_in_ethread_pool,0
CIC-MalMem-2022,psxview.not_in_pspcid_list,0
CIC-MalMem-2022,psxview.not_in_csrss_handles,0
CIC-MalMem-2022,psxview.not_in_session,0
CIC-MalMem-2022,psxview.not_in_deskthrd,0
CIC-MalMem-2022,psxview.not_in_pslist_false_avg,0
CIC-MalMem-2022,psxview.not_in_eprocess_pool_false_avg,0
CIC-MalMem-2022,psxview.not_in_ethread_pool_false_avg,0
CIC-MalMem-2022,psxview.not_in_pspcid_list_false_avg,0
CIC-MalMem-2022,psxview.not_in_csrss_handles_false_avg,0
CIC-MalMem-2022,psxview.not_in_session_false_avg,0
CIC-MalMem-2022,psxview.not_in_deskthrd_false_avg,0
CIC-MalMem-2022,modules.nmodules,0
CIC-MalMem-2022,svcscan.nservices,0
CIC-MalMem-2022,svcscan.kernel_drivers,0
CIC-MalMem-2022,svcscan.fs_drivers,0
CIC-MalMem-2022,svcscan.process_services,0
CIC-MalMem-2022,svcscan.shared_process_services,0
CIC-MalMem-2022,svcscan.interactive_process_services,0
CIC-MalMem-2022,svcscan.nactive,0
CIC-MalMem-2022,callbacks.ncallbacks,0
CIC-MalMem-2022,callbacks.nanonymous,0
CIC-MalMem-2022,callbacks.ngeneric,0
Android,ACCESS_PERSONAL_INFO___,0
Android,ALTER_PHONE_STATE___,0
Android,ANTI_DEBUG_____,0
Android,CREATE_FOLDER_____,0
Android,CREATE_PROCESS`_____,0
Android,CREATE_THREAD_____,0
Android,DEVICE_ACCESS_____,0
Android,EXECUTE_____,0
Android,FS_ACCESS____,0
Android,FS_ACCESS()____,0
Android,FS_ACCESS(CREATE)____,0
Android,FS_ACCESS(CREATE__APPEND)__,0
Android,FS_ACCESS(CREATE__READ)__,0
Android,FS_ACCESS(CREATE__READ__WRITE),0
Android,FS_ACCESS(CREATE__WRITE)__,0
Android,FS_ACCESS(CREATE__WRITE__APPEND),0
Android,FS_ACCESS(READ)____,0
Android,FS_ACCESS(READ__WRITE)__,0
Android,FS_ACCESS(WRITE)____,0
Android,FS_PIPE_ACCESS___,0
Android,FS_PIPE_ACCESS()___,0
Android,FS_PIPE_ACCESS(READ)___,0
Android,FS_PIPE_ACCESS(READ__)_,0
Android,FS_PIPE_ACCESS(READ__WRITE)_,0
Android,FS_PIPE_ACCESS(WRITE)___,0
Android,NETWORK_ACCESS____,0
Android,NETWORK_ACCESS()____,0
Android,NETWORK_ACCESS(READ)____,0
Android,NETWORK_ACCESS(READ__WRITE)__,0
Android,NETWORK_ACCESS(READ__WRITE__),0
Android,NETWORK_ACCESS(WRITE)____,0
Android,NETWORK_ACCESS(WRITE__)__,0
Android,SMS_SEND____,0
Android,TERMINATE_PROCESS,0
Android,TERMINATE_THREAD,0
Android,__arm_nr_cacheflush,0
Android,__arm_nr_set_tls,0
Android,_llseek,0
Android,_newselect,0
Android,accept,0
Android,access,0
Android,add,0
Android,addAccessibilityInteractionConnection,0
Android,addAccountExplicitly,0
Android,addClient,0
Android,addPeriodicSync,0
Android,addStatusChangeListener,0
Android,addToDisplay,0
Android,addToDisplayWithoutInputChannel,0
Android,addWithoutInputChannel,0
Android,attachEngine,0
Android,beginRestoreSession,0
Android,bind,0
Android,brk,0
Android,cancelAllNotifications,0
Android,cancelNotificationWithTag,0
Android,cancelSync,0
Android,cancelToast,0
Android,cancelVibrate,0
Android,capset,0
Android,chdir,0
Android,checkOperation,0
Android,checkPackage,0
Android,checkPermission,0
Android,checkSignatures,0
Android,chmod,0
Android,chown32,0
Android,clock_getres,0
Android,clock_gettime,0
Android,clone,0
Android,close,0
Android,collapsePanels,0
Android,connect,0
Android,currentToCanonicalPackageNames,0
Android,dataChanged,0
Android,deleteHost,0
Android,disconnect,0
Android,displayCompletions,0
Android,dup,0
Android,dup2,0
Android,endRestoreSession,0
Android,engineShown,0
Android,enqueueNotificationWithTag,0
Android,enqueueToast,0
Android,epoll_create,0
Android,epoll_ctl,0
Android,epoll_wait,0
Android,eventfd2,0
Android,execve,0
Android,exit,0
Android,exit_group,0
Android,faccessat,0
Android,fchmod,0
Android,fchown32,0
Android,fcntl,0
Android,fcntl64,0
Android,fdatasync,0
Android,finishDrawing,0
Android,finishInput,0
Android,finishSpellCheckerService,0
Android,flock,0
Android,fork,0
Android,fstat64,0
Android,fstatfs64,0
