dataset,feature,outlier_count,outlier_percentage
CIC-MalMem-2022,malfind.commitCharge,8884,15.161444467199125
CIC-MalMem-2022,handles.ndesktop,6898,11.772134616697386
CIC-MalMem-2022,svcscan.nactive,6665,11.374496552665711
CIC-MalMem-2022,ldrmodules.not_in_init_avg,6618,11.294286299406103
CIC-MalMem-2022,pslist.nproc,6251,10.667963683527885
CIC-MalMem-2022,malfind.protection,5822,9.935831797392314
CIC-MalMem-2022,malfind.ninjections,5712,9.748105672742167
CIC-MalMem-2022,pslist.avg_handlers,4736,8.082462966755411
CIC-MalMem-2022,psxview.not_in_deskthrd,4477,7.640453273260974
CIC-MalMem-2022,modules.nmodules,4449,7.5926684415318455
CIC-MalMem-2022,handles.ndirectory,4449,7.5926684415318455
CIC-MalMem-2022,psxview.not_in_ethread_pool,4339,7.404942316881698
CIC-MalMem-2022,psxview.not_in_csrss_handles,4337,7.401529114615332
CIC-MalMem-2022,handles.nhandles,3859,6.585773772953784
CIC-MalMem-2022,malfind.uniqueInjections,3847,6.565294559355587
CIC-MalMem-2022,psxview.not_in_ethread_pool_false_avg,3509,5.9884633763396815
CIC-MalMem-2022,psxview.not_in_pspcid_list,3294,5.621544132705305
CIC-MalMem-2022,psxview.not_in_pslist,3287,5.6095979247730225
CIC-MalMem-2022,psxview.not_in_session,3286,5.607891323639839
CIC-MalMem-2022,psxview.not_in_csrss_handles_false_avg,3212,5.481602839784286
CIC-MalMem-2022,psxview.not_in_deskthrd_false_avg,3173,5.415045395590143
CIC-MalMem-2022,callbacks.ncallbacks,2759,4.708512526452317
CIC-MalMem-2022,svcscan.kernel_drivers,2743,4.681206908321387
CIC-MalMem-2022,dlllist.ndlls,2733,4.664140896989555
CIC-MalMem-2022,psxview.not_in_session_false_avg,2675,4.565158031264933
CIC-MalMem-2022,psxview.not_in_pspcid_list_false_avg,2634,4.4951873848044235
CIC-MalMem-2022,svcscan.nservices,2628,4.484947778005324
CIC-MalMem-2022,psxview.not_in_pslist_false_avg,2627,4.483241176872141
CIC-MalMem-2022,handles.nkey,2083,3.5548501604205063
CIC-MalMem-2022,handles.nsemaphore,1140,1.9455252918287937
CIC-MalMem-2022,ldrmodules.not_in_init,983,1.6775889139190387
CIC-MalMem-2022,pslist.avg_threads,693,1.1826745852959246
CIC-MalMem-2022,handles.ntimer,576,0.9830022527134958
CIC-MalMem-2022,ldrmodules.not_in_mem_avg,508,0.8669533756570414
CIC-MalMem-2022,ldrmodules.not_in_load_avg,508,0.8669533756570414
CIC-MalMem-2022,handles.avg_handles_per_proc,464,0.7918629257969828
CIC-MalMem-2022,ldrmodules.not_in_mem,448,0.7645573076660522
CIC-MalMem-2022,ldrmodules.not_in_load,448,0.7645573076660522
CIC-MalMem-2022,svcscan.shared_process_services,438,0.7474912963342207
CIC-MalMem-2022,psxview.not_in_eprocess_pool_false_avg,291,0.49662092975629735
CIC-MalMem-2022,pslist.nppid,202,0.3447334289029968
CIC-MalMem-2022,handles.nfile,138,0.23551095637927505
CIC-MalMem-2022,psxview.not_in_eprocess_pool,120,0.20479213598197826
CIC-MalMem-2022,handles.nmutant,95,0.1621271076523995
CIC-MalMem-2022,dlllist.avg_dlls_per_proc,75,0.12799508498873644
CIC-MalMem-2022,svcscan.fs_drivers,60,0.10239606799098913
CIC-MalMem-2022,callbacks.nanonymous,52,0.08874325892552393
CIC-MalMem-2022,svcscan.process_services,47,0.08021025325960816
CIC-MalMem-2022,handles.nthread,39,0.06655744419414295
CIC-MalMem-2022,handles.nevent,36,0.06143764079459349
CIC-MalMem-2022,handles.nsection,24,0.040958427196395655
CIC-MalMem-2022,callbacks.ngeneric,8,0.01365280906546522
Android,sendto,2756,23.76271770994999
Android,sendAccessibilityEvent,2658,22.917744438696328
Android,setInTouchMode,2557,22.046904638730815
Android,FS_ACCESS(READ)____,2441,21.04673219520607
Android,sigaction,2375,20.47766856354544
Android,flock,2350,20.262114157613382
Android,NETWORK_ACCESS()____,2320,20.003448870494914
Android,getInTouchMode,2294,19.779272288325572
Android,fchown32,2288,19.72753923090188
Android,lseek,2196,18.934299017071908
Android,getWifiServiceMessenger,2163,18.649767201241595
Android,__arm_nr_cacheflush,2147,18.51181238144508
Android,pwrite64,2144,18.48594585273323
Android,wait4,2144,18.48594585273323
Android,EXECUTE_____,2139,18.442834971546816
Android,execve,2139,18.442834971546816
Android,CREATE_PROCESS`_____,2113,18.218658389377477
Android,fork,2112,18.210036213140196
Android,TERMINATE_PROCESS,2067,17.822038282462493
Android,exit_group,2067,17.822038282462493
Android,clock_gettime,2037,17.563372995344025
Android,readlink,2016,17.382307294361095
Android,epoll_wait,2008,17.31332988446284
Android,read,1997,17.21848594585273
Android,getuid32,1900,16.38213485083635
Android,sched_yield,1881,16.218313502327987
Android,getpid,1860,16.03724780134506
Android,statfs64,1835,15.821693395413003
Android,_llseek,1815,15.649249870667356
Android,_newselect,1807,15.580272460769098
Android,checkPermission,1776,15.312984997413349
Android,getInstalledPackages,1762,15.192274530091396
Android,nanosleep,1737,14.976720124159337
Android,access,1723,14.856009656837385
Android,FS_ACCESS()____,1722,14.847387480600101
Android,FS_ACCESS(CREATE)____,1710,14.743921365752716
Android,getConnectionInfo,1705,14.700810484566304
Android,getApplicationInfo,1688,14.554233488532505
Android,rename,1681,14.493878254871529
Android,ioctl,1680,14.485256078634249
Android,getStreamVolume,1675,14.442145197447836
Android,getActiveNetworkInfo,1668,14.38178996378686
Android,getNetworkInfo,1665,14.355923435075013
Android,getPackageInfo,1659,14.304190377651318
Android,setsockopt,1658,14.295568201414035
Android,stat64,1651,14.23521296775306
Android,getsockopt,1640,14.140369029142954
Android,FS_ACCESS(WRITE)____,1630,14.054147266770133
Android,gettimeofday,1630,14.054147266770133
Android,FS_ACCESS____,1625,14.011036385583722
Android,fchmod,1623,13.993792033109157
Android,fdatasync,1612,13.898948094499053
Android,pread64,1607,13.855837213312642
Android,getDisplayInfo,1605,13.838592860838075
Android,recvmsg,1600,13.795481979651663
Android,sendmsg,1599,13.78685980341438
Android,DEVICE_ACCESS_____,1571,13.545438868770477
Android,NETWORK_ACCESS(WRITE)____,1560,13.450594930160372
Android,fsync,1546,13.32988446283842
Android,getDataNetworkType,1543,13.304017934126575
Android,getSubscriberId,1495,12.890153474737023
Android,mkdir,1486,12.812553888601483
Android,FS_ACCESS(CREATE__WRITE)__,1484,12.79530953612692
Android,send,1479,12.752198654940509
Android,addClient,1471,12.683221245042247
Android,fcntl64,1471,12.683221245042247
Android,hasNavigationBar,1467,12.64873254009312
Android,chmod,1463,12.61424383514399
Android,msync,1448,12.484911191584755
Android,FS_PIPE_ACCESS___,1440,12.415933781686498
Android,setpgid,1437,12.390067252974651
Android,getCurrentSpellCheckerSubtype,1434,12.364200724262805
Android,NETWORK_ACCESS(READ__WRITE)__,1431,12.338334195550956
Android,isSpellCheckerEnabled,1415,12.20037937575444
Android,unlink,1413,12.183135023279876
Android,bind,1411,12.165890670805311
Android,lstat64,1395,12.027935851008795
Android,TERMINATE_THREAD,1376,11.864114502500431
Android,exit,1376,11.864114502500431
Android,mprotect,1375,11.85549232626315
Android,getLine1Number,1351,11.648560096568374
Android,startInput,1342,11.570960510432833
Android,getDeviceId,1340,11.553716157958268
Android,munmap,1336,11.51922745300914
Android,FS_ACCESS(CREATE__READ)__,1335,11.510605276771857
Android,writev,1333,11.493360924297292
Android,poll,1333,11.493360924297292
Android,socket,1328,11.45025004311088
Android,getIccSerialNumber,1321,11.389894809449904
Android,getsockname,1300,11.208829108466976
Android,ftruncate,1297,11.18296257975513
Android,FS_PIPE_ACCESS(READ)___,1296,11.174340403517848
Android,prctl,1284,11.07087428867046
Android,dup2,1276,11.001896878772202
Android,set,1266,10.91567511639938
Android,CREATE_FOLDER_____,1244,10.725987239179169
Android,mmap2,1243,10.717365062941886
Android,connect,1223,10.54492153819624
Android,setComponentEnabledSetting,1222,10.536299361958958
