dataset,training_condition,seed,training_rows,test_rows,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,training_time_seconds
Android,Clean_Baseline,42,4281,918,0.9226579520697168,0.9135191239804035,0.909780517667113,0.9111027085270852,0.909780517667113,1.619556300000113
Android,E1_No_Defense,42,9762,918,0.9313725490196079,0.9363064832232105,0.915464719127742,0.92460485705776,0.915464719127742,2.5502609999966808
Android,E2_Integrity_Only,42,4282,918,0.9270152505446623,0.9187724746752541,0.9127861947369382,0.914835979842984,0.9127861947369382,1.2653321000034339
Android,E3_Anomaly_Only,42,9322,918,0.9281045751633987,0.9332281005051964,0.9121189619985056,0.9211956541287092,0.9121189619985056,3.0645024000041303
Android,E4_PoisonShield,42,4251,918,0.920479302832244,0.9116937865255327,0.9064628822965156,0.9079981550652414,0.9064628822965156,1.443692100001499
MalMem,Clean_Baseline,42,29541,6331,0.9135997472753119,0.7879043248349236,0.7876969521808662,0.7877866064633299,0.7876969521808662,2.833856499993999
MalMem,E1_No_Defense,42,45935,6331,0.9306586637182119,0.8491380997570668,0.8291965558455121,0.8385542466796798,0.8291965558455121,5.035363900002267
MalMem,E2_Integrity_Only,42,29541,6331,0.9135997472753119,0.7879043248349236,0.7876969521808662,0.7877866064633299,0.7876969521808662,2.638973700006318
MalMem,E3_Anomaly_Only,42,43030,6331,0.9202337703364397,0.824613541524812,0.804715805016303,0.8142092787615608,0.804715805016303,4.847969300004479
MalMem,E4_PoisonShield,42,29144,6331,0.9088611593745064,0.7780702088843325,0.7761886320205438,0.7771012014005344,0.7761886320205438,3.0148429999971995
