experiment_id,dataset,poisoning_rate,seed,defense,clean_count,poison_count,final_count,actual_poisoning_rate
P12_001,MalMem,0.01,42,E1_No_Defense,29541,298,29839,0.00998692985689869
P12_002,MalMem,0.01,42,E2_Integrity_Only,29541,298,29839,0.00998692985689869
P12_003,MalMem,0.01,42,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
P12_004,MalMem,0.01,42,E4_PoisonShield,29541,298,29839,0.00998692985689869
P12_005,MalMem,0.01,123,E1_No_Defense,29541,298,29839,0.00998692985689869
P12_006,MalMem,0.01,123,E2_Integrity_Only,29541,298,29839,0.00998692985689869
P12_007,MalMem,0.01,123,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
P12_008,MalMem,0.01,123,E4_PoisonShield,29541,298,29839,0.00998692985689869
P12_009,MalMem,0.01,2026,E1_No_Defense,29541,298,29839,0.00998692985689869
P12_010,MalMem,0.01,2026,E2_Integrity_Only,29541,298,29839,0.00998692985689869
P12_011,MalMem,0.01,2026,E3_Anomaly_Only,29541,298,29839,0.00998692985689869
P12_012,MalMem,0.01,2026,E4_PoisonShield,29541,298,29839,0.00998692985689869
P12_013,MalMem,0.05,42,E1_No_Defense,29541,1555,31096,0.050006431695394905
P12_014,MalMem,0.05,42,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
P12_015,MalMem,0.05,42,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
P12_016,MalMem,0.05,42,E4_PoisonShield,29541,1555,31096,0.050006431695394905
P12_017,MalMem,0.05,123,E1_No_Defense,29541,1555,31096,0.050006431695394905
P12_018,MalMem,0.05,123,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
P12_019,MalMem,0.05,123,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
P12_020,MalMem,0.05,123,E4_PoisonShield,29541,1555,31096,0.050006431695394905
P12_021,MalMem,0.05,2026,E1_No_Defense,29541,1555,31096,0.050006431695394905
P12_022,MalMem,0.05,2026,E2_Integrity_Only,29541,1555,31096,0.050006431695394905
P12_023,MalMem,0.05,2026,E3_Anomaly_Only,29541,1555,31096,0.050006431695394905
P12_024,MalMem,0.05,2026,E4_PoisonShield,29541,1555,31096,0.050006431695394905
P12_025,MalMem,0.1,42,E1_No_Defense,29541,3282,32823,0.0999908600676355
P12_026,MalMem,0.1,42,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
P12_027,MalMem,0.1,42,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
P12_028,MalMem,0.1,42,E4_PoisonShield,29541,3282,32823,0.0999908600676355
P12_029,MalMem,0.1,123,E1_No_Defense,29541,3282,32823,0.0999908600676355
P12_030,MalMem,0.1,123,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
P12_031,MalMem,0.1,123,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
P12_032,MalMem,0.1,123,E4_PoisonShield,29541,3282,32823,0.0999908600676355
P12_033,MalMem,0.1,2026,E1_No_Defense,29541,3282,32823,0.0999908600676355
P12_034,MalMem,0.1,2026,E2_Integrity_Only,29541,3282,32823,0.0999908600676355
P12_035,MalMem,0.1,2026,E3_Anomaly_Only,29541,3282,32823,0.0999908600676355
P12_036,MalMem,0.1,2026,E4_PoisonShield,29541,3282,32823,0.0999908600676355
P12_037,MalMem,0.2,42,E1_No_Defense,29541,7385,36926,0.19999458376211884
P12_038,MalMem,0.2,42,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
P12_039,MalMem,0.2,42,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
P12_040,MalMem,0.2,42,E4_PoisonShield,29541,7385,36926,0.19999458376211884
P12_041,MalMem,0.2,123,E1_No_Defense,29541,7385,36926,0.19999458376211884
P12_042,MalMem,0.2,123,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
P12_043,MalMem,0.2,123,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
P12_044,MalMem,0.2,123,E4_PoisonShield,29541,7385,36926,0.19999458376211884
P12_045,MalMem,0.2,2026,E1_No_Defense,29541,7385,36926,0.19999458376211884
P12_046,MalMem,0.2,2026,E2_Integrity_Only,29541,7385,36926,0.19999458376211884
P12_047,MalMem,0.2,2026,E3_Anomaly_Only,29541,7385,36926,0.19999458376211884
P12_048,MalMem,0.2,2026,E4_PoisonShield,29541,7385,36926,0.19999458376211884
P12_049,Android,0.01,42,E1_No_Defense,4281,43,4324,0.009944495837187789
P12_050,Android,0.01,42,E2_Integrity_Only,4281,43,4324,0.009944495837187789
P12_051,Android,0.01,42,E3_Anomaly_Only,4281,43,4324,0.009944495837187789
P12_052,Android,0.01,42,E4_PoisonShield,4281,43,4324,0.009944495837187789
P12_053,Android,0.01,123,E1_No_Defense,4281,43,4324,0.009944495837187789
