experiment_id,dataset,poisoning_rate,seed,defense,original_training_rows,retained_training_rows,retention,original_poison_rows,retained_poison_rows,removed_poison_rows,poison_removal_rate,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,training_time_seconds,inference_time_seconds,total_runtime_seconds,confusion_matrix,alpha,beta,risk_threshold,timestamp
PS-001,MalMem,0.01,42,E1_No_Defense,29839,29839,1.0,298,298,0,0.0,0.9126520296951508,0.7857387386893294,0.7853574790213196,0.7855359287280957,0.7853574790213196,2.868430200003786,0.24666469999647234,3.461669399999664,"[[4395, 0, 0, 0], [1, 451, 93, 102], [1, 75, 499, 87], [0, 116, 78, 433]]",0.1,0.9,0.080085583908,2026-09-11T23:24:30.092267
PS-002,MalMem,0.01,42,E2_Integrity_Only,29839,29537,0.9898790173933443,298,19,279,0.9362416107382551,0.9117043121149897,0.7831178797577942,0.7830092506027808,0.7830129150880611,0.7830092506027808,3.090846999999485,0.3854395999951521,3.842325899997377,"[[4395, 0, 0, 0], [0, 444, 100, 103], [1, 73, 501, 87], [0, 117, 78, 432]]",0.1,0.9,0.080085583908,2026-09-11T23:24:33.971294
PS-003,MalMem,0.01,42,E3_Anomaly_Only,29839,28417,0.952344247461376,298,272,26,0.087248322147651,0.9042805244037276,0.76703745745305,0.769065357792554,0.7679989091951637,0.769065357792554,6.278029699999024,0.5185316999995848,7.216098199991393,"[[4383, 6, 0, 6], [0, 439, 104, 104], [2, 84, 471, 105], [0, 118, 77, 432]]",0.1,0.9,0.080085583908,2026-09-11T23:24:41.214273
PS-004,MalMem,0.01,42,E4_PoisonShield,29839,29141,0.9766077951673984,298,19,279,0.9362416107382551,0.9096509240246407,0.7799113397063027,0.7781751123143801,0.7789841527135546,0.7781751123143801,5.266719299994293,0.40739079999912065,6.174107300001197,"[[4395, 0, 0, 0], [0, 455, 85, 107], [6, 80, 478, 98], [1, 117, 78, 431]]",0.1,0.9,0.080085583908,2026-09-11T23:24:47.426294
PS-005,MalMem,0.01,123,E1_No_Defense,29839,29839,1.0,298,298,0,0.0,0.9117043121149897,0.7833267411061473,0.7829969252833701,0.7831479011298168,0.7829969252833701,5.866786699989461,0.3051822999987053,6.5999746000015875,"[[4395, 0, 0, 0], [0, 445, 93, 109], [2, 74, 501, 85], [0, 120, 76, 431]]",0.1,0.9,0.080085583908,2026-09-11T23:24:54.056186
PS-006,MalMem,0.01,123,E2_Integrity_Only,29839,29525,0.9894768591440732,298,13,285,0.9563758389261745,0.9145474648554731,0.7900802669273027,0.789915466852677,0.7899356380905496,0.789915466852677,5.036699199990835,0.3507877000083681,5.812817500001984,"[[4395, 0, 0, 0], [0, 454, 95, 98], [1, 70, 508, 83], [0, 116, 78, 433]]",0.1,0.9,0.080085583908,2026-09-11T23:24:59.903465
PS-007,MalMem,0.01,123,E3_Anomaly_Only,29839,28409,0.952076141961862,298,264,34,0.11409395973154363,0.9036487126836202,0.765250326032612,0.767495112099637,0.7663484355374512,0.767495112099637,4.819925999996485,0.42825849998916965,5.659478999994462,"[[4383, 12, 0, 0], [0, 437, 107, 103], [1, 84, 471, 106], [0, 120, 77, 430]]",0.1,0.9,0.080085583908,2026-09-11T23:25:05.588821
PS-008,MalMem,0.01,123,E4_PoisonShield,29839,29127,0.9761386105432488,298,12,286,0.959731543624161,0.9088611593745064,0.7781942905823058,0.7763131605686981,0.777121699877066,0.7763131605686981,5.197385399995255,0.3550195999996504,5.97943779999332,"[[4395, 0, 0, 0], [0, 458, 86, 103], [6, 91, 470, 95], [1, 118, 77, 431]]",0.1,0.9,0.080085583908,2026-09-11T23:25:11.599562
PS-009,MalMem,0.01,2026,E1_No_Defense,29839,29839,1.0,298,298,0,0.0,0.9128099826251777,0.7863460790224831,0.7856157791762708,0.7859118802432464,0.7856157791762708,5.483349399990402,0.4730344999989029,6.30684440000914,"[[4395, 0, 0, 0], [1, 447, 93, 106], [1, 69, 508, 84], [2, 116, 80, 429]]",0.1,0.9,0.080085583908,2026-09-11T23:25:17.940487
PS-010,MalMem,0.01,2026,E2_Integrity_Only,29839,29539,0.9899460437682228,298,20,278,0.9328859060402684,0.9142315589954194,0.7893730839623343,0.7892234215788221,0.7892827722959512,0.7892234215788221,5.796611500001745,0.29336109998985194,6.491805600002408,"[[4395, 0, 0, 0], [0, 454, 89, 104], [1, 71, 503, 87], [0, 113, 78, 436]]",0.1,0.9,0.080085583908,2026-09-11T23:25:24.456509
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,29839,28406,0.9519756023995443,298,261,37,0.12416107382550336,0.9042805244037276,0.767040664897682,0.768598987982853,0.7677766490274397,0.768598987982853,4.810602199999266,0.2699160999909509,5.481478100002278,"[[4384, 9, 0, 2], [1, 432, 108, 106], [1, 79, 481, 101], [2, 113, 84, 428]]",0.1,0.9,0.080085583908,2026-09-11T23:25:29.965435
PS-012,MalMem,0.01,2026,E4_PoisonShield,29839,29145,0.9767418479171553,298,20,278,0.9328859060402684,0.9083873005844258,0.7759469479764602,0.7751101879831651,0.7754711165060395,0.7751101879831651,5.043918700001086,0.30890489999728743,5.794314900005702,"[[4395, 0, 0, 0], [0, 450, 89, 108], [2, 84, 475, 101], [1, 116, 79, 431]]",0.1,0.9,0.080085583908,2026-09-11T23:25:35.794084
PS-013,MalMem,0.05,42,E1_No_Defense,31096,31096,1.0,1555,1555,0,0.0,0.912494076765124,0.7858230110350825,0.784790110311162,0.7852305363796823,0.784790110311162,5.759273699994083,0.27052390000608284,6.429038300004322,"[[4395, 0, 0, 0], [3, 451, 89, 104], [1, 75, 507, 79], [1, 119, 83, 424]]",0.1,0.9,0.080085583908,2026-09-11T23:25:42.263673
PS-014,MalMem,0.05,42,E2_Integrity_Only,31096,29464,0.9475173655775663,1555,74,1481,0.952411575562701,0.9145474648554731,0.7898249569656297,0.7897996935635149,0.7897090724374309,0.7897996935635149,5.072840399996494,0.2699450999934925,5.710723099997267,"[[4395, 0, 0, 0], [0, 448, 92, 107], [1, 68, 517, 76], [0, 119, 78, 430]]",0.1,0.9,0.080085583908,2026-09-11T23:25:48.006729
PS-015,MalMem,0.05,42,E3_Anomaly_Only,31096,29569,0.9508940056598919,1555,1424,131,0.0842443729903537,0.9049123361238351,0.7690822125778413,0.7701374429161121,0.7696088239952001,0.7701374429161121,5.252766100005829,0.27251629999955185,5.938759500000742,"[[4384, 10, 0, 1], [3, 440, 101, 103], [2, 83, 479, 98], [1, 116, 84, 426]]",0.1,0.9,0.080085583908,2026-09-11T23:25:53.974570
PS-016,MalMem,0.05,42,E4_PoisonShield,31096,29073,0.9349434010805249,1555,74,1481,0.952411575562701,0.9101247828147212,0.7810667001226334,0.7793291234063782,0.7800984522329627,0.7793291234063782,4.398728000000119,0.3244297000055667,5.157894899995881,"[[4395, 0, 0, 0], [0, 455, 86, 106], [5, 89, 480, 88], [1, 122, 72, 432]]",0.1,0.9,0.080085583908,2026-09-11T23:25:59.169639
PS-017,MalMem,0.05,123,E1_No_Defense,31096,31096,1.0,1555,1555,0,0.0,0.9147054177855,0.7923063820005523,0.7903774326708202,0.7913229856702746,0.7903774326708202,5.315635600010864,0.41951350000454113,6.178396799994516,"[[4395, 0, 0, 0], [4, 454, 88, 101], [3, 69, 505, 85], [2, 113, 75, 437]]",0.1,0.9,0.080085583908,2026-09-11T23:26:05.385747
PS-018,MalMem,0.05,123,E2_Integrity_Only,31096,29474,0.9478389503473116,1555,78,1477,0.9498392282958199,0.9140736060653926,0.7887319777662457,0.7888195122973138,0.7887394308624145,0.7888195122973138,5.288935300006415,0.302882399992086,5.975008599998546,"[[4395, 0, 0, 0], [0, 451, 95, 101], [0, 73, 505, 84], [0, 114, 77, 436]]",0.1,0.9,0.080085583908,2026-09-11T23:26:11.390769
PS-019,MalMem,0.05,123,E3_Anomaly_Only,31096,29560,0.9506045793671212,1555,1415,140,0.09003215434083602,0.908229347654399,0.7771476077347188,0.7783786402046402,0.7777456313414954,0.7783786402046402,5.462557100006961,0.2895691000012448,6.203034099991783,"[[4384, 11, 0, 0], [2, 449, 102, 94], [1, 77, 480, 104], [2, 116, 72, 437]]",0.1,0.9,0.080085583908,2026-09-11T23:26:17.631261
PS-020,MalMem,0.05,123,E4_PoisonShield,31096,29081,0.935200668896321,1555,77,1478,0.9504823151125402,0.9105986416048018,0.7823178432943636,0.7806024778479566,0.7813108905322212,0.7806024778479566,4.673317999986466,0.4570802999951411,5.546108099995763,"[[4395, 0, 0, 0], [0, 459, 82, 106], [5, 84, 474, 99], [1, 115, 74, 437]]",0.1,0.9,0.080085583908,2026-09-11T23:26:23.205405
PS-021,MalMem,0.05,2026,E1_No_Defense,31096,31096,1.0,1555,1555,0,0.0,0.9154951824356342,0.79341789827172,0.7922024084582702,0.7927431548292918,0.7922024084582702,5.068183399998816,0.24877989999367855,5.717370600003051,"[[4395, 0, 0, 0], [2, 454, 90, 101], [1, 66, 513, 82], [3, 113, 77, 434]]",0.1,0.9,0.080085583908,2026-09-11T23:26:28.965194
PS-022,MalMem,0.05,2026,E2_Integrity_Only,31096,29448,0.9470028299459737,1555,66,1489,0.957556270096463,0.9145474648554731,0.790103225408298,0.790035149986365,0.790024454706025,0.790035149986365,4.50341330000083,0.24737789999926463,5.122098099993309,"[[4395, 0, 0, 0], [0, 446, 94, 107], [1, 76, 507, 78], [0, 110, 75, 442]]",0.1,0.9,0.080085583908,2026-09-11T23:26:34.121376
PS-023,MalMem,0.05,2026,E3_Anomaly_Only,31096,29561,0.9506367378440957,1555,1416,139,0.08938906752411575,0.9060180066340231,0.7718178820239665,0.772868839821864,0.7723410414499001,0.772868839821864,4.412105299998075,0.23398059999453835,5.032110799991642,"[[4384, 11, 0, 0], [2, 438, 100, 107], [3, 83, 483, 93], [1, 117, 78, 431]]",0.1,0.9,0.080085583908,2026-09-11T23:26:39.181212
PS-024,MalMem,0.05,2026,E4_PoisonShield,31096,29055,0.9343645484949833,1555,63,1492,0.9594855305466238,0.9109145474648555,0.7823611261889949,0.7813541947966016,0.7817461621085211,0.7813541947966016,4.069281200005207,0.23497930000303313,4.675019099988276,"[[4395, 0, 0, 0], [0, 461, 89, 97], [2, 94, 475, 91], [1, 115, 75, 436]]",0.1,0.9,0.080085583908,2026-09-11T23:26:43.892043
PS-025,MalMem,0.1,42,E1_No_Defense,32823,32823,1.0,3282,3282,0,0.0,0.9166008529458222,0.7972679628440602,0.7948017969109235,0.7959041495025023,0.7948017969109235,5.566099100004067,0.24446819999138825,6.181978199994774,"[[4395, 0, 0, 0], [5, 461, 86, 95], [3, 66, 518, 75], [3, 118, 77, 429]]",0.1,0.9,0.080085583908,2026-09-11T23:26:50.098562
PS-026,MalMem,0.1,42,E2_Integrity_Only,32823,29366,0.8946775127197392,3282,150,3132,0.9542961608775137,0.9184962881061444,0.7997729305043764,0.7995566500687437,0.7995636366869393,0.7995566500687437,4.726688300012029,0.21941000000515487,5.269039699996938,"[[4395, 0, 0, 0], [0, 460, 92, 95], [1, 68, 520, 73], [0, 114, 73, 440]]",0.1,0.9,0.080085583908,2026-09-11T23:26:55.406204
PS-027,MalMem,0.1,42,E3_Anomaly_Only,32823,31111,0.9478414526399171,3282,2966,316,0.09628275441803778,0.9036487126836202,0.7668455223860552,0.7669898114094409,0.7669099706441123,0.7669898114094409,5.839904599997681,0.49043979999260046,6.77724290000333,"[[4384, 11, 0, 0], [4, 440, 98, 105], [4, 84, 477, 97], [2, 119, 86, 420]]",0.1,0.9,0.080085583908,2026-09-11T23:27:02.208846
PS-028,MalMem,0.1,42,E4_PoisonShield,32823,28977,0.8828260670871035,3282,147,3135,0.9552102376599635,0.9156531353656611,0.7937881316717894,0.7927921331008785,0.7931943089154346,0.7927921331008785,4.58887799999502,0.3225715000007767,5.380000599994673,"[[4395, 0, 0, 0], [0, 471, 86, 90], [2, 85, 494, 81], [1, 113, 76, 437]]",0.1,0.9,0.080085583908,2026-09-11T23:27:07.651881
