experiment_id,dataset,poisoning_rate,seed,defense,status
MalMem_rate_01_seed_42_E1_No_Defense,MalMem,0.01,42,E1_No_Defense,PENDING
MalMem_rate_01_seed_42_E2_Integrity_Only,MalMem,0.01,42,E2_Integrity_Only,PENDING
MalMem_rate_01_seed_42_E3_Anomaly_Only,MalMem,0.01,42,E3_Anomaly_Only,PENDING
MalMem_rate_01_seed_42_E4_PoisonShield,MalMem,0.01,42,E4_PoisonShield,PENDING
MalMem_rate_01_seed_123_E1_No_Defense,MalMem,0.01,123,E1_No_Defense,PENDING
MalMem_rate_01_seed_123_E2_Integrity_Only,MalMem,0.01,123,E2_Integrity_Only,PENDING
MalMem_rate_01_seed_123_E3_Anomaly_Only,MalMem,0.01,123,E3_Anomaly_Only,PENDING
MalMem_rate_01_seed_123_E4_PoisonShield,MalMem,0.01,123,E4_PoisonShield,PENDING
MalMem_rate_01_seed_2026_E1_No_Defense,MalMem,0.01,2026,E1_No_Defense,PENDING
MalMem_rate_01_seed_2026_E2_Integrity_Only,MalMem,0.01,2026,E2_Integrity_Only,PENDING
MalMem_rate_01_seed_2026_E3_Anomaly_Only,MalMem,0.01,2026,E3_Anomaly_Only,PENDING
MalMem_rate_01_seed_2026_E4_PoisonShield,MalMem,0.01,2026,E4_PoisonShield,PENDING
MalMem_rate_05_seed_42_E1_No_Defense,MalMem,0.05,42,E1_No_Defense,PENDING
MalMem_rate_05_seed_42_E2_Integrity_Only,MalMem,0.05,42,E2_Integrity_Only,PENDING
MalMem_rate_05_seed_42_E3_Anomaly_Only,MalMem,0.05,42,E3_Anomaly_Only,PENDING
MalMem_rate_05_seed_42_E4_PoisonShield,MalMem,0.05,42,E4_PoisonShield,PENDING
MalMem_rate_05_seed_123_E1_No_Defense,MalMem,0.05,123,E1_No_Defense,PENDING
MalMem_rate_05_seed_123_E2_Integrity_Only,MalMem,0.05,123,E2_Integrity_Only,PENDING
MalMem_rate_05_seed_123_E3_Anomaly_Only,MalMem,0.05,123,E3_Anomaly_Only,PENDING
MalMem_rate_05_seed_123_E4_PoisonShield,MalMem,0.05,123,E4_PoisonShield,PENDING
MalMem_rate_05_seed_2026_E1_No_Defense,MalMem,0.05,2026,E1_No_Defense,PENDING
MalMem_rate_05_seed_2026_E2_Integrity_Only,MalMem,0.05,2026,E2_Integrity_Only,PENDING
MalMem_rate_05_seed_2026_E3_Anomaly_Only,MalMem,0.05,2026,E3_Anomaly_Only,PENDING
MalMem_rate_05_seed_2026_E4_PoisonShield,MalMem,0.05,2026,E4_PoisonShield,PENDING
MalMem_rate_10_seed_42_E1_No_Defense,MalMem,0.1,42,E1_No_Defense,PENDING
MalMem_rate_10_seed_42_E2_Integrity_Only,MalMem,0.1,42,E2_Integrity_Only,PENDING
MalMem_rate_10_seed_42_E3_Anomaly_Only,MalMem,0.1,42,E3_Anomaly_Only,PENDING
MalMem_rate_10_seed_42_E4_PoisonShield,MalMem,0.1,42,E4_PoisonShield,PENDING
MalMem_rate_10_seed_123_E1_No_Defense,MalMem,0.1,123,E1_No_Defense,PENDING
MalMem_rate_10_seed_123_E2_Integrity_Only,MalMem,0.1,123,E2_Integrity_Only,PENDING
MalMem_rate_10_seed_123_E3_Anomaly_Only,MalMem,0.1,123,E3_Anomaly_Only,PENDING
MalMem_rate_10_seed_123_E4_PoisonShield,MalMem,0.1,123,E4_PoisonShield,PENDING
MalMem_rate_10_seed_2026_E1_No_Defense,MalMem,0.1,2026,E1_No_Defense,PENDING
MalMem_rate_10_seed_2026_E2_Integrity_Only,MalMem,0.1,2026,E2_Integrity_Only,PENDING
MalMem_rate_10_seed_2026_E3_Anomaly_Only,MalMem,0.1,2026,E3_Anomaly_Only,PENDING
MalMem_rate_10_seed_2026_E4_PoisonShield,MalMem,0.1,2026,E4_PoisonShield,PENDING
MalMem_rate_20_seed_42_E1_No_Defense,MalMem,0.2,42,E1_No_Defense,PENDING
MalMem_rate_20_seed_42_E2_Integrity_Only,MalMem,0.2,42,E2_Integrity_Only,PENDING
MalMem_rate_20_seed_42_E3_Anomaly_Only,MalMem,0.2,42,E3_Anomaly_Only,PENDING
MalMem_rate_20_seed_42_E4_PoisonShield,MalMem,0.2,42,E4_PoisonShield,PENDING
MalMem_rate_20_seed_123_E1_No_Defense,MalMem,0.2,123,E1_No_Defense,PENDING
MalMem_rate_20_seed_123_E2_Integrity_Only,MalMem,0.2,123,E2_Integrity_Only,PENDING
MalMem_rate_20_seed_123_E3_Anomaly_Only,MalMem,0.2,123,E3_Anomaly_Only,PENDING
MalMem_rate_20_seed_123_E4_PoisonShield,MalMem,0.2,123,E4_PoisonShield,PENDING
MalMem_rate_20_seed_2026_E1_No_Defense,MalMem,0.2,2026,E1_No_Defense,PENDING
MalMem_rate_20_seed_2026_E2_Integrity_Only,MalMem,0.2,2026,E2_Integrity_Only,PENDING
MalMem_rate_20_seed_2026_E3_Anomaly_Only,MalMem,0.2,2026,E3_Anomaly_Only,PENDING
MalMem_rate_20_seed_2026_E4_PoisonShield,MalMem,0.2,2026,E4_PoisonShield,PENDING
Android_rate_01_seed_42_E1_No_Defense,Android,0.01,42,E1_No_Defense,PENDING
Android_rate_01_seed_42_E2_Integrity_Only,Android,0.01,42,E2_Integrity_Only,PENDING
Android_rate_01_seed_42_E3_Anomaly_Only,Android,0.01,42,E3_Anomaly_Only,PENDING
Android_rate_01_seed_42_E4_PoisonShield,Android,0.01,42,E4_PoisonShield,PENDING
Android_rate_01_seed_123_E1_No_Defense,Android,0.01,123,E1_No_Defense,PENDING
Android_rate_01_seed_123_E2_Integrity_Only,Android,0.01,123,E2_Integrity_Only,PENDING
Android_rate_01_seed_123_E3_Anomaly_Only,Android,0.01,123,E3_Anomaly_Only,PENDING
Android_rate_01_seed_123_E4_PoisonShield,Android,0.01,123,E4_PoisonShield,PENDING
Android_rate_01_seed_2026_E1_No_Defense,Android,0.01,2026,E1_No_Defense,PENDING
Android_rate_01_seed_2026_E2_Integrity_Only,Android,0.01,2026,E2_Integrity_Only,PENDING
Android_rate_01_seed_2026_E3_Anomaly_Only,Android,0.01,2026,E3_Anomaly_Only,PENDING
Android_rate_01_seed_2026_E4_PoisonShield,Android,0.01,2026,E4_PoisonShield,PENDING
Android_rate_05_seed_42_E1_No_Defense,Android,0.05,42,E1_No_Defense,PENDING
Android_rate_05_seed_42_E2_Integrity_Only,Android,0.05,42,E2_Integrity_Only,PENDING
Android_rate_05_seed_42_E3_Anomaly_Only,Android,0.05,42,E3_Anomaly_Only,PENDING
Android_rate_05_seed_42_E4_PoisonShield,Android,0.05,42,E4_PoisonShield,PENDING
Android_rate_05_seed_123_E1_No_Defense,Android,0.05,123,E1_No_Defense,PENDING
Android_rate_05_seed_123_E2_Integrity_Only,Android,0.05,123,E2_Integrity_Only,PENDING
Android_rate_05_seed_123_E3_Anomaly_Only,Android,0.05,123,E3_Anomaly_Only,PENDING
Android_rate_05_seed_123_E4_PoisonShield,Android,0.05,123,E4_PoisonShield,PENDING
Android_rate_05_seed_2026_E1_No_Defense,Android,0.05,2026,E1_No_Defense,PENDING
Android_rate_05_seed_2026_E2_Integrity_Only,Android,0.05,2026,E2_Integrity_Only,PENDING
Android_rate_05_seed_2026_E3_Anomaly_Only,Android,0.05,2026,E3_Anomaly_Only,PENDING
Android_rate_05_seed_2026_E4_PoisonShield,Android,0.05,2026,E4_PoisonShield,PENDING
Android_rate_10_seed_42_E1_No_Defense,Android,0.1,42,E1_No_Defense,PENDING
Android_rate_10_seed_42_E2_Integrity_Only,Android,0.1,42,E2_Integrity_Only,PENDING
Android_rate_10_seed_42_E3_Anomaly_Only,Android,0.1,42,E3_Anomaly_Only,PENDING
Android_rate_10_seed_42_E4_PoisonShield,Android,0.1,42,E4_PoisonShield,PENDING
Android_rate_10_seed_123_E1_No_Defense,Android,0.1,123,E1_No_Defense,PENDING
Android_rate_10_seed_123_E2_Integrity_Only,Android,0.1,123,E2_Integrity_Only,PENDING
Android_rate_10_seed_123_E3_Anomaly_Only,Android,0.1,123,E3_Anomaly_Only,PENDING
Android_rate_10_seed_123_E4_PoisonShield,Android,0.1,123,E4_PoisonShield,PENDING
Android_rate_10_seed_2026_E1_No_Defense,Android,0.1,2026,E1_No_Defense,PENDING
Android_rate_10_seed_2026_E2_Integrity_Only,Android,0.1,2026,E2_Integrity_Only,PENDING
Android_rate_10_seed_2026_E3_Anomaly_Only,Android,0.1,2026,E3_Anomaly_Only,PENDING
Android_rate_10_seed_2026_E4_PoisonShield,Android,0.1,2026,E4_PoisonShield,PENDING
Android_rate_20_seed_42_E1_No_Defense,Android,0.2,42,E1_No_Defense,PENDING
Android_rate_20_seed_42_E2_Integrity_Only,Android,0.2,42,E2_Integrity_Only,PENDING
Android_rate_20_seed_42_E3_Anomaly_Only,Android,0.2,42,E3_Anomaly_Only,PENDING
Android_rate_20_seed_42_E4_PoisonShield,Android,0.2,42,E4_PoisonShield,PENDING
Android_rate_20_seed_123_E1_No_Defense,Android,0.2,123,E1_No_Defense,PENDING
Android_rate_20_seed_123_E2_Integrity_Only,Android,0.2,123,E2_Integrity_Only,PENDING
Android_rate_20_seed_123_E3_Anomaly_Only,Android,0.2,123,E3_Anomaly_Only,PENDING
Android_rate_20_seed_123_E4_PoisonShield,Android,0.2,123,E4_PoisonShield,PENDING
Android_rate_20_seed_2026_E1_No_Defense,Android,0.2,2026,E1_No_Defense,PENDING
Android_rate_20_seed_2026_E2_Integrity_Only,Android,0.2,2026,E2_Integrity_Only,PENDING
Android_rate_20_seed_2026_E3_Anomaly_Only,Android,0.2,2026,E3_Anomaly_Only,PENDING
Android_rate_20_seed_2026_E4_PoisonShield,Android,0.2,2026,E4_PoisonShield,PENDING
