dataset,poisoning_rate,seed,threshold_percentile,threshold_label
MalMem,0.01,42,0.9,90%
MalMem,0.01,42,0.95,95%
MalMem,0.01,42,0.975,97.5%
MalMem,0.01,42,0.99,99%
MalMem,0.01,123,0.9,90%
MalMem,0.01,123,0.95,95%
MalMem,0.01,123,0.975,97.5%
MalMem,0.01,123,0.99,99%
MalMem,0.01,2026,0.9,90%
MalMem,0.01,2026,0.95,95%
MalMem,0.01,2026,0.975,97.5%
MalMem,0.01,2026,0.99,99%
MalMem,0.05,42,0.9,90%
MalMem,0.05,42,0.95,95%
MalMem,0.05,42,0.975,97.5%
MalMem,0.05,42,0.99,99%
MalMem,0.05,123,0.9,90%
MalMem,0.05,123,0.95,95%
MalMem,0.05,123,0.975,97.5%
MalMem,0.05,123,0.99,99%
MalMem,0.05,2026,0.9,90%
MalMem,0.05,2026,0.95,95%
MalMem,0.05,2026,0.975,97.5%
MalMem,0.05,2026,0.99,99%
MalMem,0.1,42,0.9,90%
MalMem,0.1,42,0.95,95%
MalMem,0.1,42,0.975,97.5%
MalMem,0.1,42,0.99,99%
MalMem,0.1,123,0.9,90%
MalMem,0.1,123,0.95,95%
MalMem,0.1,123,0.975,97.5%
MalMem,0.1,123,0.99,99%
MalMem,0.1,2026,0.9,90%
MalMem,0.1,2026,0.95,95%
MalMem,0.1,2026,0.975,97.5%
MalMem,0.1,2026,0.99,99%
MalMem,0.2,42,0.9,90%
MalMem,0.2,42,0.95,95%
MalMem,0.2,42,0.975,97.5%
MalMem,0.2,42,0.99,99%
MalMem,0.2,123,0.9,90%
MalMem,0.2,123,0.95,95%
MalMem,0.2,123,0.975,97.5%
MalMem,0.2,123,0.99,99%
MalMem,0.2,2026,0.9,90%
MalMem,0.2,2026,0.95,95%
MalMem,0.2,2026,0.975,97.5%
MalMem,0.2,2026,0.99,99%
Android,0.01,42,0.9,90%
Android,0.01,42,0.95,95%
Android,0.01,42,0.975,97.5%
Android,0.01,42,0.99,99%
Android,0.01,123,0.9,90%
Android,0.01,123,0.95,95%
Android,0.01,123,0.975,97.5%
Android,0.01,123,0.99,99%
Android,0.01,2026,0.9,90%
Android,0.01,2026,0.95,95%
Android,0.01,2026,0.975,97.5%
Android,0.01,2026,0.99,99%
Android,0.05,42,0.9,90%
Android,0.05,42,0.95,95%
Android,0.05,42,0.975,97.5%
Android,0.05,42,0.99,99%
Android,0.05,123,0.9,90%
Android,0.05,123,0.95,95%
Android,0.05,123,0.975,97.5%
Android,0.05,123,0.99,99%
Android,0.05,2026,0.9,90%
Android,0.05,2026,0.95,95%
Android,0.05,2026,0.975,97.5%
Android,0.05,2026,0.99,99%
Android,0.1,42,0.9,90%
Android,0.1,42,0.95,95%
Android,0.1,42,0.975,97.5%
Android,0.1,42,0.99,99%
Android,0.1,123,0.9,90%
Android,0.1,123,0.95,95%
Android,0.1,123,0.975,97.5%
Android,0.1,123,0.99,99%
Android,0.1,2026,0.9,90%
Android,0.1,2026,0.95,95%
Android,0.1,2026,0.975,97.5%
Android,0.1,2026,0.99,99%
Android,0.2,42,0.9,90%
Android,0.2,42,0.95,95%
Android,0.2,42,0.975,97.5%
Android,0.2,42,0.99,99%
Android,0.2,123,0.9,90%
Android,0.2,123,0.95,95%
Android,0.2,123,0.975,97.5%
Android,0.2,123,0.99,99%
Android,0.2,2026,0.9,90%
Android,0.2,2026,0.95,95%
Android,0.2,2026,0.975,97.5%
Android,0.2,2026,0.99,99%
