dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
MalMem,0.0,1.0,0.9,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.95,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.975,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.99,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.1,0.9,0.9,0.0487121922228299,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,1.0,1.0,5695,635,0,16394
MalMem,0.1,0.9,0.95,0.0618796243620349,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,1.0,1.0,6013,317,0,16394
MalMem,0.1,0.9,0.975,0.0701562887286357,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,1.0,1.0,6171,159,0,16394
MalMem,0.1,0.9,0.99,0.0800855839080361,0.0101105845181674,0.9961113136468588,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.2,0.8,0.9,0.0974243844456598,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,1.0,1.0,5695,635,0,16394
MalMem,0.2,0.8,0.95,0.1237592487240698,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,1.0,1.0,6013,317,0,16394
MalMem,0.2,0.8,0.975,0.1403125774572715,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,1.0,1.0,6171,159,0,16394
MalMem,0.2,0.8,0.99,0.1601711678160723,0.0101105845181674,0.9961113136468588,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.3,0.7,0.9,0.1461365766684897,0.1003159557661927,0.9627106700334724,1.0,0.9810011070221104,1.0,1.0,5695,635,0,16394
MalMem,0.3,0.7,0.95,0.1856388730861047,0.0500789889415481,0.9810304589791156,1.0,0.9904244071892464,1.0,1.0,6013,317,0,16394
MalMem,0.3,0.7,0.975,0.2104688661859073,0.0251184834123222,0.9903944904246964,1.0,0.9951740674416488,1.0,1.0,6171,159,0,16394
