dataset,attack_type,clean_rows,attack_rows,evaluation_rows,threshold,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
MalMem,backdoor_injection,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,gaussian_noise_injection,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,label_flipping,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,feature_poisoning,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,0.9999999999999999,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,missing_value_injection,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,outlier_injection,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
MalMem,sample_duplication,42202,2342,44544,0.080085583908,0.8084225060407317,1.0,0.8940637526245466,1.0,1.0,0.013151035495948059,0.0,41647,555,0,2342
Android,backdoor_injection,6117,783,6900,0.084899181695,0.9399759903961584,1.0,0.969059405940594,0.9991030586826363,0.9818576075342335,0.008173941474579042,0.0,6067,50,0,783
Android,gaussian_noise_injection,6117,783,6900,0.084899181695,0.9398315282791817,0.9974457215836526,0.9677819083023544,0.998762321198945,0.9799077713937225,0.008173941474579042,0.002554278416347382,6067,50,2,781
Android,label_flipping,6117,783,6900,0.084899181695,0.9396863691194209,0.9948914431673053,0.966501240694789,0.998443506163653,0.9799767044632446,0.008173941474579042,0.005108556832694764,6067,50,4,779
Android,feature_poisoning,6117,783,6900,0.084899181695,0.9399759903961584,1.0,0.969059405940594,0.9990967951259507,0.9812029879055129,0.008173941474579042,0.0,6067,50,0,783
Android,missing_value_injection,6117,783,6900,0.084899181695,0.9399759903961584,1.0,0.969059405940594,0.9991030586826362,0.9818380223813223,0.008173941474579042,0.0,6067,50,0,783
Android,outlier_injection,6117,783,6900,0.084899181695,0.9399759903961584,1.0,0.969059405940594,0.999125607486704,0.9835194125043417,0.008173941474579042,0.0,6067,50,0,783
Android,sample_duplication,6117,783,6900,0.084899181695,0.9399759903961584,1.0,0.969059405940594,0.9990999269042935,0.9815344231295666,0.008173941474579042,0.0,6067,50,0,783
