poisoning_rate,seed,defense,metric,android_minus_malmem
0.01,42,E1_No_Defense,accuracy,0.01327389623077524
0.01,42,E2_Integrity_Only,accuracy,0.009864315335990859
0.01,42,E3_Anomaly_Only,accuracy,0.017288103047252812
0.01,42,E4_PoisonShield,accuracy,0.01300702804507603
0.01,123,E1_No_Defense,accuracy,0.015310938429672794
0.01,123,E2_Integrity_Only,accuracy,0.00919981183298002
0.01,123,E3_Anomaly_Only,accuracy,0.019009239386096555
0.01,123,E4_PoisonShield,accuracy,0.015975441932683188
0.01,2026,E1_No_Defense,accuracy,0.010937294063275593
0.01,2026,E2_Integrity_Only,accuracy,0.0073370684555610355
0.01,2026,E3_Anomaly_Only,accuracy,0.015109453809780016
0.01,2026,E4_PoisonShield,accuracy,0.013181326866554599
0.05,42,E1_No_Defense,accuracy,0.01343184916080209
0.05,42,E2_Integrity_Only,accuracy,0.010289136451716363
0.05,42,E3_Anomaly_Only,accuracy,0.018834940564618097
0.05,42,E4_PoisonShield,accuracy,0.011443844636259248
0.05,123,E1_No_Defense,accuracy,0.005773885046744032
0.05,123,E2_Integrity_Only,accuracy,0.008584346004324228
0.05,123,E3_Anomaly_Only,accuracy,0.014428604415317792
0.05,123,E4_PoisonShield,accuracy,0.01205931046491504
0.05,2026,E1_No_Defense,accuracy,0.0071627696340825775
0.05,2026,E2_Integrity_Only,accuracy,0.005931837976770771
0.05,2026,E3_Anomaly_Only,accuracy,0.011193322342011536
0.05,2026,E4_PoisonShield,accuracy,0.013922053842334026
0.1,42,E1_No_Defense,accuracy,0.008235748361367423
0.1,42,E2_Integrity_Only,accuracy,0.0030723393448360836
0.1,42,E3_Anomaly_Only,accuracy,0.02118788862356935
0.1,42,E4_PoisonShield,accuracy,0.009183465941528413
0.1,123,E1_No_Defense,accuracy,0.008186710687012821
0.1,123,E2_Integrity_Only,accuracy,0.003862103994970445
0.1,123,E3_Anomaly_Only,accuracy,0.01300702804507603
0.1,123,E4_PoisonShield,accuracy,0.006705256735453635
0.1,2026,E1_No_Defense,accuracy,0.005457979186690443
0.1,2026,E2_Integrity_Only,accuracy,0.00793618839276522
0.1,2026,E3_Anomaly_Only,accuracy,0.018960201711741842
0.1,2026,E4_PoisonShield,accuracy,0.011411152853356032
0.2,42,E1_No_Defense,accuracy,-0.0018078555945447716
0.2,42,E2_Integrity_Only,accuracy,0.001650762974594433
0.2,42,E3_Anomaly_Only,accuracy,0.0096900165145124
0.2,42,E4_PoisonShield,accuracy,0.005583240333813966
0.2,123,E1_No_Defense,accuracy,0.0019503229431964142
0.2,123,E2_Integrity_Only,accuracy,0.001476464153115975
0.2,123,E3_Anomaly_Only,accuracy,0.000626821921664189
0.2,123,E4_PoisonShield,accuracy,0.00198301472609963
0.2,2026,E1_No_Defense,accuracy,-0.0010017450529589134
0.2,2026,E2_Integrity_Only,accuracy,0.005392595620884011
0.2,2026,E3_Anomaly_Only,accuracy,0.000975419564621216
0.2,2026,E4_PoisonShield,accuracy,0.008568000112872842
0.01,42,E1_No_Defense,macro_precision,0.13336900248165795
0.01,42,E2_Integrity_Only,macro_precision,0.12901335442849593
0.01,42,E3_Anomaly_Only,macro_precision,0.1466178850362786
0.01,42,E4_PoisonShield,macro_precision,0.13079137954325493
0.01,123,E1_No_Defense,macro_precision,0.13375458751793068
0.01,123,E2_Integrity_Only,macro_precision,0.12561722042631207
0.01,123,E3_Anomaly_Only,macro_precision,0.14771408128291896
0.01,123,E4_PoisonShield,macro_precision,0.1358486085951126
0.01,2026,E1_No_Defense,macro_precision,0.1274463427527207
0.01,2026,E2_Integrity_Only,macro_precision,0.12115663492107287
0.01,2026,E3_Anomaly_Only,macro_precision,0.14211104699935162
0.01,2026,E4_PoisonShield,macro_precision,0.13534012496894132
0.05,42,E1_No_Defense,macro_precision,0.1334579210905935
0.05,42,E2_Integrity_Only,macro_precision,0.12717302842587952
0.05,42,E3_Anomaly_Only,macro_precision,0.14570120783444118
0.05,42,E4_PoisonShield,macro_precision,0.12795745334862563
0.05,123,E1_No_Defense,macro_precision,0.11686610482693693
0.05,123,E2_Integrity_Only,macro_precision,0.12499069099850069
0.05,123,E3_Anomaly_Only,macro_precision,0.1378889225205352
0.05,123,E4_PoisonShield,macro_precision,0.12955757914287636
0.05,2026,E1_No_Defense,macro_precision,0.12151400171231519
0.05,2026,E2_Integrity_Only,macro_precision,0.12017984258942616
0.05,2026,E3_Anomaly_Only,macro_precision,0.13718041287780314
0.05,2026,E4_PoisonShield,macro_precision,0.13363494795163255
0.1,42,E1_No_Defense,macro_precision,0.12075389795992741
0.1,42,E2_Integrity_Only,macro_precision,0.11188033650206686
0.1,42,E3_Anomaly_Only,macro_precision,0.15264039712202637
0.1,42,E4_PoisonShield,macro_precision,0.12168077553877454
0.1,123,E1_No_Defense,macro_precision,0.11307729516233977
0.1,123,E2_Integrity_Only,macro_precision,0.11288154030593467
0.1,123,E3_Anomaly_Only,macro_precision,0.13183235946886873
0.1,123,E4_PoisonShield,macro_precision,0.12095301644363043
0.1,2026,E1_No_Defense,macro_precision,0.11500821300749842
0.1,2026,E2_Integrity_Only,macro_precision,0.12218463517869416
0.1,2026,E3_Anomaly_Only,macro_precision,0.14480994891999377
0.1,2026,E4_PoisonShield,macro_precision,0.1259124141369321
0.2,42,E1_No_Defense,macro_precision,0.10498588184659763
0.2,42,E2_Integrity_Only,macro_precision,0.10830439422073446
0.2,42,E3_Anomaly_Only,macro_precision,0.12509022151551707
0.2,42,E4_PoisonShield,macro_precision,0.11593786565774766
0.2,123,E1_No_Defense,macro_precision,0.10472621729598297
0.2,123,E2_Integrity_Only,macro_precision,0.10586772295220548
0.2,123,E3_Anomaly_Only,macro_precision,0.11081631822349891
0.2,123,E4_PoisonShield,macro_precision,0.11121650359734325
0.2,2026,E1_No_Defense,macro_precision,0.10102255304235219
0.2,2026,E2_Integrity_Only,macro_precision,0.11403103761368383
0.2,2026,E3_Anomaly_Only,macro_precision,0.11073818562100401
0.2,2026,E4_PoisonShield,macro_precision,0.12397728546576725
0.01,42,E1_No_Defense,macro_recall,0.128351365422252
0.01,42,E2_Integrity_Only,macro_recall,0.12339083887676194
0.01,42,E3_Anomaly_Only,macro_recall,0.13980716305817853
0.01,42,E4_PoisonShield,macro_recall,0.1332715494831579
0.01,123,E1_No_Defense,macro_recall,0.13312155771441836
0.01,123,E2_Integrity_Only,macro_recall,0.11994489011581422
0.01,123,E3_Anomaly_Only,macro_recall,0.1432878945754874
0.01,123,E4_PoisonShield,macro_recall,0.13562968227498862
0.01,2026,E1_No_Defense,macro_recall,0.12371372568773797
0.01,2026,E2_Integrity_Only,macro_recall,0.12078439129785268
0.01,2026,E3_Anomaly_Only,macro_recall,0.1367121617356578
0.01,2026,E4_PoisonShield,macro_recall,0.1334868977312853
0.05,42,E1_No_Defense,macro_recall,0.1250872931417344
0.05,42,E2_Integrity_Only,macro_recall,0.12146781295118192
0.05,42,E3_Anomaly_Only,macro_recall,0.1390592589299655
0.05,42,E4_PoisonShield,macro_recall,0.12983051378721266
0.05,123,E1_No_Defense,macro_recall,0.1174127598705228
