dataset,ablation,alpha,beta,threshold,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
MalMem,A1_Integrity_Only,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,42202,0,0,16394
MalMem,A2_Anomaly_Only,1.0,0.0,0.6151454207281126,0.42105263157894735,0.0936928144443089,0.15327811595649138,0.7385937166487603,0.42758076355795394,0.0500450215629591,0.9063071855556911,40090,2112,14858,1536
MalMem,A3_Optimized_Fusion,0.1,0.9,,0.9672547052923476,1.0,0.983354827100141,1.0,1.0,0.013151035495948059,0.0,41647,555,0,16394
MalMem,A4_Unoptimized_Fusion,0.5,0.5,0.3075727103640563,0.8858748513995461,1.0,0.9394842406876791,1.0,1.0,0.0500450215629591,0.0,40090,2112,0,16394
MalMem,A5_Remove_Anomaly_Component,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,42202,0,0,16394
MalMem,A5_Remove_Integrity_Component,1.0,0.0,0.6151454207281126,0.42105263157894735,0.0936928144443089,0.15327811595649138,0.7385937166487603,0.42758076355795394,0.0500450215629591,0.9063071855556911,40090,2112,14858,1536
Android,A1_Integrity_Only,0.0,1.0,0.5,0.9989053092501369,0.9989053092501369,0.9989053092501369,0.9989622181365936,0.9983291474223486,0.000980872976949485,0.0010946907498631637,6111,6,6,5475
Android,A2_Anomaly_Only,1.0,0.0,0.49917170142278644,0.4280373831775701,0.04178069695311075,0.07613031914893617,0.4686820376137316,0.4425203861926824,0.05002452182442374,0.9582193030468893,5811,306,5252,229
Android,A3_Optimized_Fusion,0.1,0.9,,0.9909502262443439,0.9989053092501369,0.9949118662547701,0.9989620391778312,0.9972083279532665,0.008173941474579042,0.0010946907498631637,6067,50,6,5475
Android,A4_Unoptimized_Fusion,0.5,0.5,0.25297031131723685,0.9470679813181111,0.9989053092501369,0.9722962173681406,0.9989619795249104,0.9972081950462592,0.05002452182442374,0.0010946907498631637,5811,306,6,5475
Android,A5_Remove_Anomaly_Component,0.0,1.0,0.5,0.9989053092501369,0.9989053092501369,0.9989053092501369,0.9989622181365936,0.9983291474223486,0.000980872976949485,0.0010946907498631637,6111,6,6,5475
Android,A5_Remove_Integrity_Component,1.0,0.0,0.49917170142278644,0.4280373831775701,0.04178069695311075,0.07613031914893617,0.4686820376137316,0.4425203861926824,0.05002452182442374,0.9582193030468893,5811,306,5252,229
