dataset,comparison,baseline,method,f1_baseline,f1_method,f1_absolute_difference,f1_relative_difference,recall_absolute_difference,precision_absolute_difference,pr_auc_absolute_difference
MalMem,Optimized_Fusion_vs_Integrity,A1_Integrity_Only,A3_Optimized_Fusion,1.0,0.983354827100141,-0.016645172899859006,-0.016645172899859006,0.0,-0.03274529470765242,0.0
MalMem,Optimized_Fusion_vs_Anomaly,A2_Anomaly_Only,A3_Optimized_Fusion,0.1532781159564913,0.983354827100141,0.8300767111436497,5.415493959876639,0.9063071855556911,0.5462020737134003,0.5724192364420462
MalMem,Optimized_Fusion_vs_Unoptimized,A4_Unoptimized_Fusion,A3_Optimized_Fusion,0.9394842406876792,0.983354827100141,0.043870586412461776,0.046696458027172004,0.0,0.08137985389280145,0.0
MalMem,Remove_Anomaly_Component,A3_Optimized_Fusion,A5_Remove_Anomaly_Component,0.983354827100141,1.0,0.016645172899859006,0.01692692448456749,0.0,0.03274529470765242,0.0
MalMem,Remove_Integrity_Component,A3_Optimized_Fusion,A5_Remove_Integrity_Component,0.983354827100141,0.1532781159564913,-0.8300767111436497,-0.8441273569495764,-0.9063071855556911,-0.5462020737134003,-0.5724192364420462
Android,Optimized_Fusion_vs_Integrity,A1_Integrity_Only,A3_Optimized_Fusion,0.9989053092501368,0.99491186625477,-0.003993442995366747,-0.003997819371252081,0.0,-0.007955083005792729,-0.0011208194690821571
Android,Optimized_Fusion_vs_Anomaly,A2_Anomaly_Only,A3_Optimized_Fusion,0.0761303191489361,0.99491186625477,0.9187815471058339,12.068536653687122,0.9571246122970261,0.5629128430667739,0.554687941760584
Android,Optimized_Fusion_vs_Unoptimized,A4_Unoptimized_Fusion,A3_Optimized_Fusion,0.9722962173681406,0.99491186625477,0.02261564888662937,0.023260039978193602,0.0,0.04388224492623283,1.3290700717760728e-07
Android,Remove_Anomaly_Component,A3_Optimized_Fusion,A5_Remove_Anomaly_Component,0.99491186625477,0.9989053092501368,0.003993442995366747,0.004013866082831637,0.0,0.007955083005792729,0.0011208194690821571
Android,Remove_Integrity_Component,A3_Optimized_Fusion,A5_Remove_Integrity_Component,0.99491186625477,0.0761303191489361,-0.9187815471058339,-0.9234803385796173,-0.9571246122970261,-0.5629128430667739,-0.554687941760584
