dataset,ablation,alpha,beta,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
MalMem,A1_Integrity_Only,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MalMem,A2_Anomaly_Only,1.0,0.0,0.4210526315789473,0.0936928144443089,0.1532781159564913,0.7385937166487603,0.4275807635579539,0.0500450215629591,0.9063071855556912
MalMem,A3_Optimized_Fusion,0.1,0.9,0.9672547052923476,1.0,0.983354827100141,1.0,1.0,0.013151035495948,0.0
MalMem,A4_Unoptimized_Fusion,0.5,0.5,0.8858748513995461,1.0,0.9394842406876792,1.0,1.0,0.0500450215629591,0.0
MalMem,A5_Remove_Anomaly_Component,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MalMem,A5_Remove_Integrity_Component,1.0,0.0,0.4210526315789473,0.0936928144443089,0.1532781159564913,0.7385937166487603,0.4275807635579539,0.0500450215629591,0.9063071855556912
Android,A1_Integrity_Only,0.0,1.0,0.9989053092501368,0.9989053092501368,0.9989053092501368,0.9989622181365936,0.9983291474223486,0.0009808729769494,0.0010946907498631
Android,A2_Anomaly_Only,1.0,0.0,0.4280373831775701,0.0417806969531107,0.0761303191489361,0.4686820376137316,0.4425203861926824,0.0500245218244237,0.9582193030468892
Android,A3_Optimized_Fusion,0.1,0.9,0.990950226244344,0.9989053092501368,0.99491186625477,0.9989620391778312,0.9972083279532664,0.008173941474579,0.0010946907498631
Android,A4_Unoptimized_Fusion,0.5,0.5,0.9470679813181112,0.9989053092501368,0.9722962173681406,0.9989619795249104,0.9972081950462592,0.0500245218244237,0.0010946907498631
Android,A5_Remove_Anomaly_Component,0.0,1.0,0.9989053092501368,0.9989053092501368,0.9989053092501368,0.9989622181365936,0.9983291474223486,0.0009808729769494,0.0010946907498631
Android,A5_Remove_Integrity_Component,1.0,0.0,0.4280373831775701,0.0417806969531107,0.0761303191489361,0.4686820376137316,0.4425203861926824,0.0500245218244237,0.9582193030468892
