experiment_id,dataset,poisoning_rate,seed,defense,metric,value
PS-001,MalMem,0.01,42,E1_No_Defense,accuracy,0.9126520296951508
PS-001,MalMem,0.01,42,E1_No_Defense,macro_precision,0.7857387386893294
PS-001,MalMem,0.01,42,E1_No_Defense,macro_recall,0.7853574790213196
PS-001,MalMem,0.01,42,E1_No_Defense,macro_f1,0.7855359287280957
PS-001,MalMem,0.01,42,E1_No_Defense,balanced_accuracy,0.7853574790213196
PS-001,MalMem,0.01,42,E1_No_Defense,retention,1.0
PS-001,MalMem,0.01,42,E1_No_Defense,poison_removal_rate,0.0
PS-002,MalMem,0.01,42,E2_Integrity_Only,accuracy,0.9117043121149896
PS-002,MalMem,0.01,42,E2_Integrity_Only,macro_precision,0.7831178797577942
PS-002,MalMem,0.01,42,E2_Integrity_Only,macro_recall,0.7830092506027808
PS-002,MalMem,0.01,42,E2_Integrity_Only,macro_f1,0.7830129150880611
PS-002,MalMem,0.01,42,E2_Integrity_Only,balanced_accuracy,0.7830092506027808
PS-002,MalMem,0.01,42,E2_Integrity_Only,retention,0.9898790173933444
PS-002,MalMem,0.01,42,E2_Integrity_Only,poison_removal_rate,0.9362416107382552
PS-003,MalMem,0.01,42,E3_Anomaly_Only,accuracy,0.9042805244037276
PS-003,MalMem,0.01,42,E3_Anomaly_Only,macro_precision,0.76703745745305
PS-003,MalMem,0.01,42,E3_Anomaly_Only,macro_recall,0.769065357792554
PS-003,MalMem,0.01,42,E3_Anomaly_Only,macro_f1,0.7679989091951637
PS-003,MalMem,0.01,42,E3_Anomaly_Only,balanced_accuracy,0.769065357792554
PS-003,MalMem,0.01,42,E3_Anomaly_Only,retention,0.952344247461376
PS-003,MalMem,0.01,42,E3_Anomaly_Only,poison_removal_rate,0.087248322147651
PS-004,MalMem,0.01,42,E4_PoisonShield,accuracy,0.9096509240246408
PS-004,MalMem,0.01,42,E4_PoisonShield,macro_precision,0.7799113397063027
PS-004,MalMem,0.01,42,E4_PoisonShield,macro_recall,0.7781751123143801
PS-004,MalMem,0.01,42,E4_PoisonShield,macro_f1,0.7789841527135546
PS-004,MalMem,0.01,42,E4_PoisonShield,balanced_accuracy,0.7781751123143801
PS-004,MalMem,0.01,42,E4_PoisonShield,retention,0.9766077951673984
PS-004,MalMem,0.01,42,E4_PoisonShield,poison_removal_rate,0.9362416107382552
PS-005,MalMem,0.01,123,E1_No_Defense,accuracy,0.9117043121149896
PS-005,MalMem,0.01,123,E1_No_Defense,macro_precision,0.7833267411061473
PS-005,MalMem,0.01,123,E1_No_Defense,macro_recall,0.7829969252833701
PS-005,MalMem,0.01,123,E1_No_Defense,macro_f1,0.7831479011298168
PS-005,MalMem,0.01,123,E1_No_Defense,balanced_accuracy,0.7829969252833701
PS-005,MalMem,0.01,123,E1_No_Defense,retention,1.0
PS-005,MalMem,0.01,123,E1_No_Defense,poison_removal_rate,0.0
PS-006,MalMem,0.01,123,E2_Integrity_Only,accuracy,0.9145474648554732
PS-006,MalMem,0.01,123,E2_Integrity_Only,macro_precision,0.7900802669273027
PS-006,MalMem,0.01,123,E2_Integrity_Only,macro_recall,0.789915466852677
PS-006,MalMem,0.01,123,E2_Integrity_Only,macro_f1,0.7899356380905496
PS-006,MalMem,0.01,123,E2_Integrity_Only,balanced_accuracy,0.789915466852677
PS-006,MalMem,0.01,123,E2_Integrity_Only,retention,0.9894768591440732
PS-006,MalMem,0.01,123,E2_Integrity_Only,poison_removal_rate,0.9563758389261744
PS-007,MalMem,0.01,123,E3_Anomaly_Only,accuracy,0.9036487126836202
PS-007,MalMem,0.01,123,E3_Anomaly_Only,macro_precision,0.765250326032612
PS-007,MalMem,0.01,123,E3_Anomaly_Only,macro_recall,0.767495112099637
PS-007,MalMem,0.01,123,E3_Anomaly_Only,macro_f1,0.7663484355374512
PS-007,MalMem,0.01,123,E3_Anomaly_Only,balanced_accuracy,0.767495112099637
PS-007,MalMem,0.01,123,E3_Anomaly_Only,retention,0.952076141961862
PS-007,MalMem,0.01,123,E3_Anomaly_Only,poison_removal_rate,0.1140939597315436
PS-008,MalMem,0.01,123,E4_PoisonShield,accuracy,0.9088611593745064
PS-008,MalMem,0.01,123,E4_PoisonShield,macro_precision,0.7781942905823058
PS-008,MalMem,0.01,123,E4_PoisonShield,macro_recall,0.7763131605686981
PS-008,MalMem,0.01,123,E4_PoisonShield,macro_f1,0.777121699877066
PS-008,MalMem,0.01,123,E4_PoisonShield,balanced_accuracy,0.7763131605686981
PS-008,MalMem,0.01,123,E4_PoisonShield,retention,0.9761386105432488
PS-008,MalMem,0.01,123,E4_PoisonShield,poison_removal_rate,0.959731543624161
PS-009,MalMem,0.01,2026,E1_No_Defense,accuracy,0.9128099826251777
PS-009,MalMem,0.01,2026,E1_No_Defense,macro_precision,0.7863460790224831
PS-009,MalMem,0.01,2026,E1_No_Defense,macro_recall,0.7856157791762708
PS-009,MalMem,0.01,2026,E1_No_Defense,macro_f1,0.7859118802432464
PS-009,MalMem,0.01,2026,E1_No_Defense,balanced_accuracy,0.7856157791762708
PS-009,MalMem,0.01,2026,E1_No_Defense,retention,1.0
PS-009,MalMem,0.01,2026,E1_No_Defense,poison_removal_rate,0.0
PS-010,MalMem,0.01,2026,E2_Integrity_Only,accuracy,0.9142315589954194
PS-010,MalMem,0.01,2026,E2_Integrity_Only,macro_precision,0.7893730839623343
PS-010,MalMem,0.01,2026,E2_Integrity_Only,macro_recall,0.7892234215788221
PS-010,MalMem,0.01,2026,E2_Integrity_Only,macro_f1,0.7892827722959512
PS-010,MalMem,0.01,2026,E2_Integrity_Only,balanced_accuracy,0.7892234215788221
PS-010,MalMem,0.01,2026,E2_Integrity_Only,retention,0.9899460437682228
PS-010,MalMem,0.01,2026,E2_Integrity_Only,poison_removal_rate,0.9328859060402684
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,accuracy,0.9042805244037276
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,macro_precision,0.767040664897682
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,macro_recall,0.768598987982853
PS-011,MalMem,0.01,2026,E3_Anomaly_Only,macro_f1,0.7677766490274397
