dataset,poisoning_rate,defense,metric,n,mean,std,sem,ci95_lower,ci95_upper
Android,0.01,E1_No_Defense,accuracy,3,0.9255628177196805,0.0016639708405794607,0.0009606940127322395,0.9214292850033442,0.9296963504360168
Android,0.01,E1_No_Defense,balanced_accuracy,3,0.913052277435123,0.0034417824165208343,0.0019871140046704245,0.9045024159386044,0.9216021389316416
Android,0.01,E1_No_Defense,macro_f1,3,0.9138735680687159,0.0025550641265564933,0.0014751669612641475,0.9075264369159964,0.9202206992214353
Android,0.01,E1_No_Defense,macro_precision,3,0.9166604971900897,0.002682532272251852,0.0015487607294944654,0.9099967176096015,0.9233242767705778
Android,0.01,E1_No_Defense,macro_recall,3,0.913052277435123,0.0034417824165208343,0.0019871140046704245,0.9045024159386044,0.9216021389316416
Android,0.01,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
Android,0.01,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
Android,0.01,E2_Integrity_Only,accuracy,3,0.9222948438634715,0.0012578437237246917,0.000726216412490932,0.9191701868338785,0.9254195008930645
Android,0.01,E2_Integrity_Only,balanced_accuracy,3,0.9087560864415695,0.0020416848618296257,0.0011787673045777184,0.9036842600807887,0.9138279128023502
Android,0.01,E2_Integrity_Only,macro_f1,3,0.910045391280147,0.0017165810826733274,0.000991068550167265,0.905781167477401,0.9143096150828931
Android,0.01,E2_Integrity_Only,macro_precision,3,0.9127861468077706,0.00264539990299177,0.0015273223461065085,0.9062146091460881,0.9193576844694531
Android,0.01,E2_Integrity_Only,macro_recall,3,0.9087560864415695,0.0020416848618296257,0.0011787673045777184,0.9036842600807887,0.9138279128023502
Android,0.01,E2_Integrity_Only,poison_removal_rate,3,0.9689922480620154,0.013426750446270392,0.007751937984496139,0.9356383509321746,1.0023461451918563
Android,0.01,E2_Integrity_Only,retention,3,0.9892075238976257,0.000133522263919946,7.708911501698908e-05,0.9888758362064639,0.9895392115887874
Android,0.01,E3_Anomaly_Only,accuracy,3,0.9212055192447349,0.0016639708405794607,0.0009606940127322395,0.9170719865283986,0.9253390519610712
Android,0.01,E3_Anomaly_Only,balanced_accuracy,3,0.9083222257481225,0.002777124981591118,0.0016033738556948665,0.901423464851108,0.915220986645137
Android,0.01,E3_Anomaly_Only,macro_f1,3,0.9091112112642629,0.0025940478990701702,0.001497674252818946,0.9026672390520959,0.9155551834764298
Android,0.01,E3_Anomaly_Only,macro_precision,3,0.9119238205672978,0.002425445879299886,0.001400331831318658,0.9058986789907195,0.9179489621438761
Android,0.01,E3_Anomaly_Only,macro_recall,3,0.9083222257481225,0.002777124981591118,0.0016033738556948665,0.901423464851108,0.915220986645137
Android,0.01,E3_Anomaly_Only,poison_removal_rate,3,0.03875968992248057,0.013426750446270385,0.007751937984496135,0.005405792792639731,0.0721135870523214
Android,0.01,E3_Anomaly_Only,retention,3,0.9508171446191797,0.0001335222639198178,7.708911501691507e-05,0.9504854569280181,0.9511488323103412
Android,0.01,E4_PoisonShield,accuracy,3,0.9230210602759623,0.0016639708405794607,0.0009606940127322395,0.918887527559626,0.9271545929922986
Android,0.01,E4_PoisonShield,balanced_accuracy,3,0.910662196785225,0.0018055640970667027,0.0010424429174805845,0.9061769269207192,0.9151474666497308
Android,0.01,E4_PoisonShield,macro_f1,3,0.9106089541014901,0.001794720802058442,0.0010361825381886628,0.9061506204750339,0.9150672877279463
Android,0.01,E4_PoisonShield,macro_precision,3,0.9120108971241258,0.0017838558150536,0.0010299096350166752,0.907579553621626,0.9164422406266255
Android,0.01,E4_PoisonShield,macro_recall,3,0.910662196785225,0.0018055640970667027,0.0010424429174805845,0.9061769269207192,0.9151474666497308
Android,0.01,E4_PoisonShield,poison_removal_rate,3,0.9689922480620154,0.013426750446270392,0.007751937984496139,0.9356383509321746,1.0023461451918563
Android,0.01,E4_PoisonShield,retention,3,0.9820382362010484,0.000133522263919946,7.708911501698908e-05,0.9817065485098866,0.9823699238922101
Android,0.05,E1_No_Defense,accuracy,3,0.9230210602759623,0.0027414068392414425,0.001582751976594328,0.9162110281633524,0.9298310923885722
Android,0.05,E1_No_Defense,balanced_accuracy,3,0.9089618540607374,0.0010669149045798717,0.0006159836073616129,0.906311490511042,0.9116122176104328
Android,0.05,E1_No_Defense,macro_f1,3,0.9109950698406557,0.003135590412783446,0.0018103339688889325,0.9032058314476575,0.9187843082336539
Android,0.05,E1_No_Defense,macro_precision,3,0.9144617729790667,0.005070594751822415,0.0029275092449161755,0.9018657173350614,0.9270578286230721
Android,0.05,E1_No_Defense,macro_recall,3,0.9089618540607374,0.0010669149045798717,0.0006159836073616129,0.906311490511042,0.9116122176104328
Android,0.05,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
Android,0.05,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
Android,0.05,E2_Integrity_Only,accuracy,3,0.9226579520697168,0.002178649237472796,0.0012578437237246917,0.9172458873382345,0.928070016801199
Android,0.05,E2_Integrity_Only,balanced_accuracy,3,0.9092554411488419,0.0017941782736964694,0.0010358693092928346,0.9047984552375494,0.9137124270601344
Android,0.05,E2_Integrity_Only,macro_f1,3,0.9106813734445455,0.0025108569789274106,0.0014496439526803912,0.9044440589343804,0.9169186879547105
Android,0.05,E2_Integrity_Only,macro_precision,3,0.91366790738466,0.003357793621993611,0.00193862305154122,0.9053266856199909,0.9220091291493291
Android,0.05,E2_Integrity_Only,macro_recall,3,0.9092554411488419,0.0017941782736964694,0.0010358693092928346,0.9047984552375494,0.9137124270601344
Android,0.05,E2_Integrity_Only,poison_removal_rate,3,0.9585185185185185,0.013578002059128392,0.00783926314389507,0.9247888915532141,0.992248145483823
Android,0.05,E2_Integrity_Only,retention,3,0.946959609409676,0.0012356334582400684,0.0007133933097346118,0.9438901257381614,0.9500290930811907
Android,0.05,E3_Anomaly_Only,accuracy,3,0.9212055192447349,0.003501688729481927,0.002021700930584669,0.9125068422170177,0.9299041962724521
Android,0.05,E3_Anomaly_Only,balanced_accuracy,3,0.9073369759210242,0.00534708613384677,0.003087141618756548,0.8940540776079582,0.9206198742340903
Android,0.05,E3_Anomaly_Only,macro_f1,3,0.9090151164049799,0.004116828880991758,0.0023768522626482175,0.8987883465288854,0.9192418862810744
Android,0.05,E3_Anomaly_Only,macro_precision,3,0.9129394151897686,0.0034154557516546118,0.001971914297623046,0.9044549527542688,0.9214238776252685
Android,0.05,E3_Anomaly_Only,macro_recall,3,0.9073369759210242,0.00534708613384677,0.003087141618756548,0.8940540776079582,0.9206198742340903
Android,0.05,E3_Anomaly_Only,poison_removal_rate,3,0.0414814814814814,0.021003625005567145,0.012126448550922148,-0.010694415478310189,0.09365737844127298
Android,0.05,E3_Anomaly_Only,retention,3,0.9511022340582925,0.0010487828731141657,0.0006055150741139327,0.9484969129717518,0.9537075551448333
Android,0.05,E4_PoisonShield,accuracy,3,0.9230210602759623,0.0016639708405794607,0.0009606940127322395,0.918887527559626,0.9271545929922986
Android,0.05,E4_PoisonShield,balanced_accuracy,3,0.9097456239140156,0.0014967046158173357,0.0008641228128394942,0.906027603534513,0.9134636442935182
Android,0.05,E4_PoisonShield,macro_f1,3,0.9099874790703196,0.002107882483551887,0.0012169865192987789,0.9047512087009905,0.9152237494396488
Android,0.05,E4_PoisonShield,macro_precision,3,0.9122985500163754,0.003505167209443884,0.002023709231927076,0.9035912319654051,0.9210058680673456
Android,0.05,E4_PoisonShield,macro_recall,3,0.9097456239140156,0.0014967046158173357,0.0008641228128394942,0.906027603534513,0.9134636442935182
Android,0.05,E4_PoisonShield,poison_removal_rate,3,0.9585185185185185,0.013578002059128392,0.00783926314389507,0.9247888915532141,0.992248145483823
Android,0.05,E4_PoisonShield,retention,3,0.9400798934753661,0.0012356334582401883,0.0007133933097346809,0.9370104098038512,0.9431493771468811
Android,0.1,E1_No_Defense,accuracy,3,0.9244734931009441,0.003825582335821697,0.002208700991393734,0.9149702197511235,0.9339767664507647
Android,0.1,E1_No_Defense,balanced_accuracy,3,0.9095040704881568,0.004852925527888567,0.002801837859883671,0.897448735172013,0.9215594058043007
Android,0.1,E1_No_Defense,macro_f1,3,0.9121302580984207,0.004821455786654345,0.0027836687963107647,0.9001530979532558,0.9241074182435857
Android,0.1,E1_No_Defense,macro_precision,3,0.9163961583795546,0.004476327825157353,0.0025844090748356097,0.9052763436189238,0.9275159731401853
Android,0.1,E1_No_Defense,macro_recall,3,0.9095040704881568,0.004852925527888567,0.002801837859883671,0.897448735172013,0.9215594058043007
Android,0.1,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
Android,0.1,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
Android,0.1,E2_Integrity_Only,accuracy,3,0.9222948438634714,0.0012578437237246917,0.000726216412490932,0.9191701868338784,0.9254195008930644
Android,0.1,E2_Integrity_Only,balanced_accuracy,3,0.9083372818291372,0.0008263367923747571,0.0004770857695188579,0.9062845474405923,0.9103900162176821
Android,0.1,E2_Integrity_Only,macro_f1,3,0.909598494751768,0.0017852161337931294,0.0010306950154071262,0.9051637720301874,0.9140332174733486
Android,0.1,E2_Integrity_Only,macro_precision,3,0.9125295032925314,0.0025742356887146745,0.0014862356678369592,0.9061347473392617,0.918924259245801
Android,0.1,E2_Integrity_Only,macro_recall,3,0.9083372818291372,0.0008263367923747571,0.0004770857695188579,0.9062845474405923,0.9103900162176821
Android,0.1,E2_Integrity_Only,poison_removal_rate,3,0.9586834733893556,0.00849044513514159,0.004901960784313745,0.9375920384396033,0.9797749083391079
Android,0.1,E2_Integrity_Only,retention,3,0.8937005115268727,0.0015207437750830509,0.0008780018279126472,0.8899227745652794,0.897478248488466
Android,0.1,E3_Anomaly_Only,accuracy,3,0.9244734931009441,0.0016639708405795093,0.0009606940127322676,0.9203399603846076,0.9286070258172805
Android,0.1,E3_Anomaly_Only,balanced_accuracy,3,0.9107305568574745,0.0031648205649963115,0.001827210005137484,0.9028687067410441,0.9185924069739049
