dataset,poisoning_rate,seed,metric,comparison,poisonshield_value,baseline_value,absolute_difference
Android,0.01,42,accuracy,PoisonShield_vs_No_Defense,0.9226579520697168,0.925925925925926,-0.0032679738562092497
Android,0.01,42,accuracy,PoisonShield_vs_Integrity_Only,0.9226579520697168,0.9215686274509804,0.0010893246187363426
Android,0.01,42,accuracy,PoisonShield_vs_Anomaly_Only,0.9226579520697168,0.9215686274509804,0.0010893246187363426
Android,0.01,42,balanced_accuracy,PoisonShield_vs_No_Defense,0.911446661797538,0.9137088444435716,-0.002262182646033617
Android,0.01,42,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.911446661797538,0.9064000894795428,0.005046572317995213
Android,0.01,42,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.911446661797538,0.9088725208507326,0.0025741409468054144
Android,0.01,42,macro_f1,PoisonShield_vs_No_Defense,0.9100586286970426,0.9154984302917952,-0.005439801594752658
Android,0.01,42,macro_f1,PoisonShield_vs_Integrity_Only,0.9100586286970426,0.9088226522145744,0.001235976482468204
Android,0.01,42,macro_f1,PoisonShield_vs_Anomaly_Only,0.9100586286970426,0.9102394393272398,-0.00018081063019725896
Android,0.01,42,macro_precision,PoisonShield_vs_No_Defense,0.9107027192495576,0.9191077411709874,-0.008405021921429778
Android,0.01,42,macro_precision,PoisonShield_vs_Integrity_Only,0.9107027192495576,0.9121312341862902,-0.0014285149367325722
Android,0.01,42,macro_precision,PoisonShield_vs_Anomaly_Only,0.9107027192495576,0.9136553424893286,-0.0029526232397709684
Android,0.01,42,macro_recall,PoisonShield_vs_No_Defense,0.911446661797538,0.9137088444435716,-0.002262182646033617
Android,0.01,42,macro_recall,PoisonShield_vs_Integrity_Only,0.911446661797538,0.9064000894795428,0.005046572317995213
Android,0.01,42,macro_recall,PoisonShield_vs_Anomaly_Only,0.911446661797538,0.9088725208507326,0.0025741409468054144
Android,0.01,42,poison_removal_rate,PoisonShield_vs_No_Defense,0.9767441860465116,0.0,0.9767441860465116
Android,0.01,42,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9767441860465116,0.9767441860465116,0.0
Android,0.01,42,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9767441860465116,0.0465116279069767,0.9302325581395349
Android,0.01,42,retention,PoisonShield_vs_No_Defense,0.9819611470860314,1.0,-0.01803885291396856
Android,0.01,42,retention,PoisonShield_vs_Integrity_Only,0.9819611470860314,0.9891304347826086,-0.007169287696577209
Android,0.01,42,retention,PoisonShield_vs_Anomaly_Only,0.9819611470860314,0.9507400555041629,0.031221091581868587
Android,0.01,123,accuracy,PoisonShield_vs_No_Defense,0.9248366013071896,0.9270152505446624,-0.002178649237472796
Android,0.01,123,accuracy,PoisonShield_vs_Integrity_Only,0.9248366013071896,0.9237472766884532,0.0010893246187363426
Android,0.01,123,accuracy,PoisonShield_vs_Anomaly_Only,0.9248366013071896,0.9226579520697168,0.002178649237472796
Android,0.01,123,balanced_accuracy,PoisonShield_vs_No_Defense,0.9119428428436868,0.9161184829977884,-0.004175640154101656
Android,0.01,123,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9119428428436868,0.9098603569684912,0.00208248587519555
Android,0.01,123,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9119428428436868,0.9107830066751244,0.0011598361685624115
Android,0.01,123,macro_f1,PoisonShield_vs_No_Defense,0.9126143997919144,0.915193792521918,-0.002579392730003627
Android,0.01,123,macro_f1,PoisonShield_vs_Integrity_Only,0.9126143997919144,0.9120078094784276,0.0006065903134867545
Android,0.01,123,macro_f1,PoisonShield_vs_Anomaly_Only,0.9126143997919144,0.9109500975617598,0.0016643022301545685
Android,0.01,123,macro_precision,PoisonShield_vs_No_Defense,0.9140428991774184,0.917081328624078,-0.003038429446659552
Android,0.01,123,macro_precision,PoisonShield_vs_Integrity_Only,0.9140428991774184,0.9156974873536148,-0.0016545881761963477
Android,0.01,123,macro_precision,PoisonShield_vs_Anomaly_Only,0.9140428991774184,0.912964407315531,0.001078491861887465
Android,0.01,123,macro_recall,PoisonShield_vs_No_Defense,0.9119428428436868,0.9161184829977884,-0.004175640154101656
Android,0.01,123,macro_recall,PoisonShield_vs_Integrity_Only,0.9119428428436868,0.9098603569684912,0.00208248587519555
Android,0.01,123,macro_recall,PoisonShield_vs_Anomaly_Only,0.9119428428436868,0.9107830066751244,0.0011598361685624115
Android,0.01,123,poison_removal_rate,PoisonShield_vs_No_Defense,0.9767441860465116,0.0,0.9767441860465116
Android,0.01,123,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.9767441860465116,0.9767441860465116,0.0
Android,0.01,123,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.9767441860465116,0.0232558139534883,0.9534883720930233
Android,0.01,123,retention,PoisonShield_vs_No_Defense,0.9819611470860314,1.0,-0.01803885291396856
Android,0.01,123,retention,PoisonShield_vs_Integrity_Only,0.9819611470860314,0.9891304347826086,-0.007169287696577209
Android,0.01,123,retention,PoisonShield_vs_Anomaly_Only,0.9819611470860314,0.9509713228492136,0.030989824236817842
Android,0.01,2026,accuracy,PoisonShield_vs_No_Defense,0.9215686274509804,0.9237472766884532,-0.002178649237472796
Android,0.01,2026,accuracy,PoisonShield_vs_Integrity_Only,0.9215686274509804,0.9215686274509804,0.0
Android,0.01,2026,accuracy,PoisonShield_vs_Anomaly_Only,0.9215686274509804,0.9193899782135077,0.002178649237472796
Android,0.01,2026,balanced_accuracy,PoisonShield_vs_No_Defense,0.9085970857144504,0.9093295048640088,-0.0007324191495583499
Android,0.01,2026,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9085970857144504,0.9100078128766748,-0.0014107271622243456
Android,0.01,2026,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9085970857144504,0.9053111497185108,0.003285935995939626
Android,0.01,2026,macro_f1,PoisonShield_vs_No_Defense,0.9091538338155134,0.9109284813924348,-0.001774647576921362
Android,0.01,2026,macro_f1,PoisonShield_vs_Integrity_Only,0.9091538338155134,0.9093057121474392,-0.00015187833192575884
Android,0.01,2026,macro_f1,PoisonShield_vs_Anomaly_Only,0.9091538338155134,0.906144096903789,0.0030097369117243478
Android,0.01,2026,macro_precision,PoisonShield_vs_No_Defense,0.9112870729454016,0.9137924217752038,-0.0025053488298022453
