dataset,poisoning_rate,metric,comparison,n_pairs,mean_difference,median_difference,rank_biserial_effect,wilcoxon_statistic,p_value,holm_p_value,holm_reject,effect_direction,friedman_statistic,friedman_p_value,friedman_significant_05,statistically_significant_raw,statistically_significant_holm,absolute_effect,practical_effect_magnitude,positive_difference,holm_significant
MalMem,0.01,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.008123907538239,-0.0071823667069395,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.008123907538239,1.0,False,False
MalMem,0.01,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0108498927226788,-0.0136023062839788,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0108498927226788,1.0,False,False
MalMem,0.01,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0081463343303997,0.0088180484690612,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0081463343303997,1.0,True,False
MalMem,0.01,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0076729136681662,-0.0065517760145411,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0076729136681662,1.0,False,False
MalMem,0.01,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0102181187926339,-0.0128139382134835,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0102181187926339,1.0,False,False
MalMem,0.01,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0098176584455351,0.0107732643396147,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0098176584455351,1.0,True,False
MalMem,0.01,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.008123907538239,-0.0071823667069395,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.008123907538239,1.0,False,False
MalMem,0.01,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0108498927226788,-0.0136023062839788,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0108498927226788,1.0,False,False
MalMem,0.01,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0081463343303997,0.0088180484690612,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0081463343303997,1.0,True,False
MalMem,0.05,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0086947184631053,-0.0097749548228636,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0086947184631053,1.0,False,False
MalMem,0.05,macro_recall,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0091228532654191,-0.0086809551897634,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0091228532654191,1.0,False,False
MalMem,0.05,macro_recall,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.00663362436944,0.0084853549747375,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.00663362436944,1.0,True,False
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E1_No_Defense,3,-0.0087137240018478,-0.0100120951380533,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0087137240018478,1.0,False,False
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0084391510440551,-0.0082782925975039,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0084391510440551,1.0,False,False
MalMem,0.05,macro_f1,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.0078200026957031,0.0094051206586209,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.0078200026957031,1.0,True,False
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E1_No_Defense,3,-0.0086947184631053,-0.0097749548228636,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0086947184631053,1.0,False,False
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E2_Integrity_Only,3,-0.0091228532654191,-0.0086809551897634,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0091228532654191,1.0,False,False
MalMem,0.05,balanced_accuracy,E4_PoisonShield_vs_E3_Anomaly_Only,3,0.00663362436944,0.0084853549747375,1.0,0.0,0.25,0.75,False,PoisonShield_higher,8.200000000000003,0.0420541828949661,True,False,False,0.00663362436944,1.0,True,False
MalMem,0.1,macro_recall,E4_PoisonShield_vs_E1_No_Defense,3,-0.0067451008661318,-0.0061796377397228,-1.0,0.0,0.25,0.75,False,PoisonShield_lower,8.200000000000003,0.0420541828949661,True,False,False,0.0067451008661318,1.0,False,False
