dataset,poisoning_rate,seed,metric,poisonshield_value,no_defense_value,absolute_difference,poisonshield_higher
MalMem,0.01,42,accuracy,0.9096509240246408,0.9126520296951508,-0.0030011056705100403,False
MalMem,0.01,42,macro_precision,0.7799113397063027,0.7857387386893294,-0.005827398983026755,False
MalMem,0.01,42,macro_recall,0.7781751123143801,0.7853574790213196,-0.0071823667069395025,False
MalMem,0.01,42,macro_f1,0.7789841527135546,0.7855359287280957,-0.006551776014541155,False
MalMem,0.01,42,balanced_accuracy,0.7781751123143801,0.7853574790213196,-0.0071823667069395025,False
MalMem,0.01,123,accuracy,0.9088611593745064,0.9117043121149896,-0.0028431527404831902,False
MalMem,0.01,123,macro_precision,0.7781942905823058,0.7833267411061473,-0.005132450523841481,False
MalMem,0.01,123,macro_recall,0.7763131605686981,0.7829969252833701,-0.006683764714671914,False
MalMem,0.01,123,macro_f1,0.777121699877066,0.7831479011298168,-0.0060262012527507736,False
MalMem,0.01,123,balanced_accuracy,0.7763131605686981,0.7829969252833701,-0.006683764714671914,False
MalMem,0.01,2026,accuracy,0.9083873005844258,0.9128099826251777,-0.004422682040751802,False
MalMem,0.01,2026,macro_precision,0.7759469479764602,0.7863460790224831,-0.010399131046022858,False
MalMem,0.01,2026,macro_recall,0.7751101879831651,0.7856157791762708,-0.010505591193105679,False
MalMem,0.01,2026,macro_f1,0.7754711165060395,0.7859118802432464,-0.010440763737206926,False
MalMem,0.01,2026,balanced_accuracy,0.7751101879831651,0.7856157791762708,-0.010505591193105679,False
MalMem,0.05,42,accuracy,0.9101247828147212,0.912494076765124,-0.002369293950402751,False
MalMem,0.05,42,macro_precision,0.7810667001226334,0.7858230110350825,-0.004756310912449102,False
MalMem,0.05,42,macro_recall,0.7793291234063782,0.784790110311162,-0.0054609869047838044,False
MalMem,0.05,42,macro_f1,0.7800984522329627,0.7852305363796823,-0.005132084146719618,False
MalMem,0.05,42,balanced_accuracy,0.7793291234063782,0.784790110311162,-0.0054609869047838044,False
MalMem,0.05,123,accuracy,0.9105986416048018,0.9147054177855,-0.004106776180698213,False
MalMem,0.05,123,macro_precision,0.7823178432943636,0.7923063820005523,-0.009988538706188654,False
MalMem,0.05,123,macro_recall,0.7806024778479566,0.7903774326708202,-0.009774954822863613,False
MalMem,0.05,123,macro_f1,0.7813108905322212,0.7913229856702746,-0.010012095138053345,False
MalMem,0.05,123,balanced_accuracy,0.7806024778479566,0.7903774326708202,-0.009774954822863613,False
MalMem,0.05,2026,accuracy,0.9109145474648556,0.9154951824356342,-0.004580634970778652,False
MalMem,0.05,2026,macro_precision,0.7823611261889949,0.79341789827172,-0.011056772082725153,False
MalMem,0.05,2026,macro_recall,0.7813541947966016,0.7922024084582702,-0.010848213661668549,False
MalMem,0.05,2026,macro_f1,0.7817461621085211,0.7927431548292918,-0.010996992720770704,False
MalMem,0.05,2026,balanced_accuracy,0.7813541947966016,0.7922024084582702,-0.010848213661668549,False
MalMem,0.1,42,accuracy,0.9156531353656612,0.9166008529458222,-0.0009477175801609894,False
MalMem,0.1,42,macro_precision,0.7937881316717894,0.7972679628440602,-0.0034798311722707975,False
MalMem,0.1,42,macro_recall,0.7927921331008785,0.7948017969109235,-0.0020096638100449704,False
MalMem,0.1,42,macro_f1,0.7931943089154346,0.7959041495025023,-0.002709840587067691,False
MalMem,0.1,42,balanced_accuracy,0.7927921331008785,0.7948017969109235,-0.0020096638100449704,False
MalMem,0.1,123,accuracy,0.9148633707155268,0.919917864476386,-0.005054493760859202,False
MalMem,0.1,123,macro_precision,0.7925783484179232,0.806755168335221,-0.0141768199172978,False
MalMem,0.1,123,macro_recall,0.7910128885306528,0.8030588895792806,-0.012046001048627852,False
MalMem,0.1,123,macro_f1,0.7917142732895044,0.8048157006731262,-0.013101427383621855,False
MalMem,0.1,123,balanced_accuracy,0.7910128885306528,0.8030588895792806,-0.012046001048627852,False
MalMem,0.1,2026,accuracy,0.9123361238350972,0.9150213236455536,-0.00268519981045634,False
MalMem,0.1,2026,macro_precision,0.7858511023081883,0.7963259378296168,-0.010474835521428472,False
MalMem,0.1,2026,macro_recall,0.7848389237891541,0.791018561528877,-0.006179637739722854,False
MalMem,0.1,2026,macro_f1,0.785215324452821,0.7935667255162959,-0.008351401063474873,False
MalMem,0.1,2026,balanced_accuracy,0.7848389237891541,0.791018561528877,-0.006179637739722854,False
MalMem,0.2,42,accuracy,0.9170747117359028,0.9222871584267888,-0.005212446690885941,False
MalMem,0.2,42,macro_precision,0.7978123116176548,0.8164050598253652,-0.018592748207710397,False
MalMem,0.2,42,macro_recall,0.7962103900819115,0.8086320797128079,-0.012421689630896404,False
