Comparison,Mean Difference,CI,Effect Size,Adjusted p-value
E4_PoisonShield_vs_E1_No_Defense,-0.003422313483915,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.004527983994103,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0048965408308325,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.007119660184297,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0095062174607875,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0115747099605749,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.008123907538239,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0108498927226788,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0081463343303997,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0076729136681662,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0102181187926339,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0098176584455351,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.008123907538239,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0108498927226788,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0081463343303997,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0235039154573992,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.013271222225946,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.02436408726834,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9429530201342282,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0011185682326622,,1.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.8344519015659957,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0036855683672932,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0038435212973201,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0041594271573737,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0086005405671209,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0076381635113938,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0092326557564884,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0086947184631053,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0091228532654191,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.00663362436944,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0087137240018478,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0084391510440551,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0078200026957031,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0086947184631053,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0091228532654191,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.00663362436944,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0651637938427236,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0126168424663408,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0158755681330932,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9541264737406218,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0008574490889603,,1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.8662379421221865,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0028958037171588,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0030537566471857,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0075290896646133,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0093771622036656,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0061414718309991,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0145865684394612,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0067451008661318,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0072264188631534,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0147574671102509,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0080542230113881,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0067239372692697,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.014583522245142,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0067451008661318,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0072264188631534,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0147574671102509,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.1170520671480364,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0119022230346606,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0651880287196985,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9547024172252692,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0011172049563276,,1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.8613650213284584,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0042120781340493,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0032643605538882,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0031064076238615,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0175421177256731,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0063625887839167,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0006658073513186,,0.3333333333333333,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0099481184235655,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0078112341684407,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0074575587441478,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0136153309111974,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0070840412624985,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0041389211481871,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0099481184235655,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0078112341684407,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0074575587441478,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.2211720738774847,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0104984744263301,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.1655021755222156,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9556307831189348,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0012638230647708,,1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.8663055743624465,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0025417574437182,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0007262164124908,,1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0018155410312273,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0046496000659638,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0007752496836448,,-0.6666666666666666,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,8.70765568281584e-05,,0.0,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0023900806498978,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0019061103436554,,0.6666666666666666,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0023399710371024,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0032646139672258,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.000563562821343,,0.6666666666666666,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0014977428372272,,0.6666666666666666,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0023900806498978,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0019061103436554,,0.6666666666666666,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0023399710371024,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0179617637989515,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0071692876965772,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.0312210915818686,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9689922480620154,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.9302325581395348,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.0,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0003631082062454,,0.3333333333333333,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0018155410312273,,0.3333333333333333,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0021632229626913,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,-0.0013693573682844,,-0.3333333333333333,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0006408651733932,,0.0,1.0
E4_PoisonShield_vs_E1_No_Defense,0.0007837698532782,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0004901827651735,,0.3333333333333333,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0024086479929913,,0.0,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0010075907703359,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,-0.0006938943742258,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0009723626653398,,0.0,1.0
E4_PoisonShield_vs_E1_No_Defense,0.0007837698532782,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0004901827651735,,0.3333333333333333,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0024086479929913,,0.0,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0599201065246338,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0068797159343098,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0110223405829264,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9585185185185184,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.9170370370370372,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,-0.0010893246187363,,-0.3333333333333333,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0010893246187363,,1.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0010893246187363,,-1.0,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0028082288738085,,-0.6666666666666666,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0010584262132146,,0.3333333333333333,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0056589313577226,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.0009726929654884,,0.3333333333333333,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.002139481624508,,0.6666666666666666,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0002537934038292,,-0.3333333333333333,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0009836577962968,,-0.3333333333333333,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0015481055503558,,0.6666666666666666,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0025253569883086,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.0009726929654884,,0.3333333333333333,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.002139481624508,,0.6666666666666666,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0002537934038292,,-0.3333333333333333,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.1127461285123677,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0064466400392404,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.0639758951720272,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.9586834733893556,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.9145658263305322,,1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.0014524328249818,,0.5,1.0
E4_PoisonShield_vs_E2_Integrity_Only,-0.0007262164124909,,-0.5,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.004720406681191,,1.0,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.0040764502136979,,-0.6666666666666666,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0012802445274946,,1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,0.002161450471598,,0.3333333333333333,1.0
E4_PoisonShield_vs_E1_No_Defense,0.0049641345254477,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0003563071976503,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0081357199403581,,0.6666666666666666,1.0
E4_PoisonShield_vs_E1_No_Defense,0.0008438027973429,,0.0,1.0
E4_PoisonShield_vs_E2_Integrity_Only,0.0001913973185422,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0059680510086206,,0.6666666666666666,1.0
E4_PoisonShield_vs_E1_No_Defense,0.0049641345254477,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0003563071976503,,0.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.0081357199403581,,0.6666666666666666,1.0
E4_PoisonShield_vs_E1_No_Defense,-0.2165327353142715,,-1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,-0.0056687223571918,,-1.0,0.75
E4_PoisonShield_vs_E3_Anomaly_Only,-0.1690649722793246,,-1.0,0.75
E4_PoisonShield_vs_E1_No_Defense,0.954828660436137,,1.0,0.75
E4_PoisonShield_vs_E2_Integrity_Only,0.0003115264797507,,1.0,1.0
E4_PoisonShield_vs_E3_Anomaly_Only,0.9146417445482866,,1.0,0.75
