Method,Training Time,Detection Time,Filtering Time,Memory/Resource Cost
MalMem — E1_No_Defense,2.868430200003786,0.2466646999964723,,
MalMem — E2_Integrity_Only,3.090846999999485,0.3854395999951521,,
MalMem — E3_Anomaly_Only,6.278029699999024,0.5185316999995848,,
MalMem — E4_PoisonShield,5.266719299994293,0.4073907999991206,,
MalMem — E1_No_Defense,5.866786699989461,0.3051822999987053,,
MalMem — E2_Integrity_Only,5.036699199990835,0.3507877000083681,,
MalMem — E3_Anomaly_Only,4.819925999996485,0.4282584999891696,,
MalMem — E4_PoisonShield,5.197385399995255,0.3550195999996504,,
MalMem — E1_No_Defense,5.483349399990402,0.4730344999989029,,
MalMem — E2_Integrity_Only,5.796611500001745,0.2933610999898519,,
MalMem — E3_Anomaly_Only,4.810602199999266,0.2699160999909509,,
MalMem — E4_PoisonShield,5.043918700001086,0.3089048999972874,,
MalMem — E1_No_Defense,5.759273699994083,0.2705239000060828,,
MalMem — E2_Integrity_Only,5.072840399996494,0.2699450999934925,,
MalMem — E3_Anomaly_Only,5.252766100005829,0.2725162999995518,,
MalMem — E4_PoisonShield,4.398728000000119,0.3244297000055667,,
MalMem — E1_No_Defense,5.315635600010864,0.4195135000045411,,
MalMem — E2_Integrity_Only,5.288935300006415,0.302882399992086,,
MalMem — E3_Anomaly_Only,5.462557100006961,0.2895691000012448,,
MalMem — E4_PoisonShield,4.673317999986466,0.4570802999951411,,
MalMem — E1_No_Defense,5.068183399998816,0.2487798999936785,,
MalMem — E2_Integrity_Only,4.50341330000083,0.2473778999992646,,
MalMem — E3_Anomaly_Only,4.412105299998075,0.2339805999945383,,
MalMem — E4_PoisonShield,4.069281200005207,0.2349793000030331,,
MalMem — E1_No_Defense,5.566099100004067,0.2444681999913882,,
MalMem — E2_Integrity_Only,4.726688300012029,0.2194100000051548,,
MalMem — E3_Anomaly_Only,5.839904599997681,0.4904397999926004,,
MalMem — E4_PoisonShield,4.58887799999502,0.3225715000007767,,
MalMem — E1_No_Defense,6.0676181000017095,0.2972750999906566,,
MalMem — E2_Integrity_Only,4.152427099994384,0.3276705000025686,,
MalMem — E3_Anomaly_Only,5.757156599996961,0.4967251000052783,,
MalMem — E4_PoisonShield,4.3215874999878,0.3158191999973496,,
MalMem — E1_No_Defense,5.890427400008775,0.3155917999974917,,
MalMem — E2_Integrity_Only,4.513431500003208,0.3584536999987904,,
MalMem — E3_Anomaly_Only,5.139575099994545,0.3430261000030441,,
MalMem — E4_PoisonShield,4.371248099996592,0.3153317999967839,,
MalMem — E1_No_Defense,7.00970039999811,0.4906746999913594,,
MalMem — E2_Integrity_Only,4.253721000000951,0.3687926999991759,,
MalMem — E3_Anomaly_Only,6.059441000004881,0.417025000002468,,
MalMem — E4_PoisonShield,3.9642611000017496,0.358333299998776,,
MalMem — E1_No_Defense,7.010903900008998,0.4746545000089099,,
MalMem — E2_Integrity_Only,4.306853899994167,0.3082412999938242,,
MalMem — E3_Anomaly_Only,6.042262699993444,0.3852022999926703,,
MalMem — E4_PoisonShield,4.154352800003835,0.4270455000078073,,
MalMem — E1_No_Defense,9.476740600002811,0.5324322000087705,,
MalMem — E2_Integrity_Only,7.273535499989521,0.5061141000041971,,
MalMem — E3_Anomaly_Only,8.568729799997527,0.4445960000011837,,
MalMem — E4_PoisonShield,4.665097100005369,0.3620911999896634,,
Android — E1_No_Defense,1.9744461999944176,0.1733261999906972,,
Android — E2_Integrity_Only,2.407837700011441,0.2467890000116313,,
Android — E3_Anomaly_Only,1.5414741999993566,0.1891523999947821,,
Android — E4_PoisonShield,1.5038488999998665,0.1682330000039655,,
Android — E1_No_Defense,1.7035931999998866,0.1397119000030215,,
Android — E2_Integrity_Only,1.476825399993686,0.1225517999992007,,
Android — E3_Anomaly_Only,1.6182990000088466,0.1707497999886982,,
Android — E4_PoisonShield,1.3846063999953913,0.2304677999927662,,
Android — E1_No_Defense,1.4542300000030082,0.1502447000093525,,
Android — E2_Integrity_Only,1.41166310000699,0.1150108000001637,,
Android — E3_Anomaly_Only,1.4633360000007087,0.1716826999909244,,
Android — E4_PoisonShield,1.5577762000029909,0.1120158000121591,,
Android — E1_No_Defense,1.6508070999989286,0.0989390999893657,,
Android — E2_Integrity_Only,1.552116899998509,0.1244408000056864,,
Android — E3_Anomaly_Only,1.8249167000030864,0.2393294999928912,,
Android — E4_PoisonShield,1.5521203999960562,0.3006536000029882,,
Android — E1_No_Defense,1.5030819999956293,0.1854359999997541,,
Android — E2_Integrity_Only,1.762667800008785,0.2159586000052513,,
Android — E3_Anomaly_Only,1.5336310999991838,0.1023267999989911,,
Android — E4_PoisonShield,1.7345844999945257,0.1460573999938788,,
Android — E1_No_Defense,1.3785116000071866,0.1494767000112915,,
Android — E2_Integrity_Only,1.407387999992352,0.1364145999978063,,
Android — E3_Anomaly_Only,1.5504015000042273,0.1476880999980494,,
Android — E4_PoisonShield,1.67202399999951,0.155523199995514,,
Android — E1_No_Defense,1.864744199992856,0.1569142999942414,,
Android — E2_Integrity_Only,1.5279569999984233,0.1707513000001199,,
Android — E3_Anomaly_Only,1.8414002999925287,0.1232758999976795,,
Android — E4_PoisonShield,1.6554061000060756,0.1824439999909373,,
Android — E1_No_Defense,1.6810587999934796,0.1262278000067453,,
Android — E2_Integrity_Only,1.6752392000053078,0.1567162999999709,,
Android — E3_Anomaly_Only,1.6869441000017105,0.1712661000055959,,
Android — E4_PoisonShield,1.7685977000073765,0.1935462999972514,,
Android — E1_No_Defense,1.6691197000036482,0.1524697999993804,,
Android — E2_Integrity_Only,1.655817399994703,0.15022539999336,,
Android — E3_Anomaly_Only,1.5605649999924935,0.1518756000004941,,
Android — E4_PoisonShield,1.5877303000015672,0.1862877999956254,,
Android — E1_No_Defense,2.151767600007588,0.170235199999297,,
Android — E2_Integrity_Only,1.6502680000121472,0.162750400006189,,
Android — E3_Anomaly_Only,1.8405779000022449,0.1792102999897906,,
