dataset,configuration,f1,recall,fpr,retention
MalMem,A1_Integrity_Only,1.0,1.0,0.0,1.0
MalMem,A2_Anomaly_Only,0.1532781159564913,0.0936928144443089,0.0500450215629591,0.9499549784370408
MalMem,A3_Optimized_Fusion,0.983354827100141,1.0,0.013151035495948,0.986848964504052
MalMem,A4_Unoptimized_Fusion,0.9394842406876792,1.0,0.0500450215629591,0.9499549784370408
MalMem,A5_Remove_Anomaly_Component,1.0,1.0,0.0,1.0
MalMem,A5_Remove_Integrity_Component,0.1532781159564913,0.0936928144443089,0.0500450215629591,0.9499549784370408
Android,A1_Integrity_Only,0.9989053092501368,0.9989053092501368,0.0009808729769494,0.9990191270230506
Android,A2_Anomaly_Only,0.0761303191489361,0.0417806969531107,0.0500245218244237,0.9499754781755764
Android,A3_Optimized_Fusion,0.99491186625477,0.9989053092501368,0.008173941474579,0.991826058525421
Android,A4_Unoptimized_Fusion,0.9722962173681406,0.9989053092501368,0.0500245218244237,0.9499754781755764
Android,A5_Remove_Anomaly_Component,0.9989053092501368,0.9989053092501368,0.0009808729769494,0.9990191270230506
Android,A5_Remove_Integrity_Component,0.0761303191489361,0.0417806969531107,0.0500245218244237,0.9499754781755764
