dataset,attack_type,condition,original_poisoned_count,poisoned_remaining,poisoned_removed,poisoned_removal_rate
MalMem,backdoor_injection,E1_No_Defense,2342,2342,0,0.0
MalMem,backdoor_injection,E2_Integrity_Only,2342,0,2342,1.0
MalMem,backdoor_injection,E3_Anomaly_Only,2342,2174,168,0.07173356105892399
MalMem,backdoor_injection,E4_PoisonShield,2342,0,2342,1.0
MalMem,feature_poisoning,E1_No_Defense,2342,2342,0,0.0
MalMem,feature_poisoning,E2_Integrity_Only,2342,0,2342,1.0
MalMem,feature_poisoning,E3_Anomaly_Only,2342,2095,247,0.10546541417591802
MalMem,feature_poisoning,E4_PoisonShield,2342,0,2342,1.0
MalMem,gaussian_noise_injection,E1_No_Defense,2342,2342,0,0.0
MalMem,gaussian_noise_injection,E2_Integrity_Only,2342,0,2342,1.0
MalMem,gaussian_noise_injection,E3_Anomaly_Only,2342,2033,309,0.13193851409052093
MalMem,gaussian_noise_injection,E4_PoisonShield,2342,0,2342,1.0
MalMem,label_flipping,E1_No_Defense,2342,2342,0,0.0
MalMem,label_flipping,E2_Integrity_Only,2342,0,2342,1.0
MalMem,label_flipping,E3_Anomaly_Only,2342,2181,161,0.06874466268146882
MalMem,label_flipping,E4_PoisonShield,2342,0,2342,1.0
MalMem,missing_value_injection,E1_No_Defense,2342,2342,0,0.0
MalMem,missing_value_injection,E2_Integrity_Only,2342,0,2342,1.0
MalMem,missing_value_injection,E3_Anomaly_Only,2342,2186,156,0.06660973526900085
MalMem,missing_value_injection,E4_PoisonShield,2342,0,2342,1.0
MalMem,outlier_injection,E1_No_Defense,2342,2342,0,0.0
MalMem,outlier_injection,E2_Integrity_Only,2342,0,2342,1.0
MalMem,outlier_injection,E3_Anomaly_Only,2342,2043,299,0.12766865926558496
MalMem,outlier_injection,E4_PoisonShield,2342,0,2342,1.0
MalMem,sample_duplication,E1_No_Defense,2342,2342,0,0.0
MalMem,sample_duplication,E2_Integrity_Only,2342,0,2342,1.0
MalMem,sample_duplication,E3_Anomaly_Only,2342,2173,169,0.0721605465414176
MalMem,sample_duplication,E4_PoisonShield,2342,0,2342,1.0
Android,backdoor_injection,E1_No_Defense,783,783,0,0.0
Android,backdoor_injection,E2_Integrity_Only,783,0,783,1.0
Android,backdoor_injection,E3_Anomaly_Only,783,753,30,0.038314176245210725
Android,backdoor_injection,E4_PoisonShield,783,0,783,1.0
Android,feature_poisoning,E1_No_Defense,783,783,0,0.0
Android,feature_poisoning,E2_Integrity_Only,783,0,783,1.0
Android,feature_poisoning,E3_Anomaly_Only,783,752,31,0.03959131545338442
Android,feature_poisoning,E4_PoisonShield,783,0,783,1.0
Android,gaussian_noise_injection,E1_No_Defense,783,783,0,0.0
Android,gaussian_noise_injection,E2_Integrity_Only,783,2,781,0.9974457215836526
Android,gaussian_noise_injection,E3_Anomaly_Only,783,752,31,0.03959131545338442
Android,gaussian_noise_injection,E4_PoisonShield,783,2,781,0.9974457215836526
Android,label_flipping,E1_No_Defense,783,783,0,0.0
Android,label_flipping,E2_Integrity_Only,783,4,779,0.9948914431673053
Android,label_flipping,E3_Anomaly_Only,783,755,28,0.035759897828863345
Android,label_flipping,E4_PoisonShield,783,4,779,0.9948914431673053
Android,missing_value_injection,E1_No_Defense,783,783,0,0.0
Android,missing_value_injection,E2_Integrity_Only,783,0,783,1.0
Android,missing_value_injection,E3_Anomaly_Only,783,747,36,0.04597701149425287
Android,missing_value_injection,E4_PoisonShield,783,0,783,1.0
Android,outlier_injection,E1_No_Defense,783,783,0,0.0
Android,outlier_injection,E2_Integrity_Only,783,0,783,1.0
Android,outlier_injection,E3_Anomaly_Only,783,743,40,0.05108556832694764
Android,outlier_injection,E4_PoisonShield,783,0,783,1.0
Android,sample_duplication,E1_No_Defense,783,783,0,0.0
Android,sample_duplication,E2_Integrity_Only,783,0,783,1.0
Android,sample_duplication,E3_Anomaly_Only,783,750,33,0.0421455938697318
Android,sample_duplication,E4_PoisonShield,783,0,783,1.0
