dataset,poisoning_rate,defense,n_experiments,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean
Android,0.01,E1_No_Defense,3,0.9255628177196806,0.9166604971900896,0.913052277435123,0.913873568068716
Android,0.01,E2_Integrity_Only,3,0.9222948438634714,0.9127861468077706,0.9087560864415696,0.910045391280147
Android,0.01,E3_Anomaly_Only,3,0.9212055192447348,0.9119238205672978,0.9083222257481224,0.9091112112642628
Android,0.01,E4_PoisonShield,3,0.9230210602759624,0.912010897124126,0.910662196785225,0.91060895410149
Android,0.05,E1_No_Defense,3,0.9230210602759624,0.9144617729790668,0.9089618540607374,0.9109950698406556
Android,0.05,E2_Integrity_Only,3,0.9226579520697168,0.91366790738466,0.909255441148842,0.9106813734445456
Android,0.05,E3_Anomaly_Only,3,0.9212055192447348,0.9129394151897686,0.9073369759210242,0.90901511640498
Android,0.05,E4_PoisonShield,3,0.9230210602759624,0.9122985500163754,0.9097456239140156,0.9099874790703196
Android,0.1,E1_No_Defense,3,0.924473493100944,0.9163961583795546,0.9095040704881568,0.9121302580984209
Android,0.1,E2_Integrity_Only,3,0.9222948438634714,0.9125295032925314,0.9083372818291372,0.909598494751768
Android,0.1,E3_Anomaly_Only,3,0.924473493100944,0.9192468608634689,0.9107305568574744,0.9136719572904326
Android,0.1,E4_PoisonShield,3,0.9233841684822076,0.913587929505746,0.9104767634536453,0.911146600302124
Android,0.2,E1_No_Defense,3,0.9208424110384896,0.9185940474959128,0.9033077467146072,0.9097204948894534
Android,0.2,E2_Integrity_Only,3,0.9230210602759624,0.9132373527547202,0.9086281884377052,0.910372900368254
Android,0.2,E3_Anomaly_Only,3,0.9175744371822804,0.9123561468106168,0.9001361612996969,0.9045962466781756
Android,0.2,E4_PoisonShield,3,0.9222948438634714,0.9145175972822148,0.9082718812400548,0.910564297686796
MalMem,0.01,E1_No_Defense,3,0.9123887748117726,0.7851371862726534,0.7846567278269868,0.7848652367003863
MalMem,0.01,E2_Integrity_Only,3,0.9134944453219608,0.7875237435491438,0.7873827130114267,0.787410441824854
MalMem,0.01,E3_Anomaly_Only,3,0.9040699204970252,0.7664428161277813,0.7683864859583479,0.7673746645866849
MalMem,0.01,E4_PoisonShield,3,0.9089664613278576,0.7780175260883562,0.7765328202887477,0.77719232303222
MalMem,0.05,E1_No_Defense,3,0.9142315589954194,0.7905157637691183,0.7891233171467508,0.7897655589597496
MalMem,0.05,E2_Integrity_Only,3,0.9143895119254464,0.7895533867133911,0.7895514519490646,0.7894909860019568
MalMem,0.05,E3_Anomaly_Only,3,0.9063865634707524,0.7726825674455089,0.7737949743142054,0.7732318322621986
MalMem,0.05,E4_PoisonShield,3,0.910545990628126,0.7819152232019974,0.7804285986836454,0.7810518349579016
MalMem,0.1,E1_No_Defense,3,0.917180013689254,0.8001163563362993,0.796293082673027,0.7980955252306415
MalMem,0.1,E2_Integrity_Only,3,0.9173379666192808,0.7968806659636328,0.7967744006700487,0.7967652394885231
MalMem,0.1,E3_Anomaly_Only,3,0.9067551203074816,0.7761526256931724,0.7747905146966442,0.7754577799741114
MalMem,0.1,E4_PoisonShield,3,0.9142842099720953,0.7907391941326337,0.7895479818068951,0.7900413022192533
MalMem,0.2,E1_No_Defense,3,0.9211288369399252,0.8150158301009353,0.8059454011883648,0.8102869172138575
MalMem,0.2,E2_Integrity_Only,3,0.9201811193597642,0.8038363011591789,0.80380851693324,0.8037556275651586
MalMem,0.2,E3_Anomaly_Only,3,0.9138103511820144,0.7968079050239435,0.7885397240206514,0.792532665154473
MalMem,0.2,E4_PoisonShield,3,0.916916758805876,0.797473712375262,0.7959972827647993,0.7966715863026601
