dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Android,0.0,1.0,0.9,0.0,1.0,0.8565400843881856,1.0,0.9227272727272727,0.9989079923157002,0.9996605406169269,0,918,0,5481
Android,0.0,1.0,0.95,0.0,1.0,0.8565400843881856,1.0,0.9227272727272727,0.9989079923157002,0.9996605406169269,0,918,0,5481
Android,0.0,1.0,0.975,0.0,1.0,0.8565400843881856,1.0,0.9227272727272727,0.9989079923157002,0.9996605406169269,0,918,0,5481
Android,0.0,1.0,0.99,0.0,1.0,0.8565400843881856,1.0,0.9227272727272727,0.9989079923157002,0.9996605406169269,0,918,0,5481
Android,0.1,0.9,0.9,0.03418601880919197,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9988586040347741,0.9995319678919437,826,92,6,5475
Android,0.1,0.9,0.95,0.051128535920988996,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9988586040347741,0.9995319678919437,872,46,6,5475
Android,0.1,0.9,0.975,0.06660226792565263,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9988586040347741,0.9995319678919437,895,23,6,5475
Android,0.1,0.9,0.99,0.08489918169496233,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988586040347741,0.9995319678919437,908,10,6,5475
Android,0.2,0.8,0.9,0.06837203761838394,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9988586040347741,0.9995319678919437,826,92,6,5475
Android,0.2,0.8,0.95,0.10225707184197799,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9988586040347741,0.9995319678919437,872,46,6,5475
Android,0.2,0.8,0.975,0.13320453585130526,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9988586040347741,0.9995319678919437,895,23,6,5475
Android,0.2,0.8,0.99,0.16979836338992466,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988586040347741,0.9995319678919437,908,10,6,5475
Android,0.3,0.7,0.9,0.1025580564275759,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9988586040347741,0.9995319678919437,826,92,6,5475
Android,0.3,0.7,0.95,0.15338560776296697,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9988586040347741,0.9995319678919437,872,46,6,5475
Android,0.3,0.7,0.975,0.19980680377695784,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9988586040347741,0.9995319678919437,895,23,6,5475
Android,0.3,0.7,0.99,0.25469754508488696,0.010893246187363835,0.9981768459434822,0.9989053092501369,0.9985409447382819,0.9988586040347741,0.9995319678919437,908,10,6,5475
Android,0.4,0.6,0.9,0.13674407523676788,0.10021786492374728,0.9834740434704509,0.9989053092501369,0.9911296162201303,0.9988586040347741,0.9995319678919437,826,92,6,5475
Android,0.4,0.6,0.95,0.20451414368395598,0.05010893246187364,0.9916681760550625,0.9989053092501369,0.9952735866206144,0.9988586040347741,0.9995319678919437,872,46,6,5475
Android,0.4,0.6,0.975,0.2664090717026105,0.02505446623093682,0.995816660603856,0.9989053092501369,0.9973585936788414,0.9988586040347741,0.9995319678919437,895,23,6,5475
