dataset,alpha,beta,threshold_percentile,risk_threshold,clean_fpr,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
MalMem,0.0,1.0,0.9,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.95,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.975,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.0,1.0,0.99,0.0,1.0,0.7214398873437775,1.0,0.8381819111406513,1.0,1.0,0,6330,0,16394
MalMem,0.1,0.9,0.9,0.0487121922228299,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,1.0,1.0,5695,635,0,16394
MalMem,0.1,0.9,0.95,0.06187962436203492,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,1.0,1.0,6013,317,0,16394
MalMem,0.1,0.9,0.975,0.07015628872863577,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,1.0,1.0,6171,159,0,16394
MalMem,0.1,0.9,0.99,0.08008558390803616,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.2,0.8,0.9,0.0974243844456598,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,1.0,1.0,5695,635,0,16394
MalMem,0.2,0.8,0.95,0.12375924872406983,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,1.0,1.0,6013,317,0,16394
MalMem,0.2,0.8,0.975,0.14031257745727155,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,1.0,1.0,6171,159,0,16394
MalMem,0.2,0.8,0.99,0.16017116781607232,0.010110584518167456,0.9961113136468587,1.0,0.9980518689881894,1.0,1.0,6266,64,0,16394
MalMem,0.3,0.7,0.9,0.1461365766684897,0.10031595576619273,0.9627106700334723,1.0,0.9810011070221105,1.0,1.0,5695,635,0,16394
MalMem,0.3,0.7,0.95,0.18563887308610474,0.050078988941548185,0.9810304589791156,1.0,0.9904244071892463,1.0,1.0,6013,317,0,16394
MalMem,0.3,0.7,0.975,0.21046886618590735,0.025118483412322274,0.9903944904246964,1.0,0.9951740674416487,1.0,1.0,6171,159,0,16394
